HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
H,京都,W,2,1,1.969,1.135,20,13,4,4,0,0,416,308,18,12,11,13,3,3,9,7,22,19,8,14,17,16,20,30,2,1,3,2,3,2,0,0,37,24,14,12,"114,829m","115,478m",161,142,107,116,18.7%,11.2%,58.4%,41.6%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=03
A,札幌,W,2,1,0.848,1.462,12,11,3,6,0,0,728,298,28,9,11,16,0,1,3,2,23,19,14,6,15,14,11,28,2,1,1,0,2,3,0,0,61,19,17,7,"113,614m","116,091m",109,114,107,103,11.2%,10.7%,68.2%,31.8%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=06
H,柏,D,3,3,1.665,1.845,17,8,6,5,0,1,470,423,21,11,3,13,4,0,5,5,23,25,8,9,28,19,28,27,3,2,0,4,3,0,0,1,69,17,24,3,"117,950m","114,268m",140,145,115,131,14.8%,6.1%,53%,47%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=11
A,名古屋,L,1,3,1.279,1.006,8,12,4,5,1,0,282,583,11,22,10,11,0,2,3,3,22,28,4,19,25,14,32,13,1,3,2,0,3,2,0,0,20,47,11,7,"117,006m","115,362m",151,133,120,125,6.7%,9.6%,37.8%,62.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=15
H,横浜FM,D,1,1,1.063,1.233,15,13,4,5,0,0,546,355,7,16,12,14,2,1,6,4,21,24,11,13,21,18,20,21,0,1,1,2,3,4,0,0,42,26,12,12,"115,937m","122,129m",153,162,118,122,12.7%,10.7%,58.1%,41.9%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=19
H,Ｇ大阪,L,0,1,0.886,1.571,12,14,5,3,0,0,522,432,15,15,14,6,2,1,5,4,28,27,9,12,20,18,24,24,0,4,1,2,1,3,0,0,58,24,19,10,"108,895m","115,384m",138,125,114,103,10.5%,13.6%,55.8%,44.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=26
A,鳥栖,W,1,0,1.187,1.119,12,11,4,4,0,0,499,520,24,9,4,10,5,1,8,4,34,20,15,11,14,19,19,33,2,3,1,5,2,1,0,0,37,41,13,12,"123,204m","122,822m",135,158,110,106,10.9%,10.4%,47.7%,52.3%,https://www.football-lab.jp/fctk/report/?year=2024&month=05&date=31
H,磐田,D,1,1,0.736,1.723,10,19,5,1,0,0,293,572,16,20,14,23,2,3,3,8,23,21,7,21,21,7,30,22,1,2,3,2,1,2,0,0,29,55,6,8,"113,593m","118,254m",104,97,110,123,9.1%,15.4%,36.6%,63.4%,https://www.football-lab.jp/fctk/report/?year=2024&month=06&date=16
A,湘南,W,1,0,2.179,0.6,25,8,9,2,0,0,483,392,21,10,10,15,1,2,10,3,27,16,17,10,30,12,22,34,1,2,2,1,0,1,0,0,59,30,27,9,"111,203m","116,712m",131,132,118,108,21.2%,7.4%,53.8%,46.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=06&date=22
H,札幌,W,1,0,0.408,1.673,11,15,3,5,0,0,344,470,7,18,15,25,0,2,5,5,19,29,10,13,18,10,32,12,2,1,2,0,4,1,0,0,24,40,6,11,"106,413m","108,052m",123,122,116,131,9.5%,11.5%,46.4%,53.6%,https://www.football-lab.jp/fctk/report/?year=2024&month=06&date=26
H,福岡,L,0,1,0.835,0.64,11,10,2,5,0,0,326,541,13,13,6,13,0,1,1,6,32,31,6,10,15,11,26,14,1,1,1,0,3,0,0,0,23,31,11,9,"106,183m","107,110m",115,118,107,119,10.3%,8.4%,44.7%,55.3%,https://www.football-lab.jp/fctk/report/?year=2024&month=06&date=30
A,柏,L,2,3,0.946,1.989,12,18,7,6,0,0,286,480,10,18,3,13,2,1,7,8,16,25,15,9,15,13,25,27,2,0,1,2,1,0,0,0,33,38,9,13,"114,342m","113,137m",148,121,98,111,12.2%,16.2%,43.5%,56.5%,https://www.football-lab.jp/fctk/report/?year=2024&month=07&date=06
H,新潟,W,2,0,0.893,0.462,14,7,3,2,0,0,739,366,16,6,14,13,3,3,1,3,18,18,13,3,11,17,13,22,2,3,3,3,2,1,0,0,62,19,18,10,"113,219m","120,092m",110,145,94,97,14.9%,7.2%,64%,36%,https://www.football-lab.jp/fctk/report/?year=2024&month=07&date=13
A,鹿島,L,1,2,1.155,0.773,11,10,4,3,0,0,328,365,18,12,19,12,0,4,3,5,13,25,7,7,13,6,25,19,2,1,3,0,1,3,0,0,36,22,12,6,"104,399m","105,391m",126,116,100,106,11.0%,9.4%,49.6%,50.4%,https://www.football-lab.jp/fctk/report/?year=2024&month=07&date=20
A,Ｇ大阪,D,0,0,2.56,0.804,25,10,7,1,0,0,580,281,33,14,12,10,3,2,4,5,29,18,22,8,10,10,18,36,0,4,2,3,1,3,0,0,67,25,33,11,"107,117m","113,023m",106,123,104,103,24.0%,9.7%,64.7%,35.3%,https://www.football-lab.jp/fctk/report/?year=2024&month=08&date=07
H,川崎Ｆ,L,0,3,1.383,1.295,10,11,4,4,0,0,565,400,24,19,8,9,4,1,6,3,14,22,16,10,14,19,28,19,1,2,1,4,0,1,0,0,49,41,20,16,"106,810m","109,157m",121,112,92,92,10.9%,12.0%,59%,41%,https://www.football-lab.jp/fctk/report/?year=2024&month=08&date=11
H,東京Ｖ,D,0,0,1.207,0.37,17,6,5,0,0,0,304,457,29,13,13,14,1,0,4,6,20,11,17,6,9,13,16,24,0,2,0,1,2,0,0,0,31,35,21,7,"105,329m","102,544m",124,109,93,89,18.3%,6.7%,39.8%,60.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=08&date=17
A,京都,L,0,3,1.436,0.964,20,9,11,2,0,0,251,464,19,9,10,15,1,0,8,6,30,24,13,8,15,10,30,29,0,0,0,1,4,0,0,0,23,27,22,11,"108,171m","104,047m",126,102,115,119,17.4%,7.6%,39.6%,60.4%,https://www.football-lab.jp/fctk/report/?year=2024&month=08&date=24
A,広島,L,2,3,2.076,0.932,19,9,6,3,1,0,388,458,13,20,16,17,0,0,6,5,9,22,5,16,26,14,23,16,2,2,0,0,2,0,0,0,35,43,11,15,"108,295m","108,096m",106,132,115,118,16.5%,7.6%,45%,55%,https://www.football-lab.jp/fctk/report/?year=2024&month=08&date=31
H,名古屋,W,4,1,0.893,2.218,12,14,4,7,0,1,378,462,15,10,15,8,3,5,7,3,24,19,5,7,13,10,10,13,1,0,5,3,3,2,0,0,25,29,11,11,"109,509m","111,946m",115,109,106,102,11.3%,13.7%,46%,54%,https://www.football-lab.jp/fctk/report/?year=2024&month=09&date=14
A,浦和,W,2,0,1.043,1.207,15,7,4,3,0,1,563,422,16,9,14,16,1,1,1,4,23,15,15,10,11,19,8,21,0,2,1,1,3,1,0,0,53,25,15,6,"114,283m","115,880m",116,102,101,105,14.9%,6.7%,57.6%,42.4%,https://www.football-lab.jp/fctk/report/?year=2024&month=09&date=21
A,横浜FM,W,3,1,0.687,2.584,11,19,4,6,0,0,591,357,14,17,17,10,4,3,3,3,17,19,10,11,19,17,19,25,0,5,3,4,0,1,0,0,45,35,15,18,"114,746m","115,487m",104,153,116,104,9.5%,18.3%,60.1%,39.9%,https://www.football-lab.jp/fctk/report/?year=2024&month=09&date=28
H,鳥栖,D,1,1,1.933,1.295,19,18,5,6,0,0,297,509,14,25,6,14,1,1,7,11,15,24,7,16,10,12,51,23,0,0,1,1,2,1,0,0,34,54,12,18,"112,055m","110,589m",122,119,97,108,19.6%,16.7%,41.5%,58.5%,https://www.football-lab.jp/fctk/report/?year=2024&month=10&date=05
A,神戸,W,2,0,1.29,0.793,14,5,6,4,0,0,512,224,33,3,20,11,2,3,6,1,47,11,14,5,7,19,13,59,2,2,2,2,1,2,0,0,48,11,20,5,"113,209m","114,516m",96,99,145,108,9.7%,4.6%,65.6%,34.4%,https://www.football-lab.jp/fctk/report/?year=2024&month=10&date=18
H,湘南,L,0,2,0.678,1.403,9,14,5,0,0,0,325,474,2,15,12,21,2,2,4,4,24,29,5,9,22,20,26,13,3,6,2,2,3,2,0,0,25,30,9,7,"117,392m","111,121m",161,144,118,134,7.6%,10.4%,45.4%,54.6%,https://www.football-lab.jp/fctk/report/?year=2024&month=11&date=03
A,町田,L,0,3,2.129,0.594,21,7,7,4,0,0,311,564,18,23,11,13,3,2,3,4,14,15,10,9,18,13,13,28,1,1,2,3,0,0,0,0,31,38,14,11,"119,421m","111,701m",152,130,105,103,20.0%,6.8%,41.7%,58.3%,https://www.football-lab.jp/fctk/report/?year=2024&month=11&date=09
A,磐田,L,1,2,2.201,1.211,16,8,2,1,1,0,315,373,17,10,18,14,1,1,4,8,33,25,9,10,20,20,24,21,3,1,1,1,0,2,0,1,20,24,7,8,"103,858m","103,946m",101,95,114,115,14.0%,7.0%,47.8%,52.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=11&date=30
H,Ｃ大阪,W,3,0,2.106,1.812,14,13,4,7,0,0,563,433,28,14,12,11,2,0,6,5,18,18,18,10,12,20,19,29,1,3,0,2,0,0,0,0,60,26,17,6,"118,462m","118,072m",157,135,111,114,12.6%,11.4%,54.8%,45.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=12&date=08
