HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,Opponent_ゴール期待値,fctk_ゴール期待値,Opponent_シュート,fctk_シュート,Opponent_枠内シュート,fctk_枠内シュート,Opponent_PKによるシュート,fctk_PKによるシュート,Opponent_パス,fctk_パス,Opponent_クロス,fctk_クロス,Opponent_直接ＦＫ,fctk_直接ＦＫ,Opponent_間接ＦＫ,fctk_間接ＦＫ,Opponent_ＣＫ,fctk_ＣＫ,Opponent_スローイン,fctk_スローイン,Opponent_ドリブル,fctk_ドリブル,Opponent_タックル,fctk_タックル,Opponent_クリア,fctk_クリア,Opponent_インターセプト,fctk_インターセプト,Opponent_オフサイド,fctk_オフサイド,Opponent_警告,fctk_警告,Opponent_退場,fctk_退場,Opponent_３０ｍライン進入,fctk_３０ｍライン進入,Opponent_ペナルティエリア進入,fctk_ペナルティエリア進入,Opponent_総移動距離,fctk_総移動距離,Opponent_スプリント,fctk_スプリント,Opponent_攻撃回数,fctk_攻撃回数,Opponent_チャンス構築率,fctk_チャンス構築率,Opponent_ボール保持率,fctk_ボール保持率,URL
A,Ｃ大阪,D,2,2,1.824,0.919,17,7,5,2,0,0,444,304,14,9,27,12,5,2,7,4,29,24,22,16,34,13,8,25,0,2,2,4,0,4,0,0,40,23,17,6,"113,553m","113,923m",123,125,137,119,12.4%,5.9%,58.4%,41.6%,https://www.football-lab.jp/fctk/report/?year=2024&month=02&date=24
H,広島,D,1,1,2.207,0.969,17,11,7,1,1,0,435,299,35,11,10,14,2,4,5,4,43,15,5,22,20,16,14,47,1,1,4,2,1,1,0,0,61,26,24,7,"109,196m","114,438m",183,164,130,119,13.1%,9.2%,50.8%,49.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=03&date=02
H,神戸,L,1,2,2.023,1.154,14,15,4,4,1,0,401,316,19,11,12,11,1,2,4,7,33,33,14,8,22,19,28,29,1,1,2,1,1,1,0,1,33,33,12,6,"114,219m","112,474m",140,143,113,124,12.4%,12.1%,53.8%,46.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=03&date=09
A,福岡,W,3,1,1.254,0.98,15,11,5,3,0,0,422,523,23,13,11,16,1,2,5,2,23,20,19,5,21,25,11,24,3,1,2,1,3,2,0,0,50,38,19,9,"113,949m","119,153m",121,120,125,125,12.0%,8.8%,45.3%,54.7%,https://www.football-lab.jp/fctk/report/?year=2024&month=03&date=16
A,川崎Ｆ,L,0,3,2.375,0.223,20,5,7,1,0,0,429,435,14,17,17,16,3,3,5,4,23,22,10,13,28,21,22,18,5,7,3,3,0,1,0,1,45,23,20,6,"110,995m","110,812m",157,123,125,126,16.0%,4.0%,52.9%,47.1%,https://www.football-lab.jp/fctk/report/?year=2024&month=03&date=30
H,浦和,W,2,1,0.964,1.213,14,18,5,3,0,0,484,443,18,19,10,9,2,2,6,8,26,29,10,17,17,22,32,31,2,2,2,2,1,1,0,0,42,37,13,17,"126,379m","133,971m",171,180,126,132,11.1%,13.6%,52.5%,47.5%,https://www.football-lab.jp/fctk/report/?year=2024&month=04&date=03
H,鹿島,W,2,0,0.849,1.05,15,12,2,4,0,0,520,427,21,10,15,8,1,1,4,6,23,19,13,12,24,15,16,32,2,2,1,1,0,2,0,0,51,28,15,6,"113,205m","119,306m",126,128,117,115,12.8%,10.4%,53.7%,46.3%,https://www.football-lab.jp/fctk/report/?year=2024&month=04&date=07
A,東京Ｖ,D,2,2,1.439,0.956,11,8,6,4,1,0,506,481,13,10,11,11,3,4,5,5,25,34,5,17,24,17,27,17,3,5,4,1,1,2,0,1,33,24,12,7,"122,984m","114,658m",144,134,117,126,9.4%,6.3%,50.8%,49.2%,https://www.football-lab.jp/fctk/report/?year=2024&month=04&date=13
H,町田,L,1,2,0.507,2.606,6,17,3,5,0,1,277,517,10,19,10,18,4,2,3,6,28,32,4,16,22,13,30,23,1,2,2,4,1,0,0,0,21,39,8,13,"123,889m","119,020m",168,159,116,123,5.2%,13.8%,39.1%,60.9%,https://www.football-lab.jp/fctk/report/?year=2024&month=04&date=21
A,新潟,W,3,1,0.701,1.085,14,10,5,6,0,0,649,365,25,14,11,9,0,1,6,2,21,17,11,9,22,28,17,25,3,2,1,0,3,0,0,0,53,25,10,11,"115,808m","119,061m",102,132,108,104,13.0%,9.6%,60.4%,39.6%,https://www.football-lab.jp/fctk/report/?year=2024&month=04&date=27
