HOME/AWAY,Opponent,勝敗,c-os_得点,c-os_失点,c-os_ゴール期待値,Opponent_ゴール期待値,c-os_シュート,Opponent_シュート,c-os_枠内シュート,Opponent_枠内シュート,c-os_PKによるシュート,Opponent_PKによるシュート,c-os_パス,Opponent_パス,c-os_クロス,Opponent_クロス,c-os_直接ＦＫ,Opponent_直接ＦＫ,c-os_間接ＦＫ,Opponent_間接ＦＫ,c-os_ＣＫ,Opponent_ＣＫ,c-os_スローイン,Opponent_スローイン,c-os_ドリブル,Opponent_ドリブル,c-os_タックル,Opponent_タックル,c-os_クリア,Opponent_クリア,c-os_インターセプト,Opponent_インターセプト,c-os_オフサイド,Opponent_オフサイド,c-os_警告,Opponent_警告,c-os_退場,Opponent_退場,c-os_３０ｍライン進入,Opponent_３０ｍライン進入,c-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,c-os_総移動距離,Opponent_総移動距離,c-os_スプリント,Opponent_スプリント,c-os_攻撃回数,Opponent_攻撃回数,c-os_チャンス構築率,Opponent_チャンス構築率,c-os_ボール保持率,Opponent_ボール保持率,URL
H,FC東京,D,2,2,1.824,0.919,17,7,5,2,0,0,444,304,14,9,27,12,5,2,7,4,29,24,22,16,34,13,8,25,0,2,2,4,0,4,0,0,40,23,17,6,"113,553m","113,923m",123,125,137,119,12.4%,5.9%,58.4%,41.6%,https://www.football-lab.jp/c-os/report/?year=2024&month=02&date=24
A,鹿島,D,1,1,1.593,1.075,13,9,6,2,0,0,512,467,13,12,16,8,5,1,4,7,32,21,14,6,14,18,21,26,1,3,1,5,1,3,0,0,34,35,12,9,"111,422m","112,041m",84,109,132,112,9.8%,8.0%,51.6%,48.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=03&date=02
H,東京Ｖ,W,2,1,2.119,1.091,14,10,4,5,1,0,637,396,12,12,11,7,3,2,5,3,20,24,14,10,22,20,25,22,1,2,2,2,1,2,0,1,50,26,14,8,"118,542m","118,125m",106,105,106,111,13.2%,9.0%,59.1%,40.9%,https://www.football-lab.jp/c-os/report/?year=2024&month=03&date=09
A,鳥栖,W,2,0,0.572,0.846,6,13,3,2,0,0,362,626,10,17,10,15,2,1,0,6,23,17,10,19,18,17,26,12,3,1,1,2,1,1,1,0,26,39,7,13,"120,430m","121,465m",133,122,113,117,5.3%,11.1%,41.6%,58.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=03&date=16
H,湘南,W,2,0,1.897,0.995,12,12,4,5,0,0,460,382,14,18,16,10,3,0,5,11,29,17,12,9,22,21,18,21,0,0,0,3,0,0,0,0,42,28,10,18,"114,542m","112,898m",154,151,131,125,9.2%,9.6%,55.5%,44.5%,https://www.football-lab.jp/c-os/report/?year=2024&month=03&date=30
A,柏,D,1,1,1.641,1.87,11,21,3,6,1,0,501,334,11,13,10,3,1,1,7,6,29,20,12,19,12,12,22,23,1,2,1,1,1,2,0,0,22,32,7,19,"113,516m","115,777m",143,149,121,107,9.1%,19.6%,59.3%,40.7%,https://www.football-lab.jp/c-os/report/?year=2024&month=04&date=03
A,新潟,W,1,0,0.524,1.232,8,13,2,2,0,0,374,700,7,24,6,8,2,1,4,7,20,27,18,16,18,14,31,18,1,0,1,2,2,2,0,0,37,58,5,22,"113,540m","111,820m",113,125,101,108,7.9%,12.0%,40.7%,59.3%,https://www.football-lab.jp/c-os/report/?year=2024&month=04&date=07
H,川崎Ｆ,W,1,0,1.047,0.719,13,15,5,5,0,0,369,485,13,11,14,11,2,2,6,7,27,25,19,8,18,24,25,20,4,3,2,2,0,2,0,0,23,36,14,12,"110,631m","109,435m",102,112,124,121,10.5%,12.4%,46.3%,53.7%,https://www.football-lab.jp/c-os/report/?year=2024&month=04&date=13
A,名古屋,L,1,2,1.551,0.796,14,7,3,4,0,0,581,281,20,8,17,9,4,0,10,3,30,18,17,3,11,22,10,45,2,3,0,4,1,4,0,0,55,19,20,5,"108,772m","112,629m",121,134,122,104,11.5%,6.7%,64.5%,35.5%,https://www.football-lab.jp/c-os/report/?year=2024&month=04&date=21
H,横浜FM,D,2,2,2.418,1.095,18,8,7,3,1,0,394,566,16,25,13,10,1,0,8,5,14,23,16,8,13,13,36,33,2,0,0,1,0,4,0,0,48,46,11,15,"121,097m","122,471m",145,126,105,96,17.1%,8.3%,46.6%,53.4%,https://www.football-lab.jp/c-os/report/?year=2024&month=04&date=27
