HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_ゴール期待値,kobe_ゴール期待値,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_総移動距離,kobe_総移動距離,Opponent_スプリント,kobe_スプリント,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,磐田,W,2,0,0.324,0.97,7,12,2,5,0,0,459,466,14,33,10,14,1,4,1,8,27,29,9,16,21,23,39,27,4,2,4,1,1,0,0,0,32,45,4,17,"116,646m","119,373m",102,143,129,139,5.4%,8.6%,47.5%,52.5%,https://www.football-lab.jp/kobe/report/?year=2024&month=02&date=24
H,柏,L,0,1,0.929,0.882,11,9,1,2,0,0,433,406,14,21,10,13,4,0,4,3,27,29,9,10,11,15,37,30,1,1,0,4,2,1,0,0,33,30,15,12,"119,802m","119,238m",164,147,123,130,8.9%,6.9%,54.5%,45.5%,https://www.football-lab.jp/kobe/report/?year=2024&month=03&date=02
A,FC東京,W,2,1,1.154,2.023,15,14,4,4,0,1,316,401,11,19,11,12,2,1,7,4,33,33,8,14,19,22,29,28,1,1,1,2,1,1,1,0,33,33,6,12,"112,474m","114,219m",143,140,124,113,12.1%,12.4%,46.2%,53.8%,https://www.football-lab.jp/kobe/report/?year=2024&month=03&date=09
H,広島,D,0,0,0.481,0.86,10,9,0,4,0,0,388,350,11,16,14,18,0,5,3,8,29,20,11,14,26,28,31,28,0,1,5,0,3,2,0,0,29,24,4,8,"109,257m","113,835m",125,122,148,143,6.8%,6.3%,50.1%,49.9%,https://www.football-lab.jp/kobe/report/?year=2024&month=03&date=16
H,札幌,W,6,1,0.293,3.542,5,25,0,13,0,0,575,342,5,20,8,12,3,3,1,6,20,19,14,14,12,22,15,13,1,6,3,3,1,2,0,0,44,41,7,23,"114,354m","121,669m",135,166,132,138,3.8%,18.1%,59%,41%,https://www.football-lab.jp/kobe/report/?year=2024&month=03&date=30
A,鳥栖,D,0,0,0.608,1.667,12,12,6,2,0,0,384,389,16,26,9,13,1,1,5,12,23,25,11,16,17,13,29,25,1,3,1,1,1,0,0,0,29,33,5,10,"118,890m","115,465m",169,152,124,125,9.7%,9.6%,47.8%,52.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=04&date=03
H,横浜FM,L,1,2,1.949,2.227,18,18,6,3,0,0,448,317,15,28,8,11,6,5,10,4,25,24,18,10,11,14,47,20,0,5,5,6,3,1,0,1,34,36,17,15,"113,563m","112,990m",116,128,118,113,15.3%,15.9%,55.9%,44.1%,https://www.football-lab.jp/kobe/report/?year=2024&month=04&date=07
A,町田,W,2,1,1.209,1.43,16,16,5,5,0,0,315,276,26,13,11,10,1,0,7,4,35,22,12,15,14,13,18,46,1,1,0,1,3,0,0,0,36,28,10,6,"110,024m","109,349m",115,125,119,109,13.4%,14.7%,52.1%,47.9%,https://www.football-lab.jp/kobe/report/?year=2024&month=04&date=13
A,湘南,W,1,0,1.233,1.37,13,16,3,2,0,0,363,373,11,21,8,11,5,1,6,10,27,27,10,12,18,12,32,21,1,2,1,5,1,0,0,0,30,37,7,14,"112,252m","108,747m",128,145,109,124,11.9%,12.9%,49.2%,50.8%,https://www.football-lab.jp/kobe/report/?year=2024&month=04&date=20
H,京都,L,0,1,0.817,4.39,7,34,3,5,0,1,217,401,10,41,4,10,2,1,6,13,12,32,8,18,13,10,57,12,0,2,1,2,2,0,0,0,21,39,3,26,"108,046m","108,303m",124,118,103,133,6.8%,25.6%,44.3%,55.7%,https://www.football-lab.jp/kobe/report/?year=2024&month=04&date=27
A,名古屋,W,2,0,0.716,0.689,9,9,2,5,0,0,452,397,15,13,13,15,1,1,7,4,25,17,12,8,14,16,18,22,1,1,1,1,0,2,0,0,33,23,7,6,"109,283m","112,120m",113,153,106,100,8.5%,9.0%,51.8%,48.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=05&date=03
H,新潟,W,3,2,1.216,1.979,11,16,3,6,0,0,704,366,7,16,9,8,1,2,4,6,20,21,12,7,11,23,19,8,0,2,2,1,0,0,0,0,45,38,8,11,"119,593m","121,568m",70,124,117,113,9.4%,14.2%,60.7%,39.3%,https://www.football-lab.jp/kobe/report/?year=2024&month=05&date=06
A,Ｃ大阪,W,4,1,1.476,1.675,14,15,5,5,0,0,467,387,18,24,10,11,0,2,6,4,18,14,10,17,20,18,14,26,2,3,1,0,1,1,0,0,43,37,13,21,"114,538m","114,599m",143,145,123,128,11.4%,11.7%,51.8%,48.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=05&date=11
H,福岡,W,1,0,1.069,1.727,18,14,4,1,0,0,335,480,15,22,7,9,1,2,6,6,25,30,12,10,20,15,34,28,1,2,2,1,1,0,0,0,28,33,6,15,"109,581m","111,893m",124,126,117,119,15.4%,11.8%,43.8%,56.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=05&date=15
A,鹿島,L,0,1,0.748,1.238,8,12,3,2,0,0,379,363,9,13,15,9,0,3,6,8,23,27,8,14,14,20,36,16,4,1,3,0,0,2,0,0,26,32,11,8,"107,823m","108,257m",113,120,126,124,6.3%,9.7%,53.8%,46.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=05&date=19
H,東京Ｖ,L,0,1,0.335,1.2,7,14,2,2,0,0,342,591,10,30,6,9,1,0,2,9,29,29,12,22,20,16,46,20,1,4,0,1,2,1,0,0,26,60,7,12,"121,614m","118,121m",141,141,118,132,5.9%,10.6%,40.1%,59.9%,https://www.football-lab.jp/kobe/report/?year=2024&month=05&date=26
A,浦和,D,1,1,1.457,1.172,21,13,6,4,0,0,571,341,20,21,15,9,2,3,5,8,23,14,14,11,14,19,23,34,1,2,3,2,1,3,0,0,51,34,17,7,"109,353m","114,180m",135,126,113,107,18.6%,12.1%,60%,40%,https://www.football-lab.jp/kobe/report/?year=2024&month=06&date=01
H,川崎Ｆ,W,1,0,0.276,2.007,4,16,1,3,0,0,508,368,11,26,9,6,4,2,2,5,22,20,12,11,17,11,22,14,3,0,2,4,1,1,0,0,47,39,11,14,"103,035m","108,744m",91,116,103,109,3.9%,14.7%,55.5%,44.5%,https://www.football-lab.jp/kobe/report/?year=2024&month=06&date=16
A,Ｇ大阪,L,1,2,0.348,1.972,9,13,3,4,0,1,321,400,9,27,8,15,1,2,3,9,29,36,11,16,15,17,36,15,2,2,2,1,3,2,0,0,24,44,9,17,"105,025m","108,107m",104,109,106,128,8.5%,10.2%,48.1%,51.9%,https://www.football-lab.jp/kobe/report/?year=2024&month=06&date=22
H,町田,D,0,0,0.325,1.207,4,15,2,4,0,0,257,423,15,17,13,10,2,2,3,4,23,31,14,20,13,13,22,17,0,1,2,2,0,0,0,0,20,37,7,16,"116,857m","115,715m",144,162,107,114,3.7%,13.2%,39.4%,60.6%,https://www.football-lab.jp/kobe/report/?year=2024&month=06&date=26
H,鹿島,W,3,1,0.84,2.093,8,13,2,6,0,0,432,468,12,15,8,13,3,3,3,2,29,25,13,6,11,21,22,14,2,2,3,3,0,1,0,0,29,32,11,10,"110,187m","113,828m",106,130,114,116,7.0%,11.2%,47.8%,52.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=06&date=30
A,広島,W,3,1,0.984,1.288,14,11,4,6,0,0,453,419,20,10,13,6,2,4,9,4,24,18,2,10,13,15,16,37,1,5,4,2,0,2,0,0,39,26,14,8,"105,766m","110,069m",106,100,117,110,12.0%,10.0%,48.3%,51.7%,https://www.football-lab.jp/kobe/report/?year=2024&month=07&date=05
A,札幌,D,1,1,1.673,2.312,16,15,7,5,1,0,420,357,14,23,10,14,0,2,3,8,18,16,14,7,9,11,33,20,2,1,2,0,0,1,0,0,38,28,13,13,"109,815m","110,294m",143,126,107,119,15.0%,12.6%,53.5%,46.5%,https://www.football-lab.jp/kobe/report/?year=2024&month=07&date=13
H,名古屋,D,3,3,1.121,0.916,8,12,4,3,1,0,288,392,10,26,14,12,0,5,3,7,23,30,7,7,11,10,33,15,2,1,5,0,1,2,0,0,23,34,9,13,"108,471m","110,706m",111,108,117,124,6.8%,9.7%,40.8%,59.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=07&date=20
A,川崎Ｆ,L,0,3,2.055,0.548,16,8,8,2,0,0,573,271,19,13,10,10,2,1,7,4,13,14,12,2,7,16,16,21,0,0,1,1,1,2,0,2,76,23,17,4,"100,432m","97,896m",94,92,96,92,16.7%,8.7%,64.5%,35.5%,https://www.football-lab.jp/kobe/report/?year=2024&month=08&date=07
A,横浜FM,W,2,1,1.334,2.298,11,21,3,5,0,1,452,380,7,18,11,8,2,3,3,5,16,25,12,11,12,18,26,11,1,2,3,2,1,1,0,0,35,37,9,16,"110,562m","113,606m",100,116,96,104,11.5%,20.2%,53.8%,46.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=08&date=11
H,Ｇ大阪,D,2,2,1.005,2.264,12,10,4,6,0,0,421,339,10,12,14,15,1,0,4,3,33,20,12,10,11,13,22,32,1,1,0,1,2,1,0,0,30,24,8,12,"106,310m","110,286m",102,120,112,103,10.7%,9.7%,56.6%,43.4%,https://www.football-lab.jp/kobe/report/?year=2024&month=08&date=17
H,鳥栖,W,2,0,0.464,1.818,9,13,2,5,0,0,400,507,7,18,9,9,1,1,1,8,17,21,11,6,12,12,29,21,1,2,1,1,1,0,0,0,23,34,9,15,"111,885m","112,269m",77,103,98,101,9.2%,12.9%,45.3%,54.7%,https://www.football-lab.jp/kobe/report/?year=2024&month=08&date=25
A,福岡,W,2,0,1.119,2.101,14,15,4,7,0,1,324,399,15,17,9,15,1,4,3,4,24,20,12,12,10,18,23,23,1,0,4,0,1,0,0,0,33,37,11,12,"103,752m","106,127m",109,110,107,108,13.1%,13.9%,46.9%,53.1%,https://www.football-lab.jp/kobe/report/?year=2024&month=09&date=01
H,Ｃ大阪,W,2,1,1.101,1.819,14,11,1,5,0,0,391,465,10,9,13,13,3,1,6,3,21,20,12,6,14,9,25,21,1,1,1,3,0,1,0,0,29,38,6,12,"109,544m","109,211m",95,108,111,106,12.6%,10.4%,47.7%,52.3%,https://www.football-lab.jp/kobe/report/?year=2024&month=09&date=13
A,新潟,W,3,2,0.76,1.768,15,16,3,8,0,0,469,430,14,17,6,12,1,3,8,6,18,16,6,10,12,9,26,29,1,1,3,1,1,1,0,0,33,34,13,9,"112,333m","114,915m",118,128,95,97,15.8%,16.5%,50.5%,49.5%,https://www.football-lab.jp/kobe/report/?year=2024&month=09&date=22
H,浦和,W,1,0,0.439,1.577,6,11,2,3,0,1,391,387,10,14,16,11,2,1,5,7,24,28,7,16,20,16,27,25,2,0,0,2,1,3,0,0,21,31,4,13,"108,988m","109,709m",114,113,120,119,5.0%,9.2%,48.7%,51.3%,https://www.football-lab.jp/kobe/report/?year=2024&month=09&date=28
A,京都,W,3,2,0.605,1.595,11,16,4,6,0,0,374,299,22,18,9,14,4,1,5,4,29,15,11,8,18,21,17,23,2,2,1,4,1,1,0,0,37,35,9,11,"111,699m","111,625m",121,114,127,120,8.7%,13.3%,53.9%,46.1%,https://www.football-lab.jp/kobe/report/?year=2024&month=10&date=06
H,FC東京,L,0,2,0.793,1.29,5,14,4,6,0,0,224,512,3,33,11,20,3,2,1,6,11,47,5,14,19,7,59,13,2,2,2,2,2,1,0,0,11,48,5,20,"114,516m","113,209m",99,96,108,145,4.6%,9.7%,34.4%,65.6%,https://www.football-lab.jp/kobe/report/?year=2024&month=10&date=18
H,磐田,W,2,0,0.595,1.753,9,18,2,6,0,0,223,611,12,25,6,18,1,0,3,8,22,27,10,20,18,13,42,19,3,1,0,1,4,0,0,0,13,55,6,20,"107,106m","110,912m",102,106,107,130,8.4%,13.8%,30.1%,69.9%,https://www.football-lab.jp/kobe/report/?year=2024&month=11&date=01
A,東京Ｖ,D,1,1,0.53,0.611,8,7,2,4,0,0,605,344,16,5,11,11,3,4,4,1,24,22,12,8,20,16,12,25,2,3,3,3,1,0,0,0,38,23,11,6,"119,108m","118,135m",120,137,130,128,6.2%,5.5%,58.6%,41.4%,https://www.football-lab.jp/kobe/report/?year=2024&month=11&date=10
A,柏,D,1,1,1.106,2.302,11,13,2,4,0,1,216,515,7,21,12,15,1,2,5,5,19,23,8,15,19,17,29,15,0,0,2,1,3,1,1,0,18,30,7,11,"116,904m","116,911m",147,126,104,124,10.6%,10.5%,33.6%,66.4%,https://www.football-lab.jp/kobe/report/?year=2024&month=11&date=30
H,湘南,W,3,0,0.061,1.724,3,14,2,5,0,0,477,305,6,15,6,12,4,0,1,7,26,32,0,10,37,31,27,17,1,3,0,4,1,0,0,0,31,26,7,11,"106,902m","113,010m",137,156,135,146,2.2%,9.6%,57.8%,42.2%,https://www.football-lab.jp/kobe/report/?year=2024&month=12&date=08
