HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,Opponent_ゴール期待値,g-os_ゴール期待値,Opponent_シュート,g-os_シュート,Opponent_枠内シュート,g-os_枠内シュート,Opponent_PKによるシュート,g-os_PKによるシュート,Opponent_パス,g-os_パス,Opponent_クロス,g-os_クロス,Opponent_直接ＦＫ,g-os_直接ＦＫ,Opponent_間接ＦＫ,g-os_間接ＦＫ,Opponent_ＣＫ,g-os_ＣＫ,Opponent_スローイン,g-os_スローイン,Opponent_ドリブル,g-os_ドリブル,Opponent_タックル,g-os_タックル,Opponent_クリア,g-os_クリア,Opponent_インターセプト,g-os_インターセプト,Opponent_オフサイド,g-os_オフサイド,Opponent_警告,g-os_警告,Opponent_退場,g-os_退場,Opponent_３０ｍライン進入,g-os_３０ｍライン進入,Opponent_ペナルティエリア進入,g-os_ペナルティエリア進入,Opponent_総移動距離,g-os_総移動距離,Opponent_スプリント,g-os_スプリント,Opponent_攻撃回数,g-os_攻撃回数,Opponent_チャンス構築率,g-os_チャンス構築率,Opponent_ボール保持率,g-os_ボール保持率,URL
A,鳥栖,W,2,0,0.917,1.246,13,14,3,7,0,0,619,466,21,8,7,10,0,0,6,2,22,24,17,7,15,12,12,17,1,1,0,0,1,0,0,0,40,33,16,6,"123,290m","117,082m",154,140,105,110,12.4%,12.7%,52.6%,47.4%,https://www.football-lab.jp/g-os/report/?year=2024&month=07&date=14
H,湘南,L,0,1,1.107,0.692,17,9,5,3,0,0,500,355,12,19,8,8,2,5,4,6,16,23,10,18,21,11,19,15,3,2,5,2,2,2,0,0,55,29,19,13,"107,879m","108,486m",138,101,83,84,20.5%,10.7%,56.6%,43.4%,https://www.football-lab.jp/g-os/report/?year=2024&month=07&date=20
H,FC東京,D,0,0,0.804,2.56,10,25,1,7,0,0,281,580,14,33,10,12,2,3,5,4,18,29,8,22,10,10,36,18,4,0,3,2,3,1,0,0,25,67,11,33,"113,023m","107,117m",123,106,103,104,9.7%,24.0%,35.3%,64.7%,https://www.football-lab.jp/g-os/report/?year=2024&month=08&date=07
A,柏,D,0,0,1.273,0.667,15,10,7,5,0,0,402,447,24,11,10,11,2,1,6,4,24,14,13,11,12,9,11,31,2,1,1,2,1,0,0,0,55,30,23,8,"107,193m","105,490m",131,114,104,93,14.4%,10.8%,43.6%,56.4%,https://www.football-lab.jp/g-os/report/?year=2024&month=08&date=11
A,神戸,D,2,2,2.264,1.005,10,12,6,4,0,0,339,421,12,10,15,14,0,1,3,4,20,33,10,12,13,11,32,22,1,1,1,0,1,2,0,0,24,30,12,8,"110,286m","106,310m",120,102,103,112,9.7%,10.7%,43.4%,56.6%,https://www.football-lab.jp/g-os/report/?year=2024&month=08&date=17
H,福岡,D,2,2,1.633,1.724,9,21,3,7,1,0,275,494,15,10,11,21,0,1,3,4,10,13,9,19,22,9,20,22,3,0,1,0,3,1,0,0,34,45,10,15,"110,118m","104,495m",102,69,92,105,9.8%,20.0%,37%,63%,https://www.football-lab.jp/g-os/report/?year=2024&month=08&date=24
H,浦和,L,0,1,0.493,1.063,8,14,2,3,0,0,361,542,3,23,4,12,1,1,3,4,20,21,6,16,20,13,32,11,2,1,1,1,0,1,0,0,17,70,8,22,"113,958m","107,170m",103,96,97,110,8.2%,12.7%,42.1%,57.9%,https://www.football-lab.jp/g-os/report/?year=2024&month=09&date=14
A,京都,D,2,2,1.518,3.043,15,21,5,8,0,0,275,454,21,25,6,14,2,1,4,9,16,19,12,14,18,22,33,18,0,2,1,2,3,1,0,0,30,39,8,18,"115,834m","115,533m",159,160,100,117,15.0%,17.9%,40.3%,59.7%,https://www.football-lab.jp/g-os/report/?year=2024&month=09&date=22
H,東京Ｖ,D,1,1,0.878,0.465,11,5,5,3,0,0,460,464,12,6,16,14,2,1,3,3,20,16,7,7,21,14,15,22,1,2,1,2,0,1,0,0,43,41,12,11,"104,521m","102,728m",86,88,99,88,11.1%,5.7%,49.3%,50.7%,https://www.football-lab.jp/g-os/report/?year=2024&month=09&date=28
A,Ｃ大阪,L,0,1,1.795,0.418,21,5,9,0,0,0,360,453,8,9,17,8,1,3,5,3,27,24,13,5,16,18,17,25,3,2,3,1,0,1,0,0,41,24,13,3,"113,375m","104,366m",115,123,126,112,16.7%,4.5%,47.8%,52.2%,https://www.football-lab.jp/g-os/report/?year=2024&month=10&date=02
H,札幌,W,2,1,0.675,3.064,7,21,3,5,0,1,348,648,7,15,10,6,0,1,5,5,19,24,11,22,34,32,27,11,2,4,1,0,0,0,0,0,28,61,3,16,"118,690m","118,562m",128,148,125,135,5.6%,15.6%,38.6%,61.4%,https://www.football-lab.jp/g-os/report/?year=2024&month=10&date=05
A,川崎Ｆ,D,1,1,2.471,1.314,16,12,3,2,0,0,587,338,22,6,12,17,3,1,3,3,18,17,16,7,20,24,11,27,3,0,1,3,2,1,0,0,48,19,22,8,"105,937m","107,641m",99,84,96,110,16.7%,10.9%,60.2%,39.8%,https://www.football-lab.jp/g-os/report/?year=2024&month=10&date=18
H,名古屋,W,3,2,2.131,1.574,19,12,8,6,0,0,371,563,14,5,9,9,0,1,7,3,27,17,5,9,15,22,17,26,3,2,1,0,0,0,0,0,27,34,11,12,"111,143m","109,898m",107,109,108,105,17.6%,11.4%,38.5%,61.5%,https://www.football-lab.jp/g-os/report/?year=2024&month=10&date=23
A,磐田,W,4,3,1.502,1.768,15,15,5,6,0,1,303,511,19,10,12,13,3,1,3,4,26,6,13,6,13,14,18,30,1,1,1,3,4,1,0,0,26,35,8,10,"111,580m","112,914m",107,91,113,108,13.3%,13.9%,39.1%,60.9%,https://www.football-lab.jp/g-os/report/?year=2024&month=11&date=09
A,新潟,W,1,0,0.932,1.213,10,10,3,4,0,0,528,518,17,9,8,11,1,1,10,4,16,20,10,6,24,13,16,30,2,5,1,1,2,0,0,0,35,39,10,10,"119,039m","113,360m",107,121,103,100,9.7%,10.0%,50.2%,49.8%,https://www.football-lab.jp/g-os/report/?year=2024&month=11&date=30
H,広島,W,3,1,2.117,2.23,19,12,4,6,0,0,420,388,21,9,12,15,1,2,10,3,19,11,12,16,17,17,16,36,4,2,2,1,0,2,0,0,30,34,16,13,"109,050m","111,633m",102,102,130,122,14.6%,9.8%,48.3%,51.7%,https://www.football-lab.jp/g-os/report/?year=2024&month=12&date=08
