HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_ゴール期待値,kasm_ゴール期待値,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,名古屋,W,3,0,0.411,1.077,6,16,0,5,0,0,553,435,19,16,10,12,1,1,4,9,23,20,9,14,19,24,26,30,0,4,1,1,0,0,0,0,43,30,10,12,"114,437m","118,037m",133,143,111,114,5.4%,14.0%,54.1%,45.9%,https://www.football-lab.jp/kasm/report/?year=2024&month=02&date=23
H,Ｃ大阪,D,1,1,1.593,1.075,13,9,6,2,0,0,512,467,13,12,16,8,5,1,4,7,32,21,14,6,14,18,21,26,1,3,1,5,1,3,0,0,34,35,12,9,"111,422m","112,041m",84,109,132,112,9.8%,8.0%,51.6%,48.4%,https://www.football-lab.jp/kasm/report/?year=2024&month=03&date=02
A,町田,L,0,1,1.066,0.482,12,10,3,1,0,0,283,548,13,12,10,16,4,4,4,4,21,24,11,7,17,12,24,21,1,3,4,4,2,1,0,0,31,34,13,8,"121,611m","118,706m",136,135,114,120,10.5%,8.3%,38.1%,61.9%,https://www.football-lab.jp/kasm/report/?year=2024&month=03&date=09
H,川崎Ｆ,W,2,1,0.642,1.827,8,13,2,3,0,0,455,348,13,17,10,11,3,1,5,8,14,32,5,7,21,19,18,21,2,2,1,3,3,1,1,0,32,32,7,15,"105,027m","105,895m",133,135,103,123,7.8%,10.6%,54.1%,45.9%,https://www.football-lab.jp/kasm/report/?year=2024&month=03&date=17
H,磐田,W,1,0,1.382,1.815,16,13,4,2,0,1,436,512,27,10,9,11,4,2,4,5,23,20,10,11,9,20,19,33,3,1,1,4,2,1,0,0,45,32,19,11,"109,943m","110,655m",100,125,116,115,13.8%,11.3%,46.8%,53.2%,https://www.football-lab.jp/kasm/report/?year=2024&month=03&date=30
A,福岡,L,0,1,0.568,0.486,8,7,4,1,0,0,337,562,11,11,6,16,2,2,9,1,28,26,5,5,19,22,29,26,2,0,2,2,3,1,0,0,29,36,5,6,"116,267m","110,894m",142,119,121,117,6.6%,6.0%,40.7%,59.3%,https://www.football-lab.jp/kasm/report/?year=2024&month=04&date=03
A,FC東京,L,0,2,1.05,0.849,12,15,4,2,0,0,427,520,10,21,8,15,1,1,6,4,19,23,12,13,15,24,32,16,2,2,1,1,2,0,0,0,28,51,6,15,"119,306m","113,205m",128,126,115,117,10.4%,12.8%,46.3%,53.7%,https://www.football-lab.jp/kasm/report/?year=2024&month=04&date=07
H,京都,W,1,0,0.51,2.003,8,17,0,4,0,0,291,408,11,28,7,12,2,4,4,7,23,17,6,21,14,15,34,20,2,3,4,2,0,0,0,0,24,41,7,24,"110,568m","108,319m",163,153,116,115,6.9%,14.8%,42.6%,57.4%,https://www.football-lab.jp/kasm/report/?year=2024&month=04&date=13
A,鳥栖,L,2,4,2.497,2.347,14,19,8,4,1,1,369,415,11,29,9,11,2,3,8,8,18,21,7,20,19,17,28,17,2,0,2,2,2,0,0,0,29,42,11,25,"129,723m","121,369m",184,206,111,104,12.6%,18.3%,47%,53%,https://www.football-lab.jp/kasm/report/?year=2024&month=04&date=20
A,Ｇ大阪,W,2,1,0.599,1.237,7,12,4,4,0,0,478,365,14,10,15,18,2,0,6,4,20,19,19,10,11,12,25,25,2,5,1,2,1,4,0,0,27,33,16,6,"110,204m","110,352m",122,138,105,106,6.7%,11.3%,54.7%,45.3%,https://www.football-lab.jp/kasm/report/?year=2024&month=04&date=28
