HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_ゴール期待値,Opponent_ゴール期待値,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_総移動距離,Opponent_総移動距離,nago_スプリント,Opponent_スプリント,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,L,0,3,0.411,1.077,6,16,0,5,0,0,553,435,19,16,10,12,1,1,4,9,23,20,9,14,19,24,26,30,0,4,1,1,0,0,0,0,43,30,10,12,"114,437m","118,037m",133,143,111,114,5.4%,14.0%,54.1%,45.9%,https://www.football-lab.jp/nago/report/?year=2024&month=02&date=23
H,町田,L,0,1,0.345,2.091,7,14,2,1,0,0,409,325,11,22,22,13,1,1,1,6,21,30,8,12,20,16,40,21,3,1,1,1,3,3,1,0,31,36,6,13,"113,997m","115,477m",136,114,120,129,5.8%,10.9%,54%,46%,https://www.football-lab.jp/nago/report/?year=2024&month=03&date=02
A,新潟,L,0,1,0.418,1.065,9,16,3,4,0,0,420,657,8,16,8,9,1,1,6,5,17,22,7,13,33,23,25,24,3,2,1,1,1,1,0,0,27,55,6,16,"121,150m","119,776m",145,123,120,121,7.5%,13.2%,41.5%,58.5%,https://www.football-lab.jp/nago/report/?year=2024&month=03&date=09
A,柏,W,2,0,1.48,1.219,8,15,5,1,0,0,294,475,16,9,11,15,0,5,7,9,17,22,6,6,26,10,30,20,2,1,5,0,3,1,0,0,23,36,7,9,"112,699m","109,755m",158,143,116,123,6.9%,12.2%,40.2%,59.8%,https://www.football-lab.jp/nago/report/?year=2024&month=03&date=16
H,横浜FM,W,2,1,1.235,2.238,13,16,5,5,0,0,320,535,14,24,18,19,3,1,2,9,22,20,4,23,23,12,20,27,1,0,1,3,1,3,0,0,28,46,14,17,"119,939m","116,568m",138,121,109,111,11.9%,14.4%,40.8%,59.2%,https://www.football-lab.jp/nago/report/?year=2024&month=03&date=30
A,札幌,W,2,1,1.682,0.872,7,11,5,2,1,0,418,654,4,16,10,13,1,0,1,8,17,21,8,17,19,13,22,9,0,1,0,1,2,2,0,0,23,62,5,15,"115,678m","113,717m",105,90,111,123,6.3%,8.9%,42.5%,57.5%,https://www.football-lab.jp/nago/report/?year=2024&month=04&date=03
H,福岡,D,0,0,0.131,1.061,4,14,1,2,0,0,450,386,9,14,13,14,1,0,2,8,24,32,8,15,15,22,26,8,2,5,0,1,2,3,0,0,26,25,4,6,"105,552m","105,507m",99,111,115,126,3.5%,11.1%,50.3%,49.7%,https://www.football-lab.jp/nago/report/?year=2024&month=04&date=07
A,磐田,W,1,0,0.499,1.07,7,13,2,1,0,0,306,606,5,23,19,10,2,3,2,6,9,22,3,15,16,15,34,11,3,1,3,2,2,3,1,0,25,44,5,13,"108,090m","112,015m",100,83,96,100,7.3%,13.0%,38.3%,61.7%,https://www.football-lab.jp/nago/report/?year=2024&month=04&date=13
H,Ｃ大阪,W,2,1,0.796,1.551,7,14,4,3,0,0,281,581,8,20,9,17,0,4,3,10,18,30,3,17,22,11,45,10,3,2,4,0,4,1,0,0,19,55,5,20,"112,629m","108,772m",134,121,104,122,6.7%,11.5%,35.5%,64.5%,https://www.football-lab.jp/nago/report/?year=2024&month=04&date=21
A,浦和,L,1,2,1.601,1.282,13,8,4,6,0,1,496,390,18,9,13,11,2,0,5,4,26,23,12,9,18,16,23,21,3,0,0,2,1,2,0,0,49,24,13,9,"110,328m","109,281m",113,117,114,109,11.4%,7.3%,53.6%,46.4%,https://www.football-lab.jp/nago/report/?year=2024&month=04&date=28
