HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,hiro_ゴール期待値,Opponent_ゴール期待値,hiro_シュート,Opponent_シュート,hiro_枠内シュート,Opponent_枠内シュート,hiro_PKによるシュート,Opponent_PKによるシュート,hiro_パス,Opponent_パス,hiro_クロス,Opponent_クロス,hiro_直接ＦＫ,Opponent_直接ＦＫ,hiro_間接ＦＫ,Opponent_間接ＦＫ,hiro_ＣＫ,Opponent_ＣＫ,hiro_スローイン,Opponent_スローイン,hiro_ドリブル,Opponent_ドリブル,hiro_タックル,Opponent_タックル,hiro_クリア,Opponent_クリア,hiro_インターセプト,Opponent_インターセプト,hiro_オフサイド,Opponent_オフサイド,hiro_警告,Opponent_警告,hiro_退場,Opponent_退場,hiro_３０ｍライン進入,Opponent_３０ｍライン進入,hiro_ペナルティエリア進入,Opponent_ペナルティエリア進入,hiro_総移動距離,Opponent_総移動距離,hiro_スプリント,Opponent_スプリント,hiro_攻撃回数,Opponent_攻撃回数,hiro_チャンス構築率,Opponent_チャンス構築率,hiro_ボール保持率,Opponent_ボール保持率,URL
H,浦和,W,2,0,2.854,1.974,27,16,11,4,1,0,410,530,21,14,8,15,0,1,9,5,22,24,9,14,23,14,20,27,3,6,1,0,2,1,0,0,45,29,16,16,"122,162m","119,947m",154,125,139,141,19.4%,11.3%,43.4%,56.6%,https://www.football-lab.jp/hiro/report/?year=2024&month=02&date=23
A,FC東京,D,1,1,2.207,0.969,17,11,7,1,1,0,435,299,35,11,10,14,2,4,5,4,43,15,5,22,20,16,14,47,1,1,4,2,1,1,0,0,61,26,24,7,"109,196m","114,438m",183,164,130,119,13.1%,9.2%,50.8%,49.2%,https://www.football-lab.jp/hiro/report/?year=2024&month=03&date=02
H,鳥栖,W,4,0,3.482,0.332,29,7,9,2,1,0,431,492,21,9,17,14,1,5,8,2,21,10,12,13,20,18,11,17,2,3,5,0,0,3,0,0,37,25,13,4,"115,818m","118,316m",162,132,122,104,23.8%,6.7%,45.8%,54.2%,https://www.football-lab.jp/hiro/report/?year=2024&month=03&date=09
A,神戸,D,0,0,0.481,0.86,10,9,0,4,0,0,388,350,11,16,14,18,0,5,3,8,29,20,11,14,26,28,31,28,0,1,5,0,3,2,0,0,29,24,4,8,"109,257m","113,835m",125,122,148,143,6.8%,6.3%,50.1%,49.9%,https://www.football-lab.jp/hiro/report/?year=2024&month=03&date=16
H,Ｇ大阪,D,1,1,1.631,1.259,21,9,3,3,0,0,508,321,21,11,19,11,2,1,8,3,34,19,13,9,21,20,16,43,1,2,1,2,0,0,0,0,53,18,18,11,"111,805m","113,368m",128,131,140,121,15.0%,7.4%,56.4%,43.6%,https://www.football-lab.jp/hiro/report/?year=2024&month=03&date=30
A,町田,W,2,1,1.844,0.487,15,5,4,0,1,0,453,317,16,8,20,7,2,2,4,2,24,20,7,12,11,19,15,22,2,3,3,2,0,4,0,0,40,27,10,4,"116,322m","120,574m",142,138,141,122,10.6%,4.1%,54.1%,45.9%,https://www.football-lab.jp/hiro/report/?year=2024&month=04&date=03
H,湘南,W,2,0,3.694,0.458,29,7,8,1,1,0,394,305,25,11,20,11,2,1,12,6,26,17,13,11,21,10,16,28,1,5,1,2,0,2,0,1,35,33,19,10,"110,710m","109,245m",125,142,121,102,24.0%,6.9%,51.4%,48.6%,https://www.football-lab.jp/hiro/report/?year=2024&month=04&date=07
A,福岡,D,1,1,0.77,0.926,11,7,3,3,0,0,492,292,17,9,21,11,3,0,6,4,22,30,6,12,20,17,10,26,3,2,0,3,2,6,0,0,32,26,9,6,"105,458m","109,297m",108,130,130,122,8.5%,5.7%,58%,42%,https://www.football-lab.jp/hiro/report/?year=2024&month=04&date=13
A,札幌,D,1,1,2.16,0.415,22,5,7,2,0,0,505,511,18,3,12,10,0,0,8,1,33,20,12,8,20,20,12,25,4,0,0,0,0,2,0,0,52,34,19,6,"116,624m","117,073m",119,96,139,124,15.8%,4.0%,48.5%,51.5%,https://www.football-lab.jp/hiro/report/?year=2024&month=04&date=20
H,川崎Ｆ,D,2,2,3.224,1.445,24,12,8,3,0,0,398,441,21,16,15,11,0,2,8,3,25,13,13,10,13,11,16,35,2,3,2,0,2,3,0,0,37,39,14,18,"108,590m","109,583m",106,138,122,108,19.7%,11.1%,45.2%,54.8%,https://www.football-lab.jp/hiro/report/?year=2024&month=04&date=28
A,新潟,D,1,1,1.311,0.603,15,6,6,2,0,0,623,280,24,9,13,11,0,4,6,3,22,17,10,9,7,12,16,44,1,0,4,0,0,1,0,1,70,19,18,5,"110,483m","110,039m",111,119,109,101,13.8%,5.9%,61.5%,38.5%,https://www.football-lab.jp/hiro/report/?year=2024&month=05&date=03
H,名古屋,L,2,3,1.54,0.824,16,8,6,4,0,0,504,267,21,6,15,14,1,2,7,0,38,14,16,5,18,11,8,43,0,0,2,1,0,1,0,0,49,14,8,5,"108,866m","109,672m",83,110,122,100,13.1%,8.0%,59.6%,40.4%,https://www.football-lab.jp/hiro/report/?year=2024&month=05&date=06
H,鹿島,L,1,3,1.227,1.601,15,11,1,5,0,1,476,336,28,11,16,15,2,0,10,3,26,18,14,18,15,11,22,37,1,1,0,2,2,3,0,0,43,28,18,12,"110,923m","112,033m",108,119,120,111,12.5%,9.9%,55%,45%,https://www.football-lab.jp/hiro/report/?year=2024&month=05&date=15
A,京都,W,5,0,1.301,0.284,17,6,7,1,0,0,327,413,11,4,12,20,3,3,2,2,22,24,9,10,19,18,22,23,4,3,3,3,1,3,0,0,32,23,14,4,"117,915m","116,001m",148,159,130,140,13.1%,4.3%,42.5%,57.5%,https://www.football-lab.jp/hiro/report/?year=2024&month=05&date=19
A,Ｃ大阪,D,1,1,1.454,0.924,15,11,5,3,0,0,327,370,19,10,10,21,1,1,11,8,17,17,5,13,12,14,19,24,1,1,1,1,2,1,0,0,18,25,10,8,"109,935m","109,570m",126,126,114,114,13.2%,9.6%,44.2%,55.8%,https://www.football-lab.jp/hiro/report/?year=2024&month=05&date=26
H,磐田,W,2,0,0.905,0.983,13,10,4,1,0,0,455,436,20,17,14,16,1,1,5,2,18,15,9,13,12,8,27,26,0,2,1,1,0,1,0,0,54,28,13,12,"111,082m","110,792m",98,92,115,115,11.3%,8.7%,50.6%,49.4%,https://www.football-lab.jp/hiro/report/?year=2024&month=06&date=01
H,東京Ｖ,W,4,1,1.928,0.998,22,13,8,2,0,0,378,419,19,9,15,13,0,1,7,1,22,17,14,9,15,21,20,25,2,2,1,0,2,2,0,0,33,28,16,9,"110,388m","112,309m",123,106,113,107,19.5%,12.1%,44.9%,55.1%,https://www.football-lab.jp/hiro/report/?year=2024&month=06&date=15
A,横浜FM,L,2,3,0.764,1.766,11,16,4,6,0,0,334,494,18,14,12,9,0,1,4,5,33,34,13,28,21,17,20,35,3,3,1,0,2,0,1,0,30,46,9,12,"113,066m","118,173m",126,124,130,126,8.5%,12.7%,42.3%,57.7%,https://www.football-lab.jp/hiro/report/?year=2024&month=06&date=19
A,柏,W,1,0,1.08,2.233,14,19,2,4,0,0,291,479,7,21,13,9,3,2,5,7,20,25,7,14,19,6,44,20,0,2,2,2,0,1,0,0,11,41,7,20,"113,710m","113,132m",113,134,124,127,11.3%,15.0%,41.1%,58.9%,https://www.football-lab.jp/hiro/report/?year=2024&month=06&date=22
H,新潟,D,1,1,1.883,0.834,21,7,7,1,0,0,366,613,24,8,5,7,2,3,11,1,22,21,16,9,20,7,11,29,2,4,3,2,0,1,0,0,41,35,15,10,"110,597m","114,522m",101,86,116,117,18.1%,6.0%,37.4%,62.6%,https://www.football-lab.jp/hiro/report/?year=2024&month=06&date=26
