HOME/AWAY,Opponent,勝敗,fuku_得点,fuku_失点,fuku_ゴール期待値,Opponent_ゴール期待値,fuku_シュート,Opponent_シュート,fuku_枠内シュート,Opponent_枠内シュート,fuku_PKによるシュート,Opponent_PKによるシュート,fuku_パス,Opponent_パス,fuku_クロス,Opponent_クロス,fuku_直接ＦＫ,Opponent_直接ＦＫ,fuku_間接ＦＫ,Opponent_間接ＦＫ,fuku_ＣＫ,Opponent_ＣＫ,fuku_スローイン,Opponent_スローイン,fuku_ドリブル,Opponent_ドリブル,fuku_タックル,Opponent_タックル,fuku_クリア,Opponent_クリア,fuku_インターセプト,Opponent_インターセプト,fuku_オフサイド,Opponent_オフサイド,fuku_警告,Opponent_警告,fuku_退場,Opponent_退場,fuku_３０ｍライン進入,Opponent_３０ｍライン進入,fuku_ペナルティエリア進入,Opponent_ペナルティエリア進入,fuku_総移動距離,Opponent_総移動距離,fuku_スプリント,Opponent_スプリント,fuku_攻撃回数,Opponent_攻撃回数,fuku_チャンス構築率,Opponent_チャンス構築率,fuku_ボール保持率,Opponent_ボール保持率,URL
H,札幌,D,0,0,0.605,0.496,9,9,2,3,0,0,383,709,8,18,9,10,1,3,2,2,19,20,8,12,20,21,34,9,2,4,3,1,0,2,0,0,31,54,6,10,"117,202m","114,806m",138,110,113,126,8.0%,7.1%,37.9%,62.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=02&date=24
A,横浜FM,W,1,0,0.87,2.643,9,22,4,5,0,0,305,773,15,22,7,16,0,2,1,8,12,22,6,27,16,8,49,13,6,2,2,0,0,1,0,0,34,85,10,21,"123,368m","119,796m",150,98,105,122,8.6%,18.0%,35.7%,64.3%,https://www.football-lab.jp/fuku/report/?year=2024&month=03&date=01
H,湘南,D,1,1,1.669,0.905,18,8,10,4,0,0,349,489,13,11,11,17,1,2,8,6,35,20,13,9,23,22,26,36,0,2,1,1,1,2,0,0,27,35,7,10,"107,440m","106,614m",121,108,132,123,13.6%,6.5%,41.4%,58.6%,https://www.football-lab.jp/fuku/report/?year=2024&month=03&date=09
H,FC東京,L,1,3,1.254,0.98,15,11,5,3,0,0,422,523,23,13,11,16,1,2,5,2,23,20,19,5,21,25,11,24,3,1,2,1,3,2,0,0,50,38,19,9,"113,949m","119,153m",121,120,125,125,12.0%,8.8%,45.3%,54.7%,https://www.football-lab.jp/fuku/report/?year=2024&month=03&date=16
A,浦和,L,1,2,0.181,2.868,4,18,4,8,0,1,257,645,13,12,7,13,0,6,4,7,21,17,10,11,15,16,26,14,2,0,5,0,2,0,0,0,28,45,4,16,"114,633m","111,094m",119,96,101,108,4.0%,16.7%,31.9%,68.1%,https://www.football-lab.jp/fuku/report/?year=2024&month=03&date=30
H,鹿島,W,1,0,0.568,0.486,8,7,4,1,0,0,337,562,11,11,6,16,2,2,9,1,28,26,5,5,19,22,29,26,2,0,2,2,3,1,0,0,29,36,5,6,"116,267m","110,894m",142,119,121,117,6.6%,6.0%,40.7%,59.3%,https://www.football-lab.jp/fuku/report/?year=2024&month=04&date=03
A,名古屋,D,0,0,1.061,0.131,14,4,2,1,0,0,386,450,14,9,14,13,0,1,8,2,32,24,15,8,22,15,8,26,5,2,1,0,3,2,0,0,25,26,6,4,"105,507m","105,552m",111,99,126,115,11.1%,3.5%,49.7%,50.3%,https://www.football-lab.jp/fuku/report/?year=2024&month=04&date=07
H,広島,D,1,1,0.926,0.77,7,11,3,3,0,0,292,492,9,17,11,21,0,3,4,6,30,22,12,6,17,20,26,10,2,3,3,0,6,2,0,0,26,32,6,9,"109,297m","105,458m",130,108,122,130,5.7%,8.5%,42%,58%,https://www.football-lab.jp/fuku/report/?year=2024&month=04&date=13
H,磐田,D,2,2,0.925,0.853,13,8,3,3,0,0,531,354,23,15,10,15,2,1,4,2,35,19,18,6,14,18,14,36,1,2,1,2,2,1,0,0,39,23,12,8,"113,241m","113,154m",120,90,129,119,10.1%,6.7%,60%,40%,https://www.football-lab.jp/fuku/report/?year=2024&month=04&date=20
A,東京Ｖ,D,0,0,0.996,0.947,13,9,3,4,0,0,448,553,15,14,8,9,0,0,5,9,27,27,11,13,25,18,20,23,1,0,0,0,2,0,0,0,39,39,16,10,"110,076m","113,971m",147,129,107,114,12.1%,7.9%,45.4%,54.6%,https://www.football-lab.jp/fuku/report/?year=2024&month=04&date=28
