HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_ゴール期待値,ka-f_ゴール期待値,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
H,神戸,W,3,0,0.548,2.055,8,16,2,8,0,0,271,573,13,19,10,10,1,2,4,7,14,13,2,12,16,7,21,16,0,0,1,1,2,1,2,0,23,76,4,17,"97,896m","100,432m",92,94,92,96,8.7%,16.7%,35.5%,64.5%,https://www.football-lab.jp/ka-f/report/?year=2024&month=08&date=07
A,FC東京,W,3,0,1.295,1.383,11,10,4,4,0,0,400,565,19,24,9,8,1,4,3,6,22,14,10,16,19,14,19,28,2,1,4,1,1,0,0,0,41,49,16,20,"109,157m","106,810m",112,121,92,92,12.0%,10.9%,41%,59%,https://www.football-lab.jp/ka-f/report/?year=2024&month=08&date=11
H,横浜FM,L,1,3,2.004,2.425,14,22,4,6,1,0,438,415,10,28,9,9,2,0,5,12,11,14,10,10,9,18,35,14,0,3,0,2,1,1,0,0,43,64,13,21,"108,046m","101,522m",80,95,87,91,16.1%,24.2%,49.8%,50.2%,https://www.football-lab.jp/ka-f/report/?year=2024&month=08&date=17
A,札幌,L,0,2,1.167,1.707,11,18,7,5,0,0,327,494,8,13,10,16,1,2,4,8,15,16,13,9,16,23,27,20,0,1,2,1,0,0,0,0,22,41,8,19,"107,892m","103,045m",126,130,113,125,9.7%,14.4%,41%,59%,https://www.football-lab.jp/ka-f/report/?year=2024&month=09&date=01
H,鳥栖,W,3,2,2.345,1.649,15,16,6,7,1,0,474,539,20,20,4,9,3,1,4,8,14,17,19,11,20,20,30,32,1,3,1,3,1,0,0,0,44,53,16,21,"117,991m","110,346m",106,94,110,118,13.6%,13.6%,46.5%,53.5%,https://www.football-lab.jp/ka-f/report/?year=2024&month=09&date=13
A,名古屋,L,0,2,1.224,1.797,13,19,4,4,0,0,311,551,12,19,11,8,1,5,5,7,14,15,5,13,22,14,31,19,1,3,5,1,1,2,0,1,26,54,15,18,"109,850m","102,259m",99,131,103,104,12.6%,18.3%,37.8%,62.2%,https://www.football-lab.jp/ka-f/report/?year=2024&month=09&date=22
H,新潟,W,5,1,1.765,2.368,20,15,8,10,0,1,653,374,20,10,13,10,1,0,8,3,19,12,8,10,8,24,11,30,3,2,0,1,1,2,0,0,54,37,27,17,"114,278m","111,897m",116,146,110,92,18.2%,16.3%,59.9%,40.1%,https://www.football-lab.jp/ka-f/report/?year=2024&month=09&date=27
A,町田,W,4,1,0.574,2.865,8,25,1,13,0,1,293,526,13,22,6,11,2,0,4,4,18,27,13,11,12,6,28,14,1,3,0,3,1,0,0,0,26,51,10,26,"116,933m","116,371m",125,131,107,118,7.5%,21.2%,41.8%,58.2%,https://www.football-lab.jp/ka-f/report/?year=2024&month=10&date=05
H,Ｇ大阪,D,1,1,1.314,2.471,12,16,2,3,0,0,338,587,6,22,17,12,1,3,3,3,17,18,7,16,24,20,27,11,0,3,3,1,1,2,0,0,19,48,8,22,"107,641m","105,937m",84,99,110,96,10.9%,16.7%,39.8%,60.2%,https://www.football-lab.jp/ka-f/report/?year=2024&month=10&date=18
H,鹿島,L,1,3,1.033,1.813,11,11,6,2,0,0,231,575,13,21,15,22,1,4,2,5,19,28,14,9,19,16,40,19,3,4,4,1,2,1,0,0,28,36,9,16,"109,604m","104,144m",113,100,103,115,10.7%,9.6%,38.9%,61.1%,https://www.football-lab.jp/ka-f/report/?year=2024&month=11&date=01
A,京都,D,1,1,2.786,1.409,17,12,8,2,1,0,272,472,18,18,13,14,3,1,3,8,9,23,11,18,25,14,36,24,2,4,1,3,2,1,0,0,33,35,9,18,"113,144m","107,171m",139,146,109,135,15.6%,8.9%,42.3%,57.7%,https://www.football-lab.jp/ka-f/report/?year=2024&month=11&date=09
A,浦和,D,1,1,1.307,1.37,10,11,4,2,0,0,418,571,11,21,14,10,2,0,5,6,15,24,5,13,15,14,31,16,2,1,0,2,1,0,0,0,34,54,10,18,"114,519m","108,646m",113,98,102,106,9.8%,10.4%,45%,55%,https://www.football-lab.jp/ka-f/report/?year=2024&month=11&date=22
A,東京Ｖ,W,5,4,1.563,2.367,13,16,5,7,0,1,432,470,19,15,13,8,3,2,6,6,14,21,11,11,21,18,19,19,1,0,2,3,0,2,0,0,31,34,14,18,"121,382m","117,326m",175,152,114,116,11.4%,13.8%,48.1%,51.9%,https://www.football-lab.jp/ka-f/report/?year=2024&month=11&date=30
H,福岡,W,3,1,1.387,1.758,12,15,2,7,0,0,371,589,15,13,6,11,1,2,5,9,17,20,12,8,19,21,23,23,3,3,2,1,1,1,0,0,34,41,16,9,"113,921m","112,731m",120,109,107,117,11.2%,12.8%,41.6%,58.4%,https://www.football-lab.jp/ka-f/report/?year=2024&month=12&date=08
