HOME/AWAY,Opponent,勝敗,kasw_得点,kasw_失点,kasw_ゴール期待値,Opponent_ゴール期待値,kasw_シュート,Opponent_シュート,kasw_枠内シュート,Opponent_枠内シュート,kasw_PKによるシュート,Opponent_PKによるシュート,kasw_パス,Opponent_パス,kasw_クロス,Opponent_クロス,kasw_直接ＦＫ,Opponent_直接ＦＫ,kasw_間接ＦＫ,Opponent_間接ＦＫ,kasw_ＣＫ,Opponent_ＣＫ,kasw_スローイン,Opponent_スローイン,kasw_ドリブル,Opponent_ドリブル,kasw_タックル,Opponent_タックル,kasw_クリア,Opponent_クリア,kasw_インターセプト,Opponent_インターセプト,kasw_オフサイド,Opponent_オフサイド,kasw_警告,Opponent_警告,kasw_退場,Opponent_退場,kasw_３０ｍライン進入,Opponent_３０ｍライン進入,kasw_ペナルティエリア進入,Opponent_ペナルティエリア進入,kasw_総移動距離,Opponent_総移動距離,kasw_スプリント,Opponent_スプリント,kasw_攻撃回数,Opponent_攻撃回数,kasw_チャンス構築率,Opponent_チャンス構築率,kasw_ボール保持率,Opponent_ボール保持率,URL
H,京都,D,1,1,1.671,1.353,10,12,3,5,1,0,301,279,11,14,12,15,5,1,5,5,31,31,9,6,19,22,12,27,1,2,1,5,3,0,0,0,15,21,9,4,"104,804m","107,479m",134,172,131,128,7.6%,9.4%,53.1%,46.9%,https://www.football-lab.jp/kasw/report/?year=2024&month=02&date=25
A,神戸,W,1,0,0.929,0.882,11,9,1,2,0,0,433,406,14,21,10,13,4,0,4,3,27,29,9,10,11,15,37,30,1,1,0,4,2,1,0,0,33,30,15,12,"119,802m","119,238m",164,147,123,130,8.9%,6.9%,54.5%,45.5%,https://www.football-lab.jp/kasw/report/?year=2024&month=03&date=02
A,磐田,W,1,0,1.314,0.927,9,10,3,0,0,0,382,486,9,17,11,12,6,0,8,7,33,20,7,11,22,25,30,20,1,0,0,6,1,1,0,0,33,32,9,8,"113,488m","112,931m",160,100,129,124,7.0%,8.1%,49.3%,50.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=03&date=09
H,名古屋,L,0,2,1.219,1.48,15,8,1,5,0,0,475,294,9,16,15,11,5,0,9,7,22,17,6,6,10,26,20,30,1,2,0,5,1,3,0,0,36,23,9,7,"109,755m","112,699m",143,158,123,116,12.2%,6.9%,59.8%,40.2%,https://www.football-lab.jp/kasw/report/?year=2024&month=03&date=16
A,新潟,D,1,1,2.428,0.823,20,11,11,1,0,0,372,700,19,15,8,13,1,0,10,4,21,26,12,14,18,15,23,26,1,3,0,1,0,1,0,0,31,36,19,10,"119,520m","115,938m",187,102,120,125,16.7%,8.8%,39.3%,60.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=03&date=30
H,Ｃ大阪,D,1,1,1.87,1.641,21,11,6,3,0,1,334,501,13,11,3,10,1,1,6,7,20,29,19,12,12,12,23,22,2,1,1,1,2,1,0,0,32,22,19,7,"115,777m","113,516m",149,143,107,121,19.6%,9.1%,40.7%,59.3%,https://www.football-lab.jp/kasw/report/?year=2024&month=04&date=03
A,東京Ｖ,D,1,1,1.028,1.007,10,13,2,5,0,0,446,462,14,9,11,15,1,2,4,6,19,21,10,16,13,17,20,29,1,2,2,1,2,1,0,0,30,27,11,6,"113,852m","116,434m",133,134,110,119,9.1%,10.9%,49.1%,50.9%,https://www.football-lab.jp/kasw/report/?year=2024&month=04&date=07
H,浦和,W,1,0,1.398,0.532,15,8,3,1,0,0,373,602,12,13,8,8,2,0,5,3,26,21,8,14,15,22,21,18,3,1,0,2,1,1,0,0,33,30,16,7,"122,119m","117,928m",158,142,118,105,12.7%,7.6%,42.5%,57.5%,https://www.football-lab.jp/kasw/report/?year=2024&month=04&date=12
H,鳥栖,D,1,1,2.34,0.279,18,3,6,1,0,0,462,468,33,10,12,12,1,0,8,3,23,18,15,4,9,9,19,34,0,0,0,1,2,2,0,0,51,21,23,4,"116,426m","115,371m",133,114,99,101,18.2%,3.0%,52.2%,47.8%,https://www.football-lab.jp/kasw/report/?year=2024&month=04&date=28
A,町田,L,0,2,0.486,1.068,4,11,1,3,0,0,376,297,17,14,17,8,2,2,4,8,29,23,13,8,13,15,29,25,0,1,2,2,2,0,0,0,33,26,9,14,"112,915m","118,044m",130,144,113,107,3.5%,10.3%,56.1%,43.9%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=03
H,鹿島,L,1,2,2.196,1.47,13,16,3,5,1,0,323,430,11,15,9,12,1,0,5,4,37,21,10,6,15,25,20,17,1,2,0,1,3,1,0,0,24,24,11,16,"110,859m","108,763m",135,115,123,123,10.6%,13.0%,45.3%,54.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=06
A,FC東京,D,3,3,1.665,1.845,17,8,6,5,0,1,470,423,21,11,3,13,4,0,5,5,23,25,8,9,28,19,28,27,3,2,0,4,3,0,0,1,69,17,24,3,"117,950m","114,268m",140,145,115,131,14.8%,6.1%,53%,47%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=11
H,湘南,W,2,1,1.828,1.154,14,14,2,6,0,0,484,417,21,17,8,8,3,0,4,5,34,14,10,11,14,18,29,38,2,1,0,3,2,1,0,1,29,38,18,14,"120,615m","117,864m",152,150,117,103,12.0%,13.6%,52.2%,47.8%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=15
H,札幌,W,2,1,0.884,0.927,8,9,5,4,0,0,324,637,9,18,13,6,1,0,3,6,23,18,12,9,16,23,25,14,3,3,0,1,2,0,0,0,35,52,10,13,"119,670m","115,701m",161,137,123,119,6.5%,7.6%,38.3%,61.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=19
A,川崎Ｆ,D,1,1,2.463,0.909,17,7,5,2,0,0,376,545,19,7,12,8,7,1,5,2,31,24,10,10,24,20,23,46,1,1,1,7,1,3,0,0,48,26,21,10,"113,768m","107,969m",149,148,124,111,13.7%,6.3%,42.3%,57.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=25
A,横浜FM,L,0,4,1.612,2.469,19,20,8,6,0,1,391,498,16,13,11,13,5,2,3,1,22,22,18,11,10,15,14,27,3,5,2,5,4,2,0,0,44,34,17,15,"118,368m","117,616m",185,148,118,114,16.1%,17.5%,42.3%,57.7%,https://www.football-lab.jp/kasw/report/?year=2024&month=05&date=29
H,福岡,L,0,2,1.742,0.454,23,5,4,2,0,0,449,312,21,13,9,10,2,0,7,3,40,37,10,10,10,16,22,33,1,1,0,2,1,0,0,0,40,23,17,5,"112,151m","114,271m",112,116,144,145,16.0%,3.4%,53.8%,46.2%,https://www.football-lab.jp/kasw/report/?year=2024&month=06&date=02
A,Ｇ大阪,L,1,2,2.058,0.967,21,11,6,5,0,0,480,372,23,5,11,9,0,0,10,3,29,15,10,5,17,14,8,48,1,1,0,0,2,1,0,0,41,25,20,4,"114,885m","114,930m",116,120,120,100,17.5%,11.0%,52.8%,47.2%,https://www.football-lab.jp/kasw/report/?year=2024&month=06&date=16
H,広島,L,0,1,2.233,1.08,19,14,4,2,0,0,479,291,21,7,9,13,2,3,7,5,25,20,14,7,6,19,20,44,2,0,2,2,1,0,0,0,41,11,20,7,"113,132m","113,710m",134,113,127,124,15.0%,11.3%,58.9%,41.1%,https://www.football-lab.jp/kasw/report/?year=2024&month=06&date=22
A,京都,D,2,2,1.482,0.757,21,9,5,4,0,0,423,330,22,18,12,8,1,1,4,4,35,22,18,6,16,20,19,39,0,1,1,1,1,1,0,0,40,30,22,3,"107,540m","111,472m",122,108,126,118,16.7%,7.6%,52.9%,47.1%,https://www.football-lab.jp/kasw/report/?year=2024&month=06&date=26
A,鳥栖,W,4,1,2.593,1.252,17,10,7,5,1,0,405,576,13,18,14,7,1,0,1,9,21,14,9,5,11,14,20,11,3,0,0,1,0,1,0,0,44,38,20,8,"124,810m","122,013m",170,170,97,100,17.5%,10.0%,43.6%,56.4%,https://www.football-lab.jp/kasw/report/?year=2024&month=06&date=30
H,FC東京,W,3,2,0.946,1.989,12,18,7,6,0,0,286,480,10,18,3,13,2,1,7,8,16,25,15,9,15,13,25,27,2,0,1,2,1,0,0,0,33,38,9,13,"114,342m","113,137m",148,121,98,111,12.2%,16.2%,43.5%,56.5%,https://www.football-lab.jp/kasw/report/?year=2024&month=07&date=06
A,名古屋,L,1,2,1.205,0.946,14,13,5,3,0,0,320,394,6,11,6,12,3,1,3,7,19,27,4,7,19,17,39,12,1,5,1,2,2,1,0,0,15,38,12,10,"105,487m","105,218m",118,120,106,120,13.2%,10.8%,50.2%,49.8%,https://www.football-lab.jp/kasw/report/?year=2024&month=07&date=14
H,川崎Ｆ,L,2,3,2.18,2.128,18,9,6,7,1,0,364,466,10,15,13,9,1,1,5,9,18,26,4,5,14,21,22,24,0,3,1,1,0,1,0,0,38,34,10,7,"106,411m","103,869m",95,102,102,114,17.6%,7.9%,46.8%,53.2%,https://www.football-lab.jp/kasw/report/?year=2024&month=07&date=20
H,Ｇ大阪,D,0,0,1.273,0.667,15,10,7,5,0,0,402,447,24,11,10,11,2,1,6,4,24,14,13,11,12,9,11,31,2,1,1,2,1,0,0,0,55,30,23,8,"107,193m","105,490m",131,114,104,93,14.4%,10.8%,43.6%,56.4%,https://www.football-lab.jp/kasw/report/?year=2024&month=08&date=11
A,湘南,W,2,1,1.661,2.241,10,15,2,3,0,1,358,542,16,12,8,10,1,1,4,4,18,25,7,11,14,10,15,13,3,0,1,1,0,0,0,0,21,47,15,13,"105,589m","103,812m",109,97,100,106,10.0%,14.2%,41.5%,58.5%,https://www.football-lab.jp/kasw/report/?year=2024&month=08&date=17
A,広島,L,0,2,0.67,1.317,9,18,3,3,0,0,368,512,17,18,4,15,3,0,3,1,21,18,16,5,17,21,23,17,3,1,0,3,1,0,1,0,41,42,17,15,"110,342m","109,170m",138,116,115,111,7.8%,16.2%,45.2%,54.8%,https://www.football-lab.jp/kasw/report/?year=2024&month=08&date=25
