HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
A,鹿島,L,1,3,2.265,1.539,17,11,4,4,0,0,371,440,16,10,8,15,1,2,5,8,24,26,12,5,15,16,16,16,1,1,2,1,2,3,0,0,39,32,13,6,"106,993m","106,806m",132,135,100,116,17.0%,9.5%,47.8%,52.2%,https://www.football-lab.jp/shon/report/?year=2024&month=05&date=03
H,鳥栖,W,2,1,0.875,1.386,12,15,5,5,0,0,478,408,11,13,11,7,2,5,4,7,28,26,6,16,21,11,26,29,3,2,5,1,3,2,0,0,27,21,11,10,"116,401m","118,023m",125,157,116,116,10.3%,12.9%,53.8%,46.2%,https://www.football-lab.jp/shon/report/?year=2024&month=05&date=06
H,町田,D,0,0,1.39,0.809,18,8,5,1,0,0,379,256,12,11,15,20,6,3,6,3,19,15,11,11,13,14,21,21,1,2,3,6,3,3,0,0,22,19,8,7,"110,112m","112,038m",147,143,126,122,14.3%,6.6%,56.5%,43.5%,https://www.football-lab.jp/shon/report/?year=2024&month=05&date=11
A,柏,L,1,2,1.154,1.828,14,14,6,2,0,0,417,484,17,21,8,8,0,3,5,4,14,34,11,10,18,14,38,29,1,2,3,0,1,2,1,0,38,29,14,18,"117,864m","120,615m",150,152,103,117,13.6%,12.0%,47.8%,52.2%,https://www.football-lab.jp/shon/report/?year=2024&month=05&date=15
H,新潟,W,2,1,1.236,1.59,8,12,3,4,0,0,305,682,6,19,6,14,1,3,3,9,15,29,5,11,20,15,31,14,2,1,3,1,1,2,0,0,21,47,9,16,"118,510m","117,220m",145,143,98,117,8.2%,10.3%,35.4%,64.6%,https://www.football-lab.jp/shon/report/?year=2024&month=05&date=19
A,磐田,L,2,3,1.221,1.514,8,13,4,5,1,0,381,407,10,15,13,27,3,1,6,2,28,20,4,4,17,26,31,19,1,2,1,3,1,3,0,0,36,22,6,9,"112,528m","110,179m",138,107,114,115,7.0%,11.3%,49.7%,50.3%,https://www.football-lab.jp/shon/report/?year=2024&month=05&date=25
H,Ｇ大阪,L,1,2,1.469,1.015,17,4,4,2,0,1,563,203,21,3,17,16,0,0,9,0,23,13,13,6,17,16,6,27,0,7,0,0,1,3,0,0,55,13,21,4,"107,695m","106,407m",124,106,112,99,15.2%,4.0%,64.3%,35.7%,https://www.football-lab.jp/shon/report/?year=2024&month=06&date=01
A,名古屋,D,1,1,0.921,0.653,16,9,6,2,0,0,491,351,12,16,9,16,4,1,5,5,18,21,13,10,14,18,18,22,3,0,1,4,1,0,0,0,45,32,20,15,"111,105m","112,358m",133,113,103,103,15.5%,8.7%,58.5%,41.5%,https://www.football-lab.jp/shon/report/?year=2024&month=06&date=16
H,FC東京,L,0,1,2.179,0.6,25,8,9,2,0,0,483,392,21,10,10,15,1,2,10,3,27,16,17,10,30,12,22,34,1,2,2,1,0,1,0,0,59,30,27,9,"111,203m","116,712m",131,132,118,108,21.2%,7.4%,53.8%,46.2%,https://www.football-lab.jp/shon/report/?year=2024&month=06&date=22
A,川崎Ｆ,D,1,1,0.8,3.302,9,27,3,5,0,0,366,444,10,20,15,13,2,1,4,9,22,21,6,20,25,17,33,18,1,1,1,2,1,3,0,0,28,46,8,18,"111,005m","111,895m",136,160,115,120,7.8%,22.5%,45.3%,54.7%,https://www.football-lab.jp/shon/report/?year=2024&month=06&date=26
H,京都,L,0,1,1.78,1.033,12,10,1,2,1,0,470,221,17,10,13,12,2,2,5,3,34,29,10,8,19,15,19,29,2,2,2,2,0,3,0,0,34,14,18,9,"107,475m","108,495m",145,140,129,121,9.3%,8.3%,61.9%,38.1%,https://www.football-lab.jp/shon/report/?year=2024&month=06&date=30
A,浦和,W,3,2,0.939,1.494,11,15,4,6,0,0,403,471,14,11,10,18,2,3,5,5,17,16,14,11,10,17,19,14,3,1,3,2,1,4,0,0,49,24,12,13,"114,353m","111,127m",137,131,112,117,9.8%,12.8%,43.7%,56.3%,https://www.football-lab.jp/shon/report/?year=2024&month=07&date=06
H,磐田,W,5,0,3.467,0.363,21,4,10,0,1,0,683,264,24,6,8,9,0,1,12,3,18,14,16,9,15,18,12,27,0,0,1,0,1,1,0,1,89,12,24,2,"107,841m","102,101m",113,84,93,87,22.6%,4.6%,67.4%,32.6%,https://www.football-lab.jp/shon/report/?year=2024&month=07&date=14
A,Ｇ大阪,W,1,0,1.107,0.692,17,9,5,3,0,0,500,355,12,19,8,8,2,5,4,6,16,23,10,18,21,11,19,15,3,2,5,2,2,2,0,0,55,29,19,13,"107,879m","108,486m",138,101,83,84,20.5%,10.7%,56.6%,43.4%,https://www.football-lab.jp/shon/report/?year=2024&month=07&date=20
H,福岡,D,1,1,0.815,1.177,9,16,4,4,0,0,508,258,17,8,15,10,1,1,1,9,25,15,14,11,20,17,15,32,1,2,1,1,1,0,0,0,34,20,11,8,"108,495m","111,488m",94,102,115,110,7.8%,14.5%,60.7%,39.3%,https://www.football-lab.jp/shon/report/?year=2024&month=08&date=07
A,町田,W,1,0,0.616,0.478,8,10,4,0,0,0,324,365,12,18,13,8,4,1,6,8,22,30,5,7,10,12,26,12,0,0,1,3,1,2,0,0,33,36,6,10,"103,079m","108,294m",101,102,102,104,7.8%,9.6%,47.7%,52.3%,https://www.football-lab.jp/shon/report/?year=2024&month=08&date=11
H,柏,L,1,2,2.241,1.661,15,10,3,2,1,0,542,358,12,16,10,8,1,1,4,4,25,18,11,7,10,14,13,15,0,3,1,1,0,0,0,0,47,21,13,15,"103,812m","105,589m",97,109,106,100,14.2%,10.0%,58.5%,41.5%,https://www.football-lab.jp/shon/report/?year=2024&month=08&date=17
H,名古屋,L,0,1,1.082,1.073,13,9,3,2,0,0,597,224,13,7,14,15,1,1,6,3,18,11,10,2,13,17,9,28,1,2,1,1,1,0,0,0,49,18,18,5,"102,924m","108,625m",91,108,99,87,13.1%,10.3%,69.3%,30.7%,https://www.football-lab.jp/shon/report/?year=2024&month=08&date=24
A,鳥栖,W,2,1,2.56,1.101,14,10,5,1,0,0,407,486,9,10,15,16,2,3,0,3,23,22,10,10,26,18,16,11,5,4,3,2,4,1,0,0,32,29,10,7,"117,842m","122,595m",131,135,122,123,11.5%,8.1%,47.1%,52.9%,https://www.football-lab.jp/shon/report/?year=2024&month=08&date=31
A,新潟,L,1,3,0.904,1.622,11,13,2,5,0,0,521,433,12,10,9,10,1,1,6,4,21,25,6,10,14,12,18,21,2,0,1,1,2,0,1,0,42,27,12,11,"113,553m","116,235m",111,111,100,104,11.0%,12.5%,53.6%,46.4%,https://www.football-lab.jp/shon/report/?year=2024&month=09&date=14
H,Ｃ大阪,L,1,2,2.202,2.173,19,14,6,5,0,0,654,241,18,4,10,13,1,1,6,3,19,16,13,14,17,20,7,27,2,7,1,1,0,0,0,0,58,28,16,9,"114,142m","115,045m",125,120,118,109,16.1%,12.8%,65.4%,34.6%,https://www.football-lab.jp/shon/report/?year=2024&month=09&date=22
H,鹿島,W,3,2,1.129,1.84,12,17,5,6,0,0,467,279,11,16,13,15,3,1,3,6,13,28,6,19,20,21,22,23,1,2,1,3,3,0,0,0,41,20,13,8,"111,619m","109,741m",105,117,109,121,11.0%,14.0%,60.3%,39.7%,https://www.football-lab.jp/shon/report/?year=2024&month=09&date=28
A,東京Ｖ,W,2,0,1.252,1.149,8,14,2,3,0,0,433,483,7,16,10,14,1,4,2,6,22,19,3,12,17,14,23,6,1,3,2,1,2,0,0,0,23,25,10,17,"114,961m","113,203m",124,119,107,125,7.5%,11.2%,48.9%,51.1%,https://www.football-lab.jp/shon/report/?year=2024&month=10&date=06
H,広島,W,2,1,1.429,1.07,13,18,3,4,0,0,366,482,7,18,12,12,3,1,3,9,20,25,9,13,19,16,29,6,2,1,0,3,1,0,0,0,26,44,9,15,"116,684m","109,464m",128,123,109,118,11.9%,15.3%,47%,53%,https://www.football-lab.jp/shon/report/?year=2024&month=10&date=19
A,FC東京,W,2,0,0.678,1.403,9,14,5,0,0,0,325,474,2,15,12,21,2,2,4,4,24,29,5,9,22,20,26,13,3,6,2,2,3,2,0,0,25,30,9,7,"117,392m","111,121m",161,144,118,134,7.6%,10.4%,45.4%,54.6%,https://www.football-lab.jp/shon/report/?year=2024&month=11&date=03
H,札幌,D,1,1,1.133,1.016,15,18,5,6,0,0,421,489,9,14,13,13,1,3,5,5,20,20,6,15,12,19,23,22,3,1,3,1,1,2,0,0,44,35,17,14,"119,252m","112,565m",157,121,134,131,11.2%,13.7%,50.3%,49.7%,https://www.football-lab.jp/shon/report/?year=2024&month=11&date=09
H,横浜FM,L,2,3,1.177,2.627,12,20,4,9,0,0,362,530,18,23,9,10,2,6,3,7,25,19,12,16,26,24,23,15,2,2,6,2,1,0,0,0,32,44,12,17,"115,805m","114,828m",142,136,118,122,10.2%,16.4%,46.6%,53.4%,https://www.football-lab.jp/shon/report/?year=2024&month=11&date=30
A,神戸,L,0,3,0.061,1.724,3,14,2,5,0,0,477,305,6,15,6,12,4,0,1,7,26,32,0,10,37,31,27,17,1,3,0,4,1,0,0,0,31,26,7,11,"106,902m","113,010m",137,156,135,146,2.2%,9.6%,57.8%,42.2%,https://www.football-lab.jp/shon/report/?year=2024&month=12&date=08
