HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_ゴール期待値,Opponent_ゴール期待値,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,川崎Ｆ,L,1,2,0.808,0.692,10,9,1,4,0,0,352,536,13,8,12,23,1,3,3,1,24,25,6,10,27,22,22,12,3,3,3,1,4,1,0,0,27,37,10,11,"110,669m","105,829m",103,111,117,124,8.5%,7.3%,41.6%,58.4%,https://www.football-lab.jp/shon/report/?year=2024&month=02&date=24
A,京都,W,2,1,1.524,1.201,13,15,5,6,0,0,397,406,13,16,11,12,0,0,8,7,20,22,10,15,32,30,30,29,2,3,0,0,1,1,0,0,35,36,16,12,"110,416m","113,250m",129,130,130,135,10.0%,11.1%,47.2%,52.8%,https://www.football-lab.jp/shon/report/?year=2024&month=03&date=02
A,福岡,D,1,1,0.905,1.669,8,18,4,10,0,0,489,349,11,13,17,11,2,1,6,8,20,35,9,13,22,23,36,26,2,0,1,1,2,1,0,0,35,27,10,7,"106,614m","107,440m",108,121,123,132,6.5%,13.6%,58.6%,41.4%,https://www.football-lab.jp/shon/report/?year=2024&month=03&date=09
H,浦和,D,4,4,1.963,2.216,20,17,4,6,0,0,394,523,17,19,10,15,2,0,6,7,19,23,12,22,30,22,20,22,0,1,0,2,0,2,0,0,37,34,9,13,"121,887m","117,127m",170,137,120,136,16.7%,12.5%,43.6%,56.4%,https://www.football-lab.jp/shon/report/?year=2024&month=03&date=17
A,Ｃ大阪,L,0,2,0.995,1.897,12,12,5,4,0,0,382,460,18,14,10,16,0,3,11,5,17,29,9,12,21,22,21,18,0,0,3,0,0,0,0,0,28,42,18,10,"112,898m","114,542m",151,154,125,131,9.6%,9.2%,44.5%,55.5%,https://www.football-lab.jp/shon/report/?year=2024&month=03&date=30
H,東京Ｖ,L,1,2,1.574,0.672,15,9,5,2,0,0,354,539,12,9,9,17,2,0,6,2,20,24,4,14,30,27,24,27,2,2,1,2,3,0,0,0,34,29,13,7,"121,882m","120,324m",163,140,123,121,12.2%,7.4%,40.9%,59.1%,https://www.football-lab.jp/shon/report/?year=2024&month=04&date=03
A,広島,L,0,2,0.458,3.694,7,29,1,8,0,1,305,394,11,25,11,20,1,2,6,12,17,26,11,13,10,21,28,16,5,1,2,1,2,0,1,0,33,35,10,19,"109,245m","110,710m",142,125,102,121,6.9%,24.0%,48.6%,51.4%,https://www.football-lab.jp/shon/report/?year=2024&month=04&date=07
A,横浜FM,D,2,2,1.13,1.704,17,16,5,9,0,0,322,460,12,16,10,20,5,3,3,6,27,20,9,9,22,21,25,15,2,0,3,5,1,2,1,0,20,44,13,16,"113,694m","113,985m",165,130,115,133,14.8%,12.0%,46%,54%,https://www.football-lab.jp/shon/report/?year=2024&month=04&date=13
H,神戸,L,0,1,1.233,1.37,13,16,3,2,0,0,363,373,11,21,8,11,5,1,6,10,27,27,10,12,18,12,32,21,1,2,1,5,1,0,0,0,30,37,7,14,"112,252m","108,747m",128,145,109,124,11.9%,12.9%,49.2%,50.8%,https://www.football-lab.jp/shon/report/?year=2024&month=04&date=20
A,札幌,D,3,3,2.69,1.155,14,13,10,4,0,0,487,436,11,12,9,13,5,1,3,6,20,17,5,12,10,12,21,20,0,0,1,5,1,3,0,0,49,42,11,16,"117,330m","115,976m",120,117,106,113,13.2%,11.5%,53.4%,46.6%,https://www.football-lab.jp/shon/report/?year=2024&month=04&date=27
