HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,kobe_シュート,Opponent_シュート,kobe_枠内シュート,Opponent_枠内シュート,kobe_PKによるシュート,Opponent_PKによるシュート,kobe_パス,Opponent_パス,kobe_クロス,Opponent_クロス,kobe_直接ＦＫ,Opponent_直接ＦＫ,kobe_間接ＦＫ,Opponent_間接ＦＫ,kobe_ＣＫ,Opponent_ＣＫ,kobe_スローイン,Opponent_スローイン,kobe_ドリブル,Opponent_ドリブル,kobe_タックル,Opponent_タックル,kobe_クリア,Opponent_クリア,kobe_インターセプト,Opponent_インターセプト,kobe_オフサイド,Opponent_オフサイド,kobe_警告,Opponent_警告,kobe_退場,Opponent_退場,kobe_３０ｍライン進入,Opponent_３０ｍライン進入,kobe_ペナルティエリア進入,Opponent_ペナルティエリア進入,kobe_総移動距離,Opponent_総移動距離,kobe_スプリント,Opponent_スプリント,kobe_攻撃回数,Opponent_攻撃回数,kobe_チャンス構築率,Opponent_チャンス構築率,kobe_ボール保持率,Opponent_ボール保持率,URL
A,広島,L,0,2,12,19,0,7,0,0,549,425,9,13,7,11,1,2,6,9,22,16,16,18,14,34,25,18,1,1,2,1,3,0,0,0,54,30,11,10,"101,587m","102,577m",121,116,109,108,11.0%,17.6%,55.3%,44.7%,https://www.football-lab.jp/kobe/report/?year=2016&month=07&date=23
H,大宮,W,1,0,12,13,2,2,0,0,376,413,15,10,9,22,1,3,6,3,24,32,14,18,34,15,29,30,0,3,3,1,2,0,0,0,43,28,18,9,"101,261m","104,011m",125,134,117,137,10.3%,9.5%,49.6%,50.4%,https://www.football-lab.jp/kobe/report/?year=2016&month=07&date=30
A,新潟,L,0,1,15,12,2,4,0,0,500,365,15,9,8,16,4,1,6,2,32,19,17,9,31,21,16,40,4,2,0,4,2,2,0,0,47,35,16,12,"107,434m","115,335m",158,171,117,108,12.8%,11.1%,57%,43%,https://www.football-lab.jp/kobe/report/?year=2016&month=08&date=06
H,FC東京,W,4,1,13,10,5,6,0,0,539,431,15,14,12,20,1,1,6,3,16,21,10,12,27,18,15,21,4,5,1,1,1,0,0,0,42,41,13,14,"104,068m","107,960m",114,124,126,134,10.3%,7.5%,57%,43%,https://www.football-lab.jp/kobe/report/?year=2016&month=08&date=13
A,Ｇ大阪,W,1,0,18,13,6,6,0,1,417,609,13,17,12,18,0,0,7,6,10,20,9,13,26,19,25,14,1,3,0,0,3,3,0,0,51,52,16,11,"99,684m","104,664m",114,132,101,115,17.8%,11.3%,42.7%,57.3%,https://www.football-lab.jp/kobe/report/?year=2016&month=08&date=20
H,浦和,W,2,1,15,17,2,5,0,0,348,705,6,12,11,14,2,3,0,5,16,25,17,17,29,26,19,10,4,5,3,2,4,0,0,0,28,57,14,16,"108,010m","117,212m",165,164,132,139,11.4%,12.2%,38.5%,61.5%,https://www.football-lab.jp/kobe/report/?year=2016&month=08&date=27
A,磐田,W,4,3,17,18,9,6,0,1,401,397,9,27,9,13,3,4,2,6,16,31,12,11,20,8,43,8,5,2,4,3,3,2,0,0,39,53,15,20,"100,014m","107,087m",133,170,110,127,15.5%,14.2%,52.7%,47.3%,https://www.football-lab.jp/kobe/report/?year=2016&month=09&date=10
H,柏,D,1,1,11,11,3,5,0,0,439,481,17,8,6,16,2,4,9,4,21,16,16,13,21,21,8,30,4,0,4,2,1,2,0,0,46,25,12,10,"106,020m","108,873m",150,162,114,117,9.6%,9.4%,49.5%,50.5%,https://www.football-lab.jp/kobe/report/?year=2016&month=09&date=17
A,福岡,W,4,1,20,13,9,2,0,0,433,442,14,25,10,15,1,4,5,4,17,23,10,23,17,14,24,12,6,0,4,1,0,1,0,0,47,49,22,20,"106,107m","112,449m",145,174,124,134,16.1%,9.7%,48.4%,51.6%,https://www.football-lab.jp/kobe/report/?year=2016&month=09&date=25
H,川崎Ｆ,W,3,0,17,21,7,3,0,0,324,832,9,13,4,15,0,2,1,10,11,21,9,16,26,17,25,15,5,3,2,0,4,0,0,0,39,53,13,20,"107,495m","108,947m",143,145,93,119,18.3%,17.6%,37.4%,62.6%,https://www.football-lab.jp/kobe/report/?year=2016&month=10&date=01
A,仙台,L,0,3,10,14,2,6,0,0,541,458,12,19,12,16,3,2,2,4,25,17,5,8,18,21,18,21,5,4,0,3,3,2,1,0,45,29,10,13,"102,999m","112,558m",133,170,124,126,8.1%,11.1%,55.1%,44.9%,https://www.football-lab.jp/kobe/report/?year=2016&month=10&date=22
H,名古屋,W,3,0,16,10,4,1,0,0,645,313,12,20,14,15,4,4,5,6,25,23,9,6,14,20,37,33,4,1,3,4,0,1,0,0,66,31,18,17,"110,953m","109,573m",152,171,130,127,12.3%,7.9%,63.4%,36.6%,https://www.football-lab.jp/kobe/report/?year=2016&month=10&date=29
A,鹿島,W,1,0,14,21,6,8,0,0,540,463,10,23,7,12,4,3,6,5,14,28,19,20,31,33,23,19,4,2,3,4,0,0,0,0,39,53,15,27,"108,096m","109,574m",170,211,121,136,11.6%,15.4%,53.6%,46.4%,https://www.football-lab.jp/kobe/report/?year=2016&month=11&date=03
