HOME/AWAY,Opponent,勝敗,kofu_得点,kofu_失点,Opponent_シュート,kofu_シュート,Opponent_枠内シュート,kofu_枠内シュート,Opponent_PKによるシュート,kofu_PKによるシュート,Opponent_パス,kofu_パス,Opponent_クロス,kofu_クロス,Opponent_直接ＦＫ,kofu_直接ＦＫ,Opponent_間接ＦＫ,kofu_間接ＦＫ,Opponent_ＣＫ,kofu_ＣＫ,Opponent_スローイン,kofu_スローイン,Opponent_ドリブル,kofu_ドリブル,Opponent_タックル,kofu_タックル,Opponent_クリア,kofu_クリア,Opponent_インターセプト,kofu_インターセプト,Opponent_オフサイド,kofu_オフサイド,Opponent_警告,kofu_警告,Opponent_退場,kofu_退場,Opponent_３０ｍライン進入,kofu_３０ｍライン進入,Opponent_ペナルティエリア進入,kofu_ペナルティエリア進入,Opponent_総移動距離,kofu_総移動距離,Opponent_スプリント,kofu_スプリント,Opponent_攻撃回数,kofu_攻撃回数,Opponent_チャンス構築率,kofu_チャンス構築率,Opponent_ボール保持率,kofu_ボール保持率,URL
H,磐田,D,0,0,17,7,3,3,0,0,764,276,28,6,6,13,3,3,5,3,36,17,11,5,21,14,11,43,1,2,3,3,1,0,0,0,77,16,18,8,"112,148m","110,150m",113,110,122,112,13.9%,6.3%,64.9%,35.1%,https://www.football-lab.jp/kofu/report/?year=2016&month=07&date=13
H,鹿島,D,3,3,20,4,4,4,0,0,727,240,23,6,7,9,1,2,7,1,32,22,8,6,17,20,11,27,0,3,1,1,1,2,0,0,81,18,27,3,"106,255m","109,449m",132,138,118,109,16.9%,3.7%,67.6%,32.4%,https://www.football-lab.jp/kofu/report/?year=2016&month=07&date=17
A,名古屋,W,3,1,12,13,6,4,0,0,556,364,16,7,13,18,1,3,5,2,33,17,9,9,16,11,8,33,0,1,2,1,2,1,0,0,68,25,22,9,"115,704m","113,510m",142,149,117,117,10.3%,11.1%,56.8%,43.2%,https://www.football-lab.jp/kofu/report/?year=2016&month=07&date=23
H,浦和,L,0,2,11,6,4,0,0,0,666,384,16,9,11,20,0,2,5,4,18,18,15,8,25,21,13,22,4,0,2,0,0,0,0,0,31,28,10,10,"111,596m","110,082m",148,131,111,122,9.9%,4.9%,59.3%,40.7%,https://www.football-lab.jp/kofu/report/?year=2016&month=07&date=30
A,川崎Ｆ,L,0,4,24,8,8,0,0,0,864,235,13,9,10,18,4,0,7,3,16,12,11,10,15,21,15,23,1,4,0,4,3,1,0,1,84,16,26,10,"97,896m","98,354m",120,125,102,103,23.5%,7.8%,66.5%,33.5%,https://www.football-lab.jp/kofu/report/?year=2016&month=08&date=06
H,新潟,W,1,0,6,10,0,3,0,1,636,335,8,7,18,13,2,0,2,4,28,19,15,7,12,23,11,28,4,6,0,2,3,0,0,0,52,22,5,7,"112,924m","106,860m",126,111,113,116,5.3%,8.6%,61.7%,38.3%,https://www.football-lab.jp/kofu/report/?year=2016&month=08&date=13
A,広島,W,1,0,14,10,5,4,0,0,633,438,25,8,17,8,2,2,8,4,24,11,22,11,18,23,9,31,0,1,2,2,1,2,0,0,60,30,18,5,"104,249m","109,173m",90,93,106,100,13.2%,10.0%,55.8%,44.2%,https://www.football-lab.jp/kofu/report/?year=2016&month=08&date=20
H,大宮,D,2,2,17,11,8,5,1,0,546,385,18,13,14,18,4,0,5,3,21,21,18,14,27,22,25,18,2,4,0,4,4,2,0,0,56,28,14,12,"106,628m","106,565m",145,123,123,131,13.8%,8.4%,56.5%,43.5%,https://www.football-lab.jp/kofu/report/?year=2016&month=08&date=27
A,Ｇ大阪,L,1,2,15,11,9,6,0,0,577,496,19,11,11,13,1,3,4,4,21,18,17,13,27,27,16,18,3,5,3,1,1,2,0,0,59,30,20,11,"110,052m","111,114m",137,114,111,114,13.5%,9.6%,51.8%,48.2%,https://www.football-lab.jp/kofu/report/?year=2016&month=09&date=10
H,仙台,D,1,1,16,10,6,2,0,1,763,258,22,8,6,14,5,1,9,4,14,17,11,5,16,19,14,28,0,0,1,5,1,2,0,0,64,21,16,9,"108,783m","107,011m",126,132,95,102,16.8%,9.8%,69.5%,30.5%,https://www.football-lab.jp/kofu/report/?year=2016&month=09&date=17
A,柏,L,0,1,8,11,1,4,0,0,733,393,24,12,6,13,1,1,4,2,26,21,20,9,12,19,15,20,0,2,1,1,1,1,0,0,63,36,14,8,"111,904m","111,685m",145,128,112,123,7.1%,8.9%,61%,39%,https://www.football-lab.jp/kofu/report/?year=2016&month=09&date=25
H,横浜FM,L,0,4,18,16,10,4,0,0,656,392,12,19,9,9,1,0,9,4,20,29,14,15,14,22,24,14,5,3,0,1,1,0,0,0,46,40,21,13,"118,711m","115,207m",166,160,106,114,17.0%,14.0%,56.9%,43.1%,https://www.football-lab.jp/kofu/report/?year=2016&month=10&date=01
A,福岡,W,2,1,8,14,3,6,0,0,379,457,9,16,15,19,4,0,4,2,18,22,14,12,32,21,22,19,2,1,1,4,3,1,0,0,33,46,9,11,"112,230m","112,777m",159,175,126,132,6.3%,10.6%,47.5%,52.5%,https://www.football-lab.jp/kofu/report/?year=2016&month=10&date=22
A,湘南,L,0,1,4,9,2,0,0,0,520,288,11,21,18,16,3,3,4,8,14,23,8,20,21,17,33,16,7,1,3,3,2,0,0,0,41,29,15,17,"110,504m","106,045m",170,148,129,130,3.1%,6.9%,59%,41%,https://www.football-lab.jp/kofu/report/?year=2016&month=10&date=29
H,鳥栖,L,0,1,8,5,4,1,0,0,788,230,14,8,10,14,2,3,3,4,19,13,10,13,11,11,13,13,0,3,3,2,0,1,0,0,55,28,13,10,"118,767m","113,981m",140,127,104,105,7.7%,4.8%,70.9%,29.1%,https://www.football-lab.jp/kofu/report/?year=2016&month=11&date=03
