HOME/AWAY,Opponent,勝敗,y-fm_得点,y-fm_失点,y-fm_シュート,Opponent_シュート,y-fm_枠内シュート,Opponent_枠内シュート,y-fm_PKによるシュート,Opponent_PKによるシュート,y-fm_パス,Opponent_パス,y-fm_クロス,Opponent_クロス,y-fm_直接ＦＫ,Opponent_直接ＦＫ,y-fm_間接ＦＫ,Opponent_間接ＦＫ,y-fm_ＣＫ,Opponent_ＣＫ,y-fm_スローイン,Opponent_スローイン,y-fm_ドリブル,Opponent_ドリブル,y-fm_タックル,Opponent_タックル,y-fm_クリア,Opponent_クリア,y-fm_インターセプト,Opponent_インターセプト,y-fm_オフサイド,Opponent_オフサイド,y-fm_警告,Opponent_警告,y-fm_退場,Opponent_退場,y-fm_３０ｍライン進入,Opponent_３０ｍライン進入,y-fm_ペナルティエリア進入,Opponent_ペナルティエリア進入,y-fm_総移動距離,Opponent_総移動距離,y-fm_スプリント,Opponent_スプリント,y-fm_攻撃回数,Opponent_攻撃回数,y-fm_チャンス構築率,Opponent_チャンス構築率,y-fm_ボール保持率,Opponent_ボール保持率,URL
H,仙台,L,0,1,17,7,6,1,0,0,600,442,23,13,18,10,4,4,5,2,28,29,14,7,30,17,17,39,3,3,4,4,1,1,0,0,49,33,18,7,"124,730m","123,720m",157,161,145,153,11.7%,4.6%,55.5%,44.5%,https://www.football-lab.jp/y-fm/report/?year=2016&month=02&date=27
A,福岡,D,1,1,11,5,2,1,0,0,780,239,16,13,11,12,0,2,9,2,25,15,14,10,23,42,18,33,3,1,2,0,5,0,0,0,58,28,14,4,"116,743m","115,794m",149,170,135,118,8.1%,4.2%,71.2%,28.8%,https://www.football-lab.jp/y-fm/report/?year=2016&month=03&date=05
A,新潟,W,2,1,15,7,6,1,0,0,467,534,15,11,15,15,1,2,10,7,19,14,17,16,30,44,14,22,3,1,2,0,1,4,0,1,49,46,17,11,"118,147m","116,950m",176,177,126,115,11.9%,6.1%,46.3%,53.7%,https://www.football-lab.jp/y-fm/report/?year=2016&month=03&date=12
H,鳥栖,W,2,1,7,16,3,6,0,0,377,509,6,17,15,13,1,7,3,6,28,22,12,7,22,16,30,29,1,4,7,1,0,0,0,0,23,46,5,12,"116,967m","120,002m",145,163,119,115,5.9%,13.9%,46.2%,53.8%,https://www.football-lab.jp/y-fm/report/?year=2016&month=03&date=19
A,Ｇ大阪,W,2,1,9,14,3,4,0,1,430,624,12,25,12,9,2,3,4,6,12,13,11,21,27,28,25,14,5,1,3,2,2,2,0,0,26,62,8,17,"110,793m","111,078m",145,167,101,102,8.9%,13.7%,45%,55%,https://www.football-lab.jp/y-fm/report/?year=2016&month=04&date=02
H,浦和,D,0,0,6,20,2,8,0,0,496,588,7,13,17,10,2,3,0,7,20,14,12,9,13,21,23,12,5,1,3,2,0,0,0,0,25,64,4,19,"111,190m","111,517m",133,142,115,107,5.2%,18.7%,49.3%,50.7%,https://www.football-lab.jp/y-fm/report/?year=2016&month=04&date=10
A,磐田,W,5,1,12,9,10,4,0,0,509,516,5,10,18,8,1,3,2,4,27,18,10,8,28,24,16,21,4,2,3,0,1,2,0,1,22,48,9,11,"116,587m","118,656m",155,185,132,121,9.1%,7.4%,50.8%,49.2%,https://www.football-lab.jp/y-fm/report/?year=2016&month=04&date=16
H,広島,L,1,2,13,6,3,3,1,0,637,614,13,12,5,10,3,2,3,3,12,22,14,14,24,23,14,22,2,2,2,2,1,1,0,0,74,24,17,9,"119,470m","111,932m",161,145,104,112,12.5%,5.4%,49.4%,50.6%,https://www.football-lab.jp/y-fm/report/?year=2016&month=04&date=24
H,湘南,L,0,1,19,7,4,2,1,0,606,316,32,9,14,7,2,1,7,0,47,22,24,7,16,19,12,49,1,0,1,2,3,2,0,0,63,32,23,5,"115,991m","122,103m",176,243,142,111,13.4%,6.3%,63.1%,36.9%,https://www.football-lab.jp/y-fm/report/?year=2016&month=04&date=30
A,名古屋,L,1,3,20,11,11,6,0,0,572,287,27,14,13,7,2,5,12,2,26,17,17,7,12,24,13,44,1,2,5,2,0,0,0,0,45,22,18,8,"107,957m","112,895m",155,163,132,113,15.2%,9.7%,61.7%,38.3%,https://www.football-lab.jp/y-fm/report/?year=2016&month=05&date=04
