HOME/AWAY,Opponent,勝敗,omiy_得点,omiy_失点,Opponent_シュート,omiy_シュート,Opponent_枠内シュート,omiy_枠内シュート,Opponent_PKによるシュート,omiy_PKによるシュート,Opponent_パス,omiy_パス,Opponent_クロス,omiy_クロス,Opponent_直接ＦＫ,omiy_直接ＦＫ,Opponent_間接ＦＫ,omiy_間接ＦＫ,Opponent_ＣＫ,omiy_ＣＫ,Opponent_スローイン,omiy_スローイン,Opponent_ドリブル,omiy_ドリブル,Opponent_タックル,omiy_タックル,Opponent_クリア,omiy_クリア,Opponent_インターセプト,omiy_インターセプト,Opponent_オフサイド,omiy_オフサイド,Opponent_警告,omiy_警告,Opponent_退場,omiy_退場,Opponent_３０ｍライン進入,omiy_３０ｍライン進入,Opponent_ペナルティエリア進入,omiy_ペナルティエリア進入,Opponent_総移動距離,omiy_総移動距離,Opponent_スプリント,omiy_スプリント,Opponent_攻撃回数,omiy_攻撃回数,Opponent_チャンス構築率,omiy_チャンス構築率,Opponent_ボール保持率,omiy_ボール保持率,URL
A,神戸,L,0,1,12,13,2,2,0,0,376,413,15,10,9,22,1,3,6,3,24,32,14,18,34,15,29,30,0,3,3,1,2,0,0,0,43,28,18,9,"101,261m","104,011m",125,134,117,137,10.3%,9.5%,49.6%,50.4%,https://www.football-lab.jp/omiy/report/?year=2016&month=07&date=30
H,福岡,W,1,0,12,17,5,8,0,0,408,569,19,15,11,9,1,2,9,3,25,24,12,18,10,17,23,27,2,2,2,1,1,0,0,0,40,61,9,11,"111,201m","105,543m",155,157,119,113,10.1%,15.0%,43.3%,56.7%,https://www.football-lab.jp/omiy/report/?year=2016&month=08&date=06
A,横浜FM,D,1,1,11,13,3,3,0,0,500,370,26,14,14,12,1,2,11,1,32,16,26,14,20,31,12,38,2,1,2,1,3,2,1,0,49,39,17,12,"110,606m","108,464m",187,194,126,105,8.7%,12.4%,54.8%,45.2%,https://www.football-lab.jp/omiy/report/?year=2016&month=08&date=13
H,仙台,W,2,1,16,16,4,6,0,1,450,387,15,19,14,11,2,5,4,5,23,26,19,16,21,24,15,23,2,2,4,2,1,3,0,1,37,33,12,17,"107,979m","103,893m",133,104,117,125,13.7%,12.8%,52.1%,47.9%,https://www.football-lab.jp/omiy/report/?year=2016&month=08&date=20
A,甲府,D,2,2,11,17,5,8,0,1,385,546,13,18,18,14,0,4,3,5,21,21,14,18,22,27,18,25,4,2,4,0,2,4,0,0,28,56,12,14,"106,565m","106,628m",123,145,131,123,8.4%,13.8%,43.5%,56.5%,https://www.football-lab.jp/omiy/report/?year=2016&month=08&date=27
A,広島,W,1,0,16,10,5,1,0,0,602,534,22,9,15,6,2,4,4,2,17,12,22,18,21,21,5,26,2,3,4,2,0,2,0,0,52,45,14,4,"111,623m","113,236m",133,175,109,102,14.7%,9.8%,51.7%,48.3%,https://www.football-lab.jp/omiy/report/?year=2016&month=09&date=10
H,川崎Ｆ,W,3,2,8,13,4,8,0,1,624,447,13,20,17,10,5,2,5,5,18,15,13,19,21,13,12,23,6,5,2,5,2,4,1,0,56,44,16,18,"98,774m","103,075m",123,153,104,99,7.7%,13.1%,55.9%,44.1%,https://www.football-lab.jp/omiy/report/?year=2016&month=09&date=17
H,鳥栖,D,1,1,8,17,3,5,1,0,419,702,13,26,7,8,2,2,4,2,12,20,10,12,10,13,15,11,4,3,2,2,1,0,0,0,32,65,6,15,"118,503m","106,825m",126,113,105,111,7.6%,15.3%,38.9%,61.1%,https://www.football-lab.jp/omiy/report/?year=2016&month=09&date=25
A,鹿島,W,3,1,20,10,3,6,0,0,541,384,33,9,13,15,1,1,9,3,46,29,21,4,20,20,19,52,9,6,1,1,2,5,0,0,69,14,29,12,"111,487m","112,614m",161,177,157,149,12.7%,6.7%,57.2%,42.8%,https://www.football-lab.jp/omiy/report/?year=2016&month=10&date=01
H,湘南,W,3,2,20,18,6,8,0,0,505,497,13,12,9,17,5,6,2,8,23,14,8,12,20,24,19,22,0,2,6,4,1,1,0,0,47,42,23,14,"114,538m","111,277m",194,169,125,137,16.0%,13.1%,47.4%,52.6%,https://www.football-lab.jp/omiy/report/?year=2016&month=10&date=22
A,柏,W,2,1,15,12,4,4,0,1,587,348,30,8,12,15,2,4,7,4,23,18,22,12,13,20,20,33,4,2,4,3,2,0,0,0,63,28,20,7,"111,430m","111,094m",139,154,134,137,11.2%,8.8%,58.8%,41.2%,https://www.football-lab.jp/omiy/report/?year=2016&month=10&date=29
H,FC東京,L,0,1,10,16,2,4,0,0,375,556,13,20,13,18,3,3,5,5,25,23,17,20,24,24,24,25,0,1,3,3,1,1,0,0,41,51,11,16,"113,782m","106,350m",158,131,129,133,7.8%,12.0%,42.7%,57.3%,https://www.football-lab.jp/omiy/report/?year=2016&month=11&date=03
