HOME/AWAY,Opponent,勝敗,fctk_得点,fctk_失点,fctk_シュート,Opponent_シュート,fctk_枠内シュート,Opponent_枠内シュート,fctk_PKによるシュート,Opponent_PKによるシュート,fctk_パス,Opponent_パス,fctk_クロス,Opponent_クロス,fctk_直接ＦＫ,Opponent_直接ＦＫ,fctk_間接ＦＫ,Opponent_間接ＦＫ,fctk_ＣＫ,Opponent_ＣＫ,fctk_スローイン,Opponent_スローイン,fctk_ドリブル,Opponent_ドリブル,fctk_タックル,Opponent_タックル,fctk_クリア,Opponent_クリア,fctk_インターセプト,Opponent_インターセプト,fctk_オフサイド,Opponent_オフサイド,fctk_警告,Opponent_警告,fctk_退場,Opponent_退場,fctk_３０ｍライン進入,Opponent_３０ｍライン進入,fctk_ペナルティエリア進入,Opponent_ペナルティエリア進入,fctk_総移動距離,Opponent_総移動距離,fctk_スプリント,Opponent_スプリント,fctk_攻撃回数,Opponent_攻撃回数,fctk_チャンス構築率,Opponent_チャンス構築率,fctk_ボール保持率,Opponent_ボール保持率,URL
H,大宮,L,0,1,15,8,3,1,0,0,693,312,21,7,13,8,1,6,5,6,29,18,19,15,16,18,16,40,1,0,6,1,2,2,0,0,78,17,22,9,"118,354m","115,327m",161,164,133,129,11.3%,6.2%,63.2%,36.8%,https://www.football-lab.jp/fctk/report/?year=2016&month=02&date=27
A,仙台,W,2,1,12,10,5,3,0,0,384,498,25,18,17,11,1,3,9,6,31,39,15,10,28,29,28,25,0,0,3,1,1,2,0,0,38,33,19,10,"119,616m","116,834m",174,138,142,137,8.5%,7.3%,43%,57%,https://www.football-lab.jp/fctk/report/?year=2016&month=03&date=06
H,神戸,W,1,0,19,6,4,0,0,0,354,469,25,5,13,9,2,2,8,3,29,30,19,8,20,29,19,30,2,2,2,2,0,3,0,0,35,24,15,4,"116,202m","110,959m",194,156,139,141,13.7%,4.3%,42.7%,57.3%,https://www.football-lab.jp/fctk/report/?year=2016&month=03&date=11
A,鹿島,L,0,2,11,18,2,6,0,0,343,624,15,18,15,18,4,2,2,5,27,33,7,22,32,27,28,20,1,5,1,4,1,0,0,0,39,58,6,20,"116,495m","115,836m",182,172,152,160,7.2%,11.3%,38.8%,61.2%,https://www.football-lab.jp/fctk/report/?year=2016&month=03&date=19
H,名古屋,W,3,2,14,14,7,3,1,0,408,452,15,20,11,18,4,2,9,4,22,28,10,12,13,24,35,39,6,2,2,3,1,2,1,0,54,38,19,15,"115,545m","110,301m",201,154,126,132,11.1%,10.6%,46.1%,53.9%,https://www.football-lab.jp/fctk/report/?year=2016&month=04&date=02
A,柏,L,0,1,12,9,4,3,0,1,473,640,11,14,16,9,3,2,6,2,28,17,12,20,37,31,18,34,5,3,2,3,2,0,0,0,37,31,16,5,"119,589m","117,678m",169,147,142,124,8.5%,7.3%,43.1%,56.9%,https://www.football-lab.jp/fctk/report/?year=2016&month=04&date=10
H,川崎Ｆ,L,2,4,16,7,3,4,0,1,459,645,18,10,11,12,6,0,2,3,27,19,21,4,18,26,12,16,6,7,0,6,1,1,0,0,54,41,17,12,"116,801m","112,848m",181,146,123,118,13.0%,5.9%,42.7%,57.3%,https://www.football-lab.jp/fctk/report/?year=2016&month=04&date=16
A,甲府,D,1,1,14,13,6,3,0,0,460,406,19,16,15,14,2,2,5,6,27,26,14,13,19,21,27,29,0,0,1,2,2,2,0,0,56,36,22,11,"116,305m","116,295m",181,178,135,136,10.4%,9.6%,49.8%,50.2%,https://www.football-lab.jp/fctk/report/?year=2016&month=04&date=24
H,福岡,L,0,1,14,9,2,5,1,0,493,401,21,12,20,16,3,2,3,2,27,21,24,7,16,36,28,44,3,4,1,2,2,3,0,0,58,31,22,7,"112,900m","113,512m",156,176,153,140,9.2%,6.4%,52%,48%,https://www.football-lab.jp/fctk/report/?year=2016&month=04&date=29
A,湘南,W,1,0,9,4,2,0,0,0,362,576,17,15,21,19,1,7,7,2,21,35,10,8,30,23,22,27,4,0,7,1,1,2,0,0,26,36,9,3,"119,241m","120,215m",180,182,142,145,6.3%,2.8%,40.5%,59.5%,https://www.football-lab.jp/fctk/report/?year=2016&month=05&date=08
H,鳥栖,D,0,0,11,3,4,2,0,0,519,448,31,12,15,20,1,3,5,4,27,21,10,3,15,18,14,28,3,1,3,1,2,0,0,0,56,39,12,4,"120,481m","122,254m",152,154,136,132,8.1%,2.3%,51.9%,48.1%,https://www.football-lab.jp/fctk/report/?year=2016&month=05&date=13
H,Ｇ大阪,W,1,0,17,13,2,3,0,0,385,490,22,14,13,15,2,1,10,5,24,23,10,6,12,21,17,39,5,0,1,2,1,1,0,0,52,42,22,12,"115,063m","108,979m",151,148,119,113,14.3%,11.5%,45.1%,54.9%,https://www.football-lab.jp/fctk/report/?year=2016&month=05&date=29
A,磐田,D,0,0,13,14,4,2,0,0,418,394,15,18,16,20,3,4,4,5,18,21,11,10,25,21,16,18,1,0,4,3,1,1,0,0,41,40,17,10,"115,663m","114,112m",181,152,135,137,9.6%,10.2%,49.7%,50.3%,https://www.football-lab.jp/fctk/report/?year=2016&month=06&date=11
H,広島,D,1,1,15,13,6,5,0,0,430,662,27,10,7,3,1,1,6,4,17,12,18,9,18,20,20,29,5,2,1,1,1,1,0,0,57,36,29,14,"122,026m","112,446m",210,157,103,94,14.6%,13.8%,42.3%,57.7%,https://www.football-lab.jp/fctk/report/?year=2016&month=06&date=15
H,新潟,D,1,1,16,5,7,1,0,0,495,389,19,9,16,8,1,4,6,2,51,20,19,13,17,28,22,45,1,1,3,1,0,3,0,0,51,37,15,11,"117,264m","119,500m",157,145,163,145,9.8%,3.4%,53%,47%,https://www.football-lab.jp/fctk/report/?year=2016&month=06&date=18
