HOME/AWAY,Opponent,勝敗,tosu_得点,tosu_失点,tosu_シュート,Opponent_シュート,tosu_枠内シュート,Opponent_枠内シュート,tosu_PKによるシュート,Opponent_PKによるシュート,tosu_パス,Opponent_パス,tosu_クロス,Opponent_クロス,tosu_直接ＦＫ,Opponent_直接ＦＫ,tosu_間接ＦＫ,Opponent_間接ＦＫ,tosu_ＣＫ,Opponent_ＣＫ,tosu_スローイン,Opponent_スローイン,tosu_ドリブル,Opponent_ドリブル,tosu_タックル,Opponent_タックル,tosu_クリア,Opponent_クリア,tosu_インターセプト,Opponent_インターセプト,tosu_オフサイド,Opponent_オフサイド,tosu_警告,Opponent_警告,tosu_退場,Opponent_退場,tosu_３０ｍライン進入,Opponent_３０ｍライン進入,tosu_ペナルティエリア進入,Opponent_ペナルティエリア進入,tosu_総移動距離,Opponent_総移動距離,tosu_スプリント,Opponent_スプリント,tosu_攻撃回数,Opponent_攻撃回数,tosu_チャンス構築率,Opponent_チャンス構築率,tosu_ボール保持率,Opponent_ボール保持率,URL
H,福岡,W,2,1,10,16,4,3,0,0,447,326,15,15,16,13,2,3,3,3,12,19,11,11,26,22,27,15,1,2,3,2,4,4,0,0,30,31,14,13,"117,152m","110,926m",156,155,123,121,8.1%,13.2%,58.3%,41.7%,https://www.football-lab.jp/tosu/report/?year=2016&month=02&date=27
A,鹿島,L,0,1,9,12,2,4,0,0,597,377,18,11,19,14,2,1,3,2,32,31,14,12,21,21,18,21,2,3,1,2,0,2,0,0,50,35,15,10,"124,386m","118,322m",173,194,146,132,6.2%,9.1%,59.3%,40.7%,https://www.football-lab.jp/tosu/report/?year=2016&month=03&date=05
H,甲府,D,1,1,13,6,4,2,0,0,746,249,38,6,18,15,2,1,3,0,26,17,21,11,20,43,18,27,0,4,1,2,0,3,0,1,73,24,21,6,"120,331m","111,522m",147,133,140,128,9.3%,4.7%,67.7%,32.3%,https://www.football-lab.jp/tosu/report/?year=2016&month=03&date=12
A,横浜FM,L,1,2,16,7,6,3,0,0,509,377,17,6,13,15,7,1,6,3,22,28,7,12,16,22,29,30,4,1,1,7,0,0,0,0,46,23,12,5,"120,002m","116,967m",163,145,115,119,13.9%,5.9%,53.8%,46.2%,https://www.football-lab.jp/tosu/report/?year=2016&month=03&date=19
H,柏,D,1,1,11,13,3,2,0,1,418,591,26,16,18,9,1,3,6,3,18,17,9,20,25,16,15,17,4,1,3,1,0,1,0,0,50,56,16,15,"122,492m","119,385m",193,163,134,125,8.2%,10.4%,43.9%,56.1%,https://www.football-lab.jp/tosu/report/?year=2016&month=04&date=02
A,川崎Ｆ,L,0,1,21,19,5,3,0,0,409,642,24,13,13,13,2,2,4,1,17,13,16,14,32,21,32,27,5,4,2,2,3,1,0,0,48,51,16,16,"121,799m","113,431m",187,142,128,115,16.4%,16.5%,44.4%,55.6%,https://www.football-lab.jp/tosu/report/?year=2016&month=04&date=10
H,磐田,L,0,1,14,10,1,4,0,0,332,326,15,19,17,17,5,0,5,2,23,26,19,10,12,14,23,29,1,0,0,5,0,2,0,0,30,29,21,10,"109,240m","107,498m",154,138,126,123,11.1%,8.1%,50.5%,49.5%,https://www.football-lab.jp/tosu/report/?year=2016&month=04&date=24
A,仙台,W,2,0,11,4,3,0,1,0,437,376,18,12,18,16,3,4,7,2,19,21,7,11,12,19,17,20,1,1,4,3,1,5,0,1,44,32,20,4,"115,741m","105,118m",172,150,126,118,8.7%,3.4%,52.6%,47.4%,https://www.football-lab.jp/tosu/report/?year=2016&month=04&date=30
H,湘南,L,0,1,12,9,2,3,0,0,335,339,17,8,11,20,6,7,8,4,27,22,9,5,16,17,20,45,2,5,7,6,2,0,0,0,40,29,13,6,"111,161m","111,329m",151,168,140,144,8.6%,6.3%,50.4%,49.6%,https://www.football-lab.jp/tosu/report/?year=2016&month=05&date=04
A,広島,L,0,3,3,9,0,5,0,0,568,540,16,10,14,9,3,1,4,5,12,24,12,13,12,13,5,20,2,5,0,3,0,0,0,0,43,33,8,12,"120,709m","111,332m",176,127,97,102,3.1%,8.8%,50%,50%,https://www.football-lab.jp/tosu/report/?year=2016&month=05&date=08
A,FC東京,D,0,0,3,11,2,4,0,0,448,519,12,31,20,15,3,1,4,5,21,27,3,10,18,15,28,14,1,3,1,3,0,2,0,0,39,56,4,12,"122,254m","120,481m",154,152,132,136,2.3%,8.1%,48.1%,51.9%,https://www.football-lab.jp/tosu/report/?year=2016&month=05&date=13
H,大宮,L,0,1,11,13,2,6,0,0,457,433,20,15,18,8,0,2,4,5,23,20,11,10,13,11,26,44,3,2,2,0,1,2,0,0,39,34,9,15,"120,886m","115,877m",172,147,115,115,9.6%,11.3%,51.8%,48.2%,https://www.football-lab.jp/tosu/report/?year=2016&month=05&date=21
H,浦和,D,0,0,5,11,0,1,0,0,218,749,6,19,19,7,0,2,1,7,16,21,7,8,13,16,27,7,1,2,1,0,0,2,0,0,15,77,6,13,"115,831m","108,569m",134,134,119,113,4.2%,9.7%,31.5%,68.5%,https://www.football-lab.jp/tosu/report/?year=2016&month=05&date=29
H,神戸,D,0,0,9,9,3,4,0,0,327,480,20,13,16,19,2,3,9,5,21,18,7,10,17,23,20,30,3,1,3,2,1,2,0,0,33,43,18,11,"116,420m","110,291m",206,181,126,121,7.1%,7.4%,42.7%,57.3%,https://www.football-lab.jp/tosu/report/?year=2016&month=06&date=02
A,名古屋,W,1,0,10,13,2,3,0,0,422,401,13,11,15,17,2,0,3,3,33,28,8,9,15,17,25,22,2,2,0,2,1,1,0,0,41,38,9,8,"118,730m","112,331m",198,163,139,131,7.2%,9.9%,54%,46%,https://www.football-lab.jp/tosu/report/?year=2016&month=06&date=11
H,Ｇ大阪,W,2,1,12,8,5,2,0,0,388,541,15,9,13,10,0,0,5,2,24,16,14,2,16,15,21,28,2,2,0,0,1,1,0,0,37,35,17,5,"118,485m","110,712m",177,142,115,109,10.4%,7.3%,46.2%,53.8%,https://www.football-lab.jp/tosu/report/?year=2016&month=06&date=18
A,新潟,L,0,1,5,15,1,3,0,0,345,591,19,18,7,9,0,3,4,5,20,23,11,17,27,25,16,22,2,0,3,0,1,0,0,0,36,59,12,14,"118,808m","117,152m",131,131,128,135,3.9%,11.1%,40.9%,59.1%,https://www.football-lab.jp/tosu/report/?year=2016&month=06&date=25
H,FC東京,W,3,2,10,7,4,4,0,0,542,433,19,5,9,11,8,1,7,1,30,22,8,5,13,22,8,23,3,1,1,8,0,0,0,0,43,27,14,5,"118,066m","112,005m",134,122,131,117,7.6%,6.0%,57.3%,42.7%,https://www.football-lab.jp/tosu/report/?year=2016&month=07&date=02
A,神戸,D,2,2,9,14,3,3,0,0,391,482,12,14,15,10,3,3,3,4,15,14,7,11,26,15,17,18,5,6,3,3,1,2,0,0,35,42,10,11,"116,848m","105,887m",150,136,113,106,8.0%,13.2%,47.5%,52.5%,https://www.football-lab.jp/tosu/report/?year=2016&month=07&date=09
A,湘南,W,2,0,17,7,4,0,0,0,389,488,15,11,9,9,3,4,6,7,24,14,11,8,21,18,27,15,5,1,4,2,0,3,0,0,37,42,16,7,"117,647m","120,439m",173,186,131,121,13.0%,5.8%,47.4%,52.6%,https://www.football-lab.jp/tosu/report/?year=2016&month=07&date=13
H,名古屋,D,0,0,14,8,4,1,0,0,475,279,19,5,10,8,6,2,6,3,31,18,17,12,18,27,16,28,1,0,2,4,1,2,0,0,36,27,8,7,"116,366m","108,312m",158,142,126,112,11.1%,7.1%,58.3%,41.7%,https://www.football-lab.jp/tosu/report/?year=2016&month=07&date=17
A,福岡,W,3,2,10,5,5,1,0,0,495,356,19,9,11,11,3,3,4,2,23,16,12,7,16,15,9,30,2,4,3,3,2,2,0,0,45,25,19,9,"115,840m","112,817m",175,165,126,115,7.9%,4.3%,56.2%,43.8%,https://www.football-lab.jp/tosu/report/?year=2016&month=07&date=23
H,鹿島,W,1,0,7,13,3,2,0,0,340,605,10,21,12,7,2,1,2,4,19,27,9,23,23,24,33,12,3,4,1,2,3,1,0,0,24,63,7,18,"115,741m","105,577m",149,154,126,124,5.6%,10.5%,41.9%,58.1%,https://www.football-lab.jp/tosu/report/?year=2016&month=07&date=30
A,Ｇ大阪,L,1,2,16,7,3,3,1,0,416,594,11,14,7,9,2,1,4,3,22,20,13,8,16,17,17,11,6,3,1,2,2,0,0,0,34,55,11,12,"109,979m","107,237m",102,110,109,107,14.7%,6.5%,41.9%,58.1%,https://www.football-lab.jp/tosu/report/?year=2016&month=08&date=06
H,川崎Ｆ,W,1,0,11,8,4,4,0,0,342,684,16,3,8,13,3,9,6,1,17,9,9,5,17,12,15,18,3,1,9,3,0,0,0,1,38,37,17,8,"118,553m","108,095m",161,113,119,114,9.2%,7.0%,39.7%,60.3%,https://www.football-lab.jp/tosu/report/?year=2016&month=08&date=13
A,磐田,D,1,1,9,18,4,5,0,1,330,411,19,29,10,13,2,4,7,9,21,24,9,13,13,10,27,22,2,1,4,2,2,3,0,0,32,53,16,11,"112,334m","108,953m",179,167,126,131,7.1%,13.7%,47%,53%,https://www.football-lab.jp/tosu/report/?year=2016&month=08&date=20
H,新潟,W,1,0,12,5,3,1,0,0,363,354,16,8,19,10,4,6,6,2,27,20,12,14,22,15,21,32,3,2,6,4,2,3,0,0,38,23,10,7,"111,819m","107,010m",147,136,139,119,8.6%,4.2%,51.4%,48.6%,https://www.football-lab.jp/tosu/report/?year=2016&month=08&date=27
A,浦和,L,0,2,12,13,4,6,0,0,556,414,16,14,18,15,3,4,2,4,15,13,13,13,15,24,16,13,6,6,3,3,2,0,0,0,38,33,7,12,"117,841m","114,895m",147,144,124,122,9.7%,10.7%,56.8%,43.2%,https://www.football-lab.jp/tosu/report/?year=2016&month=09&date=10
H,広島,L,2,3,14,21,6,7,0,0,534,481,25,12,8,7,6,3,5,7,12,7,10,16,7,8,19,29,6,1,2,6,3,1,0,0,49,38,9,13,"117,011m","109,001m",158,128,95,96,14.7%,21.9%,52.1%,47.9%,https://www.football-lab.jp/tosu/report/?year=2016&month=09&date=17
A,大宮,D,1,1,8,17,3,5,1,0,419,702,13,26,7,8,2,2,4,2,12,20,10,12,10,13,15,11,4,3,2,2,1,0,0,0,32,65,6,15,"118,503m","106,825m",126,113,105,111,7.6%,15.3%,38.9%,61.1%,https://www.football-lab.jp/tosu/report/?year=2016&month=09&date=25
H,仙台,L,2,3,12,11,3,6,0,0,554,294,24,11,14,15,1,3,7,3,18,20,13,13,14,16,9,36,2,4,3,1,2,1,0,0,49,25,19,11,"118,717m","114,794m",169,139,114,112,10.5%,9.8%,59.9%,40.1%,https://www.football-lab.jp/tosu/report/?year=2016&month=10&date=01
A,柏,W,3,2,11,11,4,3,0,0,394,587,12,16,12,12,1,5,3,4,21,31,16,15,24,19,31,22,0,1,5,1,1,0,0,0,37,44,10,16,"126,370m","117,043m",170,142,141,146,7.8%,7.5%,45.4%,54.6%,https://www.football-lab.jp/tosu/report/?year=2016&month=10&date=22
H,横浜FM,D,2,2,11,13,4,5,0,0,429,617,12,19,12,9,2,0,0,5,21,15,7,26,24,13,24,14,3,6,0,2,0,0,0,0,29,50,10,21,"126,672m","121,692m",203,175,114,120,9.6%,10.8%,43.4%,56.6%,https://www.football-lab.jp/tosu/report/?year=2016&month=10&date=29
