HOME/AWAY,Opponent,勝敗,kasm_得点,kasm_失点,Opponent_シュート,kasm_シュート,Opponent_枠内シュート,kasm_枠内シュート,Opponent_PKによるシュート,kasm_PKによるシュート,Opponent_パス,kasm_パス,Opponent_クロス,kasm_クロス,Opponent_直接ＦＫ,kasm_直接ＦＫ,Opponent_間接ＦＫ,kasm_間接ＦＫ,Opponent_ＣＫ,kasm_ＣＫ,Opponent_スローイン,kasm_スローイン,Opponent_ドリブル,kasm_ドリブル,Opponent_タックル,kasm_タックル,Opponent_クリア,kasm_クリア,Opponent_インターセプト,kasm_インターセプト,Opponent_オフサイド,kasm_オフサイド,Opponent_警告,kasm_警告,Opponent_退場,kasm_退場,Opponent_３０ｍライン進入,kasm_３０ｍライン進入,Opponent_ペナルティエリア進入,kasm_ペナルティエリア進入,Opponent_総移動距離,kasm_総移動距離,Opponent_スプリント,kasm_スプリント,Opponent_攻撃回数,kasm_攻撃回数,Opponent_チャンス構築率,kasm_チャンス構築率,Opponent_ボール保持率,kasm_ボール保持率,URL
A,Ｇ大阪,W,1,0,10,12,2,4,0,0,520,477,16,16,18,14,3,0,7,3,31,25,11,13,26,26,23,20,2,4,0,3,2,5,0,0,39,43,14,13,"116,243m","113,963m",203,191,144,139,6.9%,8.6%,52.1%,47.9%,https://www.football-lab.jp/kasm/report/?year=2016&month=02&date=28
H,鳥栖,W,1,0,9,12,2,4,0,0,597,377,18,11,19,14,2,1,3,2,32,31,14,12,21,21,18,21,2,3,1,2,0,2,0,0,50,35,15,10,"124,386m","118,322m",173,194,146,132,6.2%,9.1%,59.3%,40.7%,https://www.football-lab.jp/kasm/report/?year=2016&month=03&date=05
A,仙台,L,0,1,11,18,3,4,0,0,347,542,12,17,13,12,5,1,6,11,35,38,7,11,28,19,36,6,1,1,1,5,2,1,0,0,32,49,11,22,"117,349m","115,829m",181,169,158,166,7.0%,10.8%,43.5%,56.5%,https://www.football-lab.jp/kasm/report/?year=2016&month=03&date=12
H,FC東京,W,2,0,11,18,2,6,0,0,343,624,15,18,15,18,4,2,2,5,27,33,7,22,32,27,28,20,1,5,1,4,1,0,0,0,39,58,6,20,"116,495m","115,836m",182,172,152,160,7.2%,11.3%,38.8%,61.2%,https://www.football-lab.jp/kasm/report/?year=2016&month=03&date=19
A,川崎Ｆ,D,1,1,10,21,3,6,0,0,535,392,11,25,18,10,6,4,5,8,24,28,13,17,18,23,33,20,1,2,4,6,2,1,0,0,43,46,12,23,"114,456m","113,820m",189,225,136,132,7.4%,15.9%,57.3%,42.7%,https://www.football-lab.jp/kasm/report/?year=2016&month=04&date=02
H,広島,W,4,1,13,19,5,7,0,0,564,495,31,17,9,8,1,0,7,6,24,13,33,23,27,23,21,21,2,3,0,1,1,1,0,0,45,47,25,21,"117,364m","117,546m",221,229,128,120,10.2%,15.8%,54.3%,45.7%,https://www.football-lab.jp/kasm/report/?year=2016&month=04&date=10
A,湘南,W,3,0,10,15,1,4,0,0,368,520,15,25,11,17,7,2,5,2,19,35,16,12,30,24,30,34,2,8,0,7,1,1,0,0,35,42,10,22,"117,065m","111,572m",211,197,139,165,7.2%,9.1%,44.8%,55.2%,https://www.football-lab.jp/kasm/report/?year=2016&month=04&date=16
H,柏,L,0,2,8,16,5,1,0,0,495,625,10,36,11,8,5,0,2,6,30,38,7,28,36,18,55,19,7,3,0,5,1,1,0,0,33,58,14,31,"124,104m","120,604m",179,190,159,160,5.0%,10.0%,47.1%,52.9%,https://www.football-lab.jp/kasm/report/?year=2016&month=04&date=24
A,大宮,D,0,0,3,23,0,10,0,0,373,563,13,30,14,11,3,2,4,7,29,37,21,25,25,26,35,22,2,9,2,3,2,0,0,0,24,67,8,26,"111,323m","109,115m",172,207,149,151,2.0%,15.2%,42.9%,57.1%,https://www.football-lab.jp/kasm/report/?year=2016&month=04&date=30
H,新潟,W,2,1,10,14,2,5,0,0,439,415,13,18,15,11,1,1,9,5,35,23,18,17,32,29,26,29,2,3,1,1,0,2,0,0,42,55,14,17,"116,808m","108,284m",160,184,148,138,6.8%,10.1%,49.4%,50.6%,https://www.football-lab.jp/kasm/report/?year=2016&month=05&date=04
A,磐田,D,1,1,13,15,6,5,0,0,335,552,16,32,12,12,6,3,4,5,27,35,13,21,16,16,47,20,1,2,3,6,2,0,0,0,30,60,13,25,"121,370m","113,346m",194,247,140,144,9.3%,10.4%,43.9%,56.1%,https://www.football-lab.jp/kasm/report/?year=2016&month=05&date=08
H,横浜FM,W,1,0,11,12,4,4,0,0,464,407,17,11,16,15,1,3,3,4,35,31,20,16,38,25,15,41,6,2,4,1,2,2,0,0,36,37,14,10,"112,203m","112,266m",167,178,148,140,7.4%,8.6%,54.6%,45.4%,https://www.football-lab.jp/kasm/report/?year=2016&month=05&date=14
A,名古屋,W,3,2,17,15,5,9,0,0,341,447,13,25,17,14,2,1,8,4,22,25,15,14,18,31,26,28,4,4,1,1,2,2,0,0,40,55,16,20,"113,042m","109,540m",196,223,148,143,11.5%,10.5%,47.6%,52.4%,https://www.football-lab.jp/kasm/report/?year=2016&month=05&date=21
H,甲府,W,4,0,5,22,2,7,0,0,331,685,7,17,13,16,4,2,3,4,28,22,15,7,22,35,22,16,2,3,2,4,2,1,0,0,22,66,10,13,"110,348m","109,523m",140,151,131,114,3.8%,19.3%,37.5%,62.5%,https://www.football-lab.jp/kasm/report/?year=2016&month=05&date=29
A,浦和,W,2,0,23,15,3,5,0,1,635,301,24,15,16,7,2,0,6,4,33,12,20,12,14,31,19,35,1,6,0,2,2,3,0,0,75,36,22,19,"115,820m","112,873m",199,199,127,111,18.1%,13.5%,62.9%,37.1%,https://www.football-lab.jp/kasm/report/?year=2016&month=06&date=11
A,神戸,W,2,1,14,12,3,3,0,0,390,350,10,14,17,16,5,1,9,2,27,23,11,14,25,24,18,35,0,1,1,5,0,4,0,0,33,41,12,14,"104,672m","107,477m",180,206,135,123,10.4%,9.8%,52.6%,47.4%,https://www.football-lab.jp/kasm/report/?year=2016&month=06&date=18
H,福岡,W,2,0,12,9,2,5,0,0,387,483,8,10,19,13,8,0,4,6,29,25,13,17,20,18,17,19,1,1,0,8,1,1,0,0,25,41,11,15,"110,937m","110,378m",184,154,135,126,8.9%,7.1%,47.8%,52.2%,https://www.football-lab.jp/kasm/report/?year=2016&month=06&date=25
H,Ｇ大阪,L,1,3,13,16,6,3,0,0,417,473,7,19,14,4,1,1,6,4,26,25,12,15,20,32,24,24,5,1,1,1,1,2,0,0,31,57,12,19,"110,197m","106,021m",133,158,130,115,10.0%,13.9%,47.8%,52.2%,https://www.football-lab.jp/kasm/report/?year=2016&month=07&date=02
A,広島,W,4,2,11,16,5,9,0,0,494,443,16,11,8,7,1,3,9,3,27,19,22,12,22,26,12,29,4,2,3,1,0,1,0,0,35,46,12,19,"106,549m","109,582m",148,163,130,120,8.5%,13.3%,52.8%,47.2%,https://www.football-lab.jp/kasm/report/?year=2016&month=07&date=09
H,名古屋,W,3,0,12,19,3,5,0,0,394,473,9,18,12,8,0,1,4,7,21,36,12,15,16,18,24,24,2,7,1,0,0,0,0,0,33,56,11,22,"110,574m","109,203m",156,173,116,125,10.3%,15.2%,46.5%,53.5%,https://www.football-lab.jp/kasm/report/?year=2016&month=07&date=13
A,甲府,D,3,3,4,20,4,4,0,0,240,727,6,23,9,7,2,1,1,7,22,32,6,8,20,17,27,11,3,0,1,1,2,1,0,0,18,81,3,27,"109,449m","106,255m",138,132,109,118,3.7%,16.9%,32.4%,67.6%,https://www.football-lab.jp/kasm/report/?year=2016&month=07&date=17
H,浦和,L,1,2,14,15,6,4,0,0,559,465,11,29,8,8,2,2,2,7,18,31,7,22,30,22,35,13,1,1,2,2,1,1,0,0,27,68,11,25,"116,682m","112,253m",192,153,130,143,10.8%,10.5%,53.4%,46.6%,https://www.football-lab.jp/kasm/report/?year=2016&month=07&date=23
A,鳥栖,L,0,1,7,13,3,2,0,0,340,605,10,21,12,7,2,1,2,4,19,27,9,23,23,24,33,12,3,4,1,2,3,1,0,0,24,63,7,18,"115,741m","105,577m",149,154,126,124,5.6%,10.5%,41.9%,58.1%,https://www.football-lab.jp/kasm/report/?year=2016&month=07&date=30
H,仙台,L,0,1,6,16,3,9,0,0,269,551,8,28,12,11,6,2,3,10,32,44,5,20,30,20,42,19,8,1,2,6,1,0,0,0,23,70,8,26,"110,356m","108,612m",135,140,130,145,4.6%,11.0%,38.7%,61.3%,https://www.football-lab.jp/kasm/report/?year=2016&month=08&date=06
A,福岡,W,2,1,5,12,1,4,0,0,398,402,8,11,11,14,1,1,3,5,29,32,11,12,23,28,30,24,0,3,1,1,2,0,1,0,22,36,2,13,"107,636m","103,685m",152,143,121,126,4.1%,9.5%,50.3%,49.7%,https://www.football-lab.jp/kasm/report/?year=2016&month=08&date=14
H,湘南,W,1,0,3,18,0,8,0,0,326,493,8,22,12,8,0,2,4,6,28,27,8,15,30,25,35,25,1,0,1,0,3,0,0,0,30,51,7,19,"111,822m","102,530m",161,138,121,126,2.5%,14.3%,43.3%,56.7%,https://www.football-lab.jp/kasm/report/?year=2016&month=08&date=20
A,横浜FM,D,2,2,16,19,4,8,0,0,334,530,6,17,21,17,2,2,3,8,17,17,13,11,19,25,21,18,2,4,2,1,3,2,0,0,26,56,9,20,"112,602m","108,907m",175,197,127,133,12.6%,14.3%,43.4%,56.6%,https://www.football-lab.jp/kasm/report/?year=2016&month=08&date=27
A,柏,L,0,2,16,10,5,3,1,0,566,418,16,14,11,10,1,0,5,6,25,24,21,16,22,28,27,16,3,2,0,1,1,2,0,0,42,46,13,12,"115,256m","108,738m",147,167,120,122,13.3%,8.2%,54.9%,45.1%,https://www.football-lab.jp/kasm/report/?year=2016&month=09&date=10
H,磐田,W,3,0,10,16,1,7,0,1,321,473,13,14,19,17,6,2,3,6,30,18,12,14,24,27,15,21,0,0,2,6,3,1,1,0,43,44,13,16,"110,371m","107,567m",183,183,130,128,7.7%,12.5%,43.2%,56.8%,https://www.football-lab.jp/kasm/report/?year=2016&month=09&date=17
A,新潟,W,2,0,4,10,1,3,0,1,411,375,13,12,12,15,1,2,4,3,41,31,17,14,28,44,20,26,3,5,2,1,3,0,0,0,36,30,10,9,"113,842m","108,666m",155,165,151,135,2.6%,7.4%,51.7%,48.3%,https://www.football-lab.jp/kasm/report/?year=2016&month=09&date=25
H,大宮,L,1,3,10,20,6,3,0,0,384,541,9,33,15,13,1,1,3,9,29,46,4,21,20,20,52,19,6,9,1,1,5,2,0,0,14,69,12,29,"112,614m","111,487m",177,161,149,157,6.7%,12.7%,42.8%,57.2%,https://www.football-lab.jp/kasm/report/?year=2016&month=10&date=01
A,FC東京,L,1,2,12,10,7,2,0,0,449,436,17,23,26,17,1,1,6,5,18,28,16,12,22,25,31,20,5,5,1,1,1,2,0,0,48,42,14,14,"115,591m","109,059m",218,207,151,147,7.9%,6.8%,51.9%,48.1%,https://www.football-lab.jp/kasm/report/?year=2016&month=10&date=22
H,川崎Ｆ,L,0,1,7,19,3,6,0,0,526,535,4,20,13,12,4,3,2,10,15,27,7,12,17,23,38,10,1,1,3,4,1,0,0,0,30,53,7,19,"109,605m","109,394m",170,184,116,134,6.0%,14.2%,50.7%,49.3%,https://www.football-lab.jp/kasm/report/?year=2016&month=10&date=29
H,神戸,L,0,1,14,21,6,8,0,0,540,463,10,23,7,12,4,3,6,5,14,28,19,20,31,33,23,19,4,2,3,4,0,0,0,0,39,53,15,27,"108,096m","109,574m",170,211,121,136,11.6%,15.4%,53.6%,46.4%,https://www.football-lab.jp/kasm/report/?year=2016&month=11&date=03
