HOME/AWAY,Opponent,勝敗,ka-f_得点,ka-f_失点,Opponent_シュート,ka-f_シュート,Opponent_枠内シュート,ka-f_枠内シュート,Opponent_PKによるシュート,ka-f_PKによるシュート,Opponent_パス,ka-f_パス,Opponent_クロス,ka-f_クロス,Opponent_直接ＦＫ,ka-f_直接ＦＫ,Opponent_間接ＦＫ,ka-f_間接ＦＫ,Opponent_ＣＫ,ka-f_ＣＫ,Opponent_スローイン,ka-f_スローイン,Opponent_ドリブル,ka-f_ドリブル,Opponent_タックル,ka-f_タックル,Opponent_クリア,ka-f_クリア,Opponent_インターセプト,ka-f_インターセプト,Opponent_オフサイド,ka-f_オフサイド,Opponent_警告,ka-f_警告,Opponent_退場,ka-f_退場,Opponent_３０ｍライン進入,ka-f_３０ｍライン進入,Opponent_ペナルティエリア進入,ka-f_ペナルティエリア進入,Opponent_総移動距離,ka-f_総移動距離,Opponent_スプリント,ka-f_スプリント,Opponent_攻撃回数,ka-f_攻撃回数,Opponent_チャンス構築率,ka-f_チャンス構築率,Opponent_ボール保持率,ka-f_ボール保持率,URL
A,仙台,W,3,0,10,19,2,6,0,0,490,559,26,8,11,10,5,3,5,9,24,15,23,11,25,22,28,32,6,6,3,5,3,0,0,0,55,47,15,15,"115,094m","110,448m",149,122,117,118,8.5%,16.1%,49.9%,50.1%,https://www.football-lab.jp/ka-f/report/?year=2016&month=07&date=02
A,名古屋,W,3,0,11,14,2,5,0,0,385,883,10,11,8,12,1,3,3,6,12,16,8,7,21,14,29,14,4,2,3,1,2,0,1,0,33,52,10,13,"108,575m","105,794m",122,148,102,107,10.8%,13.1%,36.2%,63.8%,https://www.football-lab.jp/ka-f/report/?year=2016&month=07&date=09
H,新潟,W,3,2,12,21,3,10,0,0,424,658,9,21,8,12,2,4,3,8,11,15,7,14,19,15,20,9,0,0,4,2,1,2,0,0,38,63,8,19,"114,375m","107,818m",111,118,105,111,11.4%,18.9%,42.7%,57.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=07&date=13
A,磐田,D,1,1,15,17,6,5,0,0,273,678,16,20,6,12,12,3,7,6,11,22,7,6,12,14,16,11,5,2,3,12,2,1,0,0,38,49,9,25,"108,048m","104,959m",163,177,112,120,13.4%,14.2%,35%,65%,https://www.football-lab.jp/ka-f/report/?year=2016&month=07&date=17
H,FC東京,W,1,0,10,26,2,7,0,0,482,743,8,15,10,8,0,1,5,10,14,19,10,6,19,17,27,16,3,0,1,0,2,1,0,0,40,58,12,26,"110,204m","110,640m",115,108,103,107,9.7%,24.3%,45%,55%,https://www.football-lab.jp/ka-f/report/?year=2016&month=07&date=23
A,湘南,W,3,2,20,15,5,6,0,0,418,540,21,12,12,19,4,5,8,1,21,16,11,6,19,15,17,38,2,3,5,4,4,0,0,0,44,50,18,19,"120,099m","111,316m",165,139,125,115,16.0%,13.0%,50.3%,49.7%,https://www.football-lab.jp/ka-f/report/?year=2016&month=07&date=30
H,甲府,W,4,0,8,24,0,8,0,0,235,864,9,13,18,10,0,4,3,7,12,16,10,11,21,15,23,15,4,1,4,0,1,3,1,0,16,84,10,26,"98,354m","97,896m",125,120,103,102,7.8%,23.5%,33.5%,66.5%,https://www.football-lab.jp/ka-f/report/?year=2016&month=08&date=06
A,鳥栖,L,0,1,11,8,4,4,0,0,342,684,16,3,8,13,3,9,6,1,17,9,9,5,17,12,15,18,3,1,9,3,0,0,0,1,38,37,17,8,"118,553m","108,095m",161,113,119,114,9.2%,7.0%,39.7%,60.3%,https://www.football-lab.jp/ka-f/report/?year=2016&month=08&date=13
A,浦和,W,2,1,13,10,4,3,0,0,500,554,17,8,11,13,0,5,8,3,17,16,18,10,19,23,16,40,1,4,5,1,0,2,0,0,42,38,11,10,"110,233m","104,919m",115,117,110,112,11.8%,8.9%,48.8%,51.2%,https://www.football-lab.jp/ka-f/report/?year=2016&month=08&date=20
H,柏,L,2,5,16,22,10,7,0,0,399,859,10,11,5,5,5,3,4,7,13,19,10,12,31,17,24,18,8,3,3,5,1,2,0,0,28,67,15,27,"117,005m","112,449m",146,124,119,112,13.4%,19.6%,37.2%,62.8%,https://www.football-lab.jp/ka-f/report/?year=2016&month=08&date=27
H,福岡,W,3,1,11,16,6,8,0,0,444,779,14,11,7,9,2,4,3,6,12,13,12,12,23,20,28,15,4,4,4,2,0,0,0,0,35,56,14,18,"110,938m","107,096m",115,118,104,110,10.6%,14.5%,42.3%,57.7%,https://www.football-lab.jp/ka-f/report/?year=2016&month=09&date=10
A,大宮,L,2,3,13,8,8,4,1,0,447,624,20,13,10,17,2,5,5,5,15,18,19,13,13,21,23,12,5,6,5,2,4,2,0,1,44,56,18,16,"103,075m","98,774m",153,123,99,104,13.1%,7.7%,44.1%,55.9%,https://www.football-lab.jp/ka-f/report/?year=2016&month=09&date=17
H,横浜FM,W,3,2,11,22,5,10,0,0,483,644,11,12,22,9,0,6,6,7,12,14,22,12,13,18,19,24,4,1,6,0,0,1,0,0,28,51,13,23,"113,484m","111,171m",156,154,121,107,9.1%,20.6%,48%,52%,https://www.football-lab.jp/ka-f/report/?year=2016&month=09&date=25
A,神戸,L,0,3,17,21,7,3,0,0,324,832,9,13,4,15,0,2,1,10,11,21,9,16,26,17,25,15,5,3,2,0,4,0,0,0,39,53,13,20,"107,495m","108,947m",143,145,93,119,18.3%,17.6%,37.4%,62.6%,https://www.football-lab.jp/ka-f/report/?year=2016&month=10&date=01
H,広島,W,2,0,14,15,3,9,0,0,608,717,17,14,8,9,1,5,6,2,9,18,19,13,26,15,19,17,5,4,5,1,0,1,0,0,44,56,19,13,"114,509m","116,123m",138,148,116,110,12.1%,13.6%,50.4%,49.6%,https://www.football-lab.jp/ka-f/report/?year=2016&month=10&date=22
A,鹿島,W,1,0,19,7,6,3,0,0,535,526,20,4,12,13,3,4,10,2,27,15,12,7,23,17,10,38,1,1,4,3,0,1,0,0,53,30,19,7,"109,394m","109,605m",184,170,134,116,14.2%,6.0%,49.3%,50.7%,https://www.football-lab.jp/ka-f/report/?year=2016&month=10&date=29
H,Ｇ大阪,L,2,3,12,21,7,8,0,0,480,596,9,7,10,14,3,5,6,3,14,15,11,18,33,25,10,18,9,9,5,3,2,2,0,0,38,49,6,13,"112,999m","111,439m",168,166,130,131,9.2%,16.0%,46.6%,53.4%,https://www.football-lab.jp/ka-f/report/?year=2016&month=11&date=03
