HOME/AWAY,Opponent,勝敗,send_得点,send_失点,Opponent_シュート,send_シュート,Opponent_枠内シュート,send_枠内シュート,Opponent_PKによるシュート,send_PKによるシュート,Opponent_パス,send_パス,Opponent_クロス,send_クロス,Opponent_直接ＦＫ,send_直接ＦＫ,Opponent_間接ＦＫ,send_間接ＦＫ,Opponent_ＣＫ,send_ＣＫ,Opponent_スローイン,send_スローイン,Opponent_ドリブル,send_ドリブル,Opponent_タックル,send_タックル,Opponent_クリア,send_クリア,Opponent_インターセプト,send_インターセプト,Opponent_オフサイド,send_オフサイド,Opponent_警告,send_警告,Opponent_退場,send_退場,Opponent_３０ｍライン進入,send_３０ｍライン進入,Opponent_ペナルティエリア進入,send_ペナルティエリア進入,Opponent_総移動距離,send_総移動距離,Opponent_スプリント,send_スプリント,Opponent_攻撃回数,send_攻撃回数,Opponent_チャンス構築率,send_チャンス構築率,Opponent_ボール保持率,send_ボール保持率,URL
H,川崎Ｆ,L,0,3,19,10,6,2,0,0,559,490,8,26,10,11,3,5,9,5,15,24,11,23,22,25,32,28,6,6,5,3,0,3,0,0,47,55,15,15,"110,448m","115,094m",122,149,118,117,16.1%,8.5%,50.1%,49.9%,https://www.football-lab.jp/send/report/?year=2016&month=07&date=02
A,Ｇ大阪,L,1,3,15,13,8,3,0,0,396,571,11,13,11,8,2,3,4,8,19,20,5,16,23,15,30,19,1,2,3,2,1,1,0,0,32,53,15,9,"112,618m","112,648m",161,157,106,105,14.2%,12.4%,43.4%,56.6%,https://www.football-lab.jp/send/report/?year=2016&month=07&date=09
H,浦和,L,0,1,15,7,6,0,0,0,555,427,14,15,16,9,1,2,3,5,22,23,13,9,23,13,15,24,1,3,2,1,1,3,0,0,58,33,15,9,"115,450m","115,490m",166,185,126,123,11.9%,5.7%,52.6%,47.4%,https://www.football-lab.jp/send/report/?year=2016&month=07&date=13
A,新潟,W,2,1,10,13,4,4,1,0,522,337,18,11,8,18,3,2,6,4,24,23,10,10,16,22,12,24,1,1,2,3,3,1,0,0,47,29,9,5,"108,732m","105,944m",147,135,114,116,8.8%,11.2%,56.2%,43.8%,https://www.football-lab.jp/send/report/?year=2016&month=07&date=17
H,湘南,W,1,0,11,16,2,2,0,0,386,505,15,18,13,12,2,4,5,8,18,15,7,15,21,20,31,19,1,3,4,2,0,0,0,0,43,44,9,17,"118,328m","112,231m",206,164,110,118,10.0%,13.6%,43.4%,56.6%,https://www.football-lab.jp/send/report/?year=2016&month=07&date=23
A,福岡,D,1,1,14,8,3,3,0,0,329,441,22,14,8,8,5,5,12,2,31,20,16,8,14,17,17,39,4,7,3,5,2,0,0,0,35,28,15,12,"109,232m","107,500m",158,180,126,103,11.1%,7.8%,45.9%,54.1%,https://www.football-lab.jp/send/report/?year=2016&month=07&date=30
A,鹿島,W,1,0,16,6,9,3,0,0,551,269,28,8,11,12,2,6,10,3,44,32,20,5,20,30,19,42,1,8,6,2,0,1,0,0,70,23,26,8,"108,612m","110,356m",140,135,145,130,11.0%,4.6%,61.3%,38.7%,https://www.football-lab.jp/send/report/?year=2016&month=08&date=06
H,柏,W,4,2,13,8,6,5,1,1,473,311,21,10,16,16,1,1,6,7,17,27,15,12,25,21,22,22,1,3,1,1,2,1,0,0,38,29,18,9,"109,769m","113,663m",144,150,120,123,10.8%,6.5%,56.5%,43.5%,https://www.football-lab.jp/send/report/?year=2016&month=08&date=13
A,大宮,L,1,2,16,16,6,4,1,0,387,450,19,15,11,14,5,2,5,4,26,23,16,19,24,21,23,15,2,2,2,4,3,1,1,0,33,37,17,12,"103,893m","107,979m",104,133,125,117,12.8%,13.7%,47.9%,52.1%,https://www.football-lab.jp/send/report/?year=2016&month=08&date=20
H,広島,L,0,2,18,22,5,4,0,0,405,601,18,24,8,8,1,2,4,8,14,16,17,20,22,12,20,19,3,2,2,2,1,0,0,0,35,58,16,19,"112,222m","116,828m",135,180,103,111,17.5%,19.8%,43.7%,56.3%,https://www.football-lab.jp/send/report/?year=2016&month=08&date=27
H,横浜FM,L,0,1,14,18,3,1,0,0,527,478,10,15,18,11,2,1,2,4,27,13,12,17,23,31,19,14,4,3,1,2,4,3,0,0,46,43,15,17,"110,327m","110,076m",146,170,127,116,11.0%,15.5%,50.7%,49.3%,https://www.football-lab.jp/send/report/?year=2016&month=09&date=10
A,甲府,D,1,1,10,16,2,6,1,0,258,763,8,22,14,6,1,5,4,9,17,14,5,11,19,16,28,14,0,0,5,1,2,1,0,0,21,64,9,16,"107,011m","108,783m",132,126,102,95,9.8%,16.8%,30.5%,69.5%,https://www.football-lab.jp/send/report/?year=2016&month=09&date=17
H,名古屋,L,1,2,7,12,2,2,0,0,261,537,6,19,14,13,5,4,5,5,20,30,9,19,28,21,33,16,1,2,3,5,3,0,0,0,25,59,10,16,"105,751m","109,684m",118,115,117,127,6.0%,9.4%,36.7%,63.3%,https://www.football-lab.jp/send/report/?year=2016&month=09&date=25
A,鳥栖,W,3,2,12,11,3,6,0,0,554,294,24,11,14,15,1,3,7,3,18,20,13,13,14,16,9,36,2,4,3,1,2,1,0,0,49,25,19,11,"118,717m","114,794m",169,139,114,112,10.5%,9.8%,59.9%,40.1%,https://www.football-lab.jp/send/report/?year=2016&month=10&date=01
H,神戸,W,3,0,10,14,2,6,0,0,541,458,12,19,12,16,3,2,2,4,25,17,5,8,18,21,18,21,5,4,0,3,3,2,1,0,45,29,10,13,"102,999m","112,558m",133,170,124,126,8.1%,11.1%,55.1%,44.9%,https://www.football-lab.jp/send/report/?year=2016&month=10&date=22
A,FC東京,L,0,1,12,7,5,3,0,0,373,541,22,13,6,16,4,3,5,2,25,35,14,12,18,16,31,26,3,1,2,4,2,1,0,0,44,41,22,14,"114,807m","112,760m",165,152,119,133,10.1%,5.3%,43.8%,56.2%,https://www.football-lab.jp/send/report/?year=2016&month=10&date=29
H,磐田,L,0,1,12,8,5,1,0,0,389,592,10,12,11,16,2,3,3,1,20,36,5,15,29,27,40,18,3,1,3,2,4,3,0,0,43,45,10,9,"118,432m","116,823m",173,180,131,141,9.2%,5.7%,42.4%,57.6%,https://www.football-lab.jp/send/report/?year=2016&month=11&date=03
