HOME/AWAY,Opponent,勝敗,g-os_得点,g-os_失点,g-os_シュート,Opponent_シュート,g-os_枠内シュート,Opponent_枠内シュート,g-os_PKによるシュート,Opponent_PKによるシュート,g-os_パス,Opponent_パス,g-os_クロス,Opponent_クロス,g-os_直接ＦＫ,Opponent_直接ＦＫ,g-os_間接ＦＫ,Opponent_間接ＦＫ,g-os_ＣＫ,Opponent_ＣＫ,g-os_スローイン,Opponent_スローイン,g-os_ドリブル,Opponent_ドリブル,g-os_タックル,Opponent_タックル,g-os_クリア,Opponent_クリア,g-os_インターセプト,Opponent_インターセプト,g-os_オフサイド,Opponent_オフサイド,g-os_警告,Opponent_警告,g-os_退場,Opponent_退場,g-os_３０ｍライン進入,Opponent_３０ｍライン進入,g-os_ペナルティエリア進入,Opponent_ペナルティエリア進入,g-os_総移動距離,Opponent_総移動距離,g-os_スプリント,Opponent_スプリント,g-os_攻撃回数,Opponent_攻撃回数,g-os_チャンス構築率,Opponent_チャンス構築率,g-os_ボール保持率,Opponent_ボール保持率,URL
H,鹿島,L,0,1,10,12,2,4,0,0,520,477,16,16,18,14,3,0,7,3,31,25,11,13,26,26,23,20,2,4,0,3,2,5,0,0,39,43,14,13,"116,243m","113,963m",203,191,144,139,6.9%,8.6%,52.1%,47.9%,https://www.football-lab.jp/g-os/report/?year=2016&month=02&date=28
A,甲府,W,1,0,12,10,6,2,0,0,670,470,14,14,15,10,0,3,4,5,19,26,12,13,20,18,33,17,3,4,3,0,1,1,0,0,45,51,10,10,"115,703m","117,183m",159,148,125,131,9.6%,7.6%,55.3%,44.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=03&date=06
H,大宮,W,2,1,18,14,7,6,0,0,737,523,15,20,7,9,1,3,9,7,14,18,5,13,13,24,40,31,5,7,3,1,1,0,0,0,66,48,15,21,"120,161m","115,639m",162,149,110,117,16.4%,12.0%,56.3%,43.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=03&date=11
A,神戸,L,1,2,8,14,1,5,0,0,734,432,16,15,14,7,3,3,4,2,19,19,14,21,20,22,21,25,2,6,2,2,3,0,0,0,39,50,9,15,"116,165m","115,086m",188,183,123,113,6.5%,12.4%,59.6%,40.4%,https://www.football-lab.jp/g-os/report/?year=2016&month=03&date=19
H,横浜FM,L,1,2,14,9,4,3,1,0,624,430,25,12,9,12,3,2,6,4,13,12,21,11,28,27,14,25,1,5,2,3,2,2,0,0,62,26,17,8,"111,078m","110,793m",167,145,102,101,13.7%,8.9%,55%,45%,https://www.football-lab.jp/g-os/report/?year=2016&month=04&date=02
A,仙台,W,3,1,7,27,4,11,0,1,491,559,9,26,10,11,3,1,2,6,21,26,10,23,26,29,34,21,1,3,1,3,2,1,0,0,27,55,8,18,"118,793m","114,646m",148,149,133,141,5.3%,19.1%,46.9%,53.1%,https://www.football-lab.jp/g-os/report/?year=2016&month=04&date=10
H,柏,L,0,1,9,17,0,5,0,0,548,539,16,15,12,16,1,5,4,2,18,26,20,17,21,26,13,27,7,5,5,1,1,3,0,0,53,51,11,13,"118,724m","118,882m",180,182,129,135,7.0%,12.6%,50.3%,49.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=04&date=15
A,福岡,W,1,0,18,7,5,2,0,0,683,380,15,11,8,10,0,7,6,3,16,14,11,16,24,18,28,20,4,2,7,0,0,1,0,0,45,42,22,9,"113,719m","111,643m",181,164,121,114,14.9%,6.1%,58.3%,41.7%,https://www.football-lab.jp/g-os/report/?year=2016&month=04&date=24
H,川崎Ｆ,L,0,1,14,11,2,2,0,0,565,528,21,9,9,13,2,2,13,2,29,13,20,7,12,30,11,33,4,2,2,2,1,1,0,0,52,36,16,11,"113,145m","110,527m",156,154,126,114,11.1%,9.6%,51.7%,48.3%,https://www.football-lab.jp/g-os/report/?year=2016&month=04&date=29
A,新潟,D,0,0,12,20,3,4,0,0,587,389,9,13,10,14,1,2,1,7,26,30,6,16,29,17,18,24,3,5,2,1,2,0,0,0,42,47,11,22,"117,051m","123,585m",164,177,127,139,9.4%,14.4%,57.6%,42.4%,https://www.football-lab.jp/g-os/report/?year=2016&month=05&date=08
H,磐田,W,2,1,13,14,5,2,0,0,553,412,14,14,14,9,0,8,4,2,23,31,11,8,20,10,19,22,4,2,8,0,3,1,0,0,40,46,19,11,"111,499m","113,995m",187,134,123,122,10.6%,11.5%,54.6%,45.4%,https://www.football-lab.jp/g-os/report/?year=2016&month=05&date=13
A,広島,W,3,1,17,16,4,6,0,0,439,571,12,30,11,6,0,1,7,5,11,22,9,22,36,22,28,20,2,3,1,0,0,2,0,0,43,66,20,17,"113,190m","107,275m",186,140,107,107,15.9%,15.0%,43.5%,56.5%,https://www.football-lab.jp/g-os/report/?year=2016&month=05&date=21
A,FC東京,L,0,1,13,17,3,2,0,0,490,385,14,22,15,13,1,2,5,10,23,24,6,10,21,12,39,17,0,5,2,1,1,1,0,0,42,52,12,22,"108,979m","115,063m",148,151,113,119,11.5%,14.3%,54.9%,45.1%,https://www.football-lab.jp/g-os/report/?year=2016&month=05&date=29
H,湘南,D,3,3,20,17,9,5,0,0,536,396,14,9,7,7,0,3,6,3,26,22,9,10,19,12,16,29,0,3,3,0,3,1,0,0,49,50,15,9,"109,177m","114,677m",135,180,116,108,17.2%,15.7%,53.6%,46.4%,https://www.football-lab.jp/g-os/report/?year=2016&month=06&date=11
H,浦和,W,1,0,9,18,1,3,0,0,307,691,10,21,13,7,1,4,1,6,12,22,10,20,24,11,25,13,1,2,3,1,0,2,0,0,34,83,5,23,"115,131m","115,371m",164,144,105,103,8.6%,17.5%,35.8%,64.2%,https://www.football-lab.jp/g-os/report/?year=2016&month=06&date=15
A,鳥栖,L,1,2,8,12,2,5,0,0,541,388,9,15,10,13,0,0,2,5,16,24,2,14,15,16,28,21,2,2,0,0,1,1,0,0,35,37,5,17,"110,712m","118,485m",142,177,109,115,7.3%,10.4%,53.8%,46.2%,https://www.football-lab.jp/g-os/report/?year=2016&month=06&date=18
