HOME/AWAY,Opponent,勝敗,niig_得点,niig_失点,Opponent_シュート,niig_シュート,Opponent_枠内シュート,niig_枠内シュート,Opponent_PKによるシュート,niig_PKによるシュート,Opponent_パス,niig_パス,Opponent_クロス,niig_クロス,Opponent_直接ＦＫ,niig_直接ＦＫ,Opponent_間接ＦＫ,niig_間接ＦＫ,Opponent_ＣＫ,niig_ＣＫ,Opponent_スローイン,niig_スローイン,Opponent_ドリブル,niig_ドリブル,Opponent_タックル,niig_タックル,Opponent_クリア,niig_クリア,Opponent_インターセプト,niig_インターセプト,Opponent_オフサイド,niig_オフサイド,Opponent_警告,niig_警告,Opponent_退場,niig_退場,Opponent_３０ｍライン進入,niig_３０ｍライン進入,Opponent_ペナルティエリア進入,niig_ペナルティエリア進入,Opponent_総移動距離,niig_総移動距離,Opponent_スプリント,niig_スプリント,Opponent_攻撃回数,niig_攻撃回数,Opponent_チャンス構築率,niig_チャンス構築率,Opponent_ボール保持率,niig_ボール保持率,URL
A,湘南,W,2,1,16,14,7,3,1,0,502,390,19,11,17,14,3,3,6,3,22,23,11,13,26,26,15,36,4,0,3,3,1,2,0,0,63,37,29,11,"123,557m","119,981m",202,155,143,138,11.2%,10.1%,52.2%,47.8%,https://www.football-lab.jp/niig/report/?year=2016&month=02&date=27
A,神戸,L,3,6,18,12,9,5,0,0,371,455,12,15,17,24,2,1,2,10,21,23,17,15,32,32,25,10,2,5,1,2,2,1,0,0,46,34,18,13,"113,496m","118,263m",187,172,134,149,13.4%,8.1%,47.5%,52.5%,https://www.football-lab.jp/niig/report/?year=2016&month=03&date=05
H,横浜FM,L,1,2,15,7,6,1,0,0,467,534,15,11,15,15,1,2,10,7,19,14,17,16,30,44,14,22,3,1,2,0,1,4,0,1,49,46,17,11,"118,147m","116,950m",176,177,126,115,11.9%,6.1%,46.3%,53.7%,https://www.football-lab.jp/niig/report/?year=2016&month=03&date=12
H,柏,D,2,2,11,17,5,9,0,0,501,375,15,9,13,19,1,2,6,4,28,23,10,17,43,39,23,14,4,4,2,1,3,0,0,0,40,40,10,13,"118,839m","123,273m",156,171,135,124,8.1%,13.7%,56.7%,43.3%,https://www.football-lab.jp/niig/report/?year=2016&month=03&date=19
A,福岡,W,1,0,14,13,1,2,0,0,447,522,13,7,15,17,2,1,0,3,20,10,15,13,23,20,12,26,4,4,1,2,2,1,0,0,49,29,9,16,"114,489m","121,660m",137,142,121,120,11.6%,10.8%,49.3%,50.7%,https://www.football-lab.jp/niig/report/?year=2016&month=04&date=02
H,磐田,L,1,2,9,13,5,4,2,0,377,444,14,11,12,18,4,3,4,6,22,24,9,11,30,25,19,25,2,1,3,3,4,4,0,0,49,29,14,12,"110,576m","114,369m",177,187,132,132,6.8%,9.8%,49%,51%,https://www.football-lab.jp/niig/report/?year=2016&month=04&date=10
A,広島,L,0,1,13,10,6,3,0,0,592,711,20,7,10,14,0,4,4,2,14,13,19,17,31,20,16,20,5,1,4,0,3,2,0,0,50,49,9,5,"108,469m","120,256m",117,147,90,92,14.4%,10.9%,47.7%,52.3%,https://www.football-lab.jp/niig/report/?year=2016&month=04&date=15
A,名古屋,L,1,2,24,11,10,6,0,0,322,618,17,19,11,11,3,1,6,6,22,33,8,6,19,7,16,6,1,0,1,2,1,0,0,0,39,45,15,19,"112,830m","118,451m",178,151,131,134,18.3%,8.2%,39.1%,60.9%,https://www.football-lab.jp/niig/report/?year=2016&month=04&date=24
H,甲府,D,2,2,8,7,4,2,0,0,351,693,9,14,14,18,3,1,2,4,18,20,17,20,35,28,33,26,5,2,1,3,2,3,0,0,25,51,9,11,"115,562m","122,970m",142,143,124,122,6.5%,5.7%,38.8%,61.2%,https://www.football-lab.jp/niig/report/?year=2016&month=04&date=30
A,鹿島,L,1,2,14,10,5,2,0,0,415,439,18,13,11,15,1,1,5,9,23,35,17,18,29,32,29,26,3,2,1,1,2,0,0,0,55,42,17,14,"108,284m","116,808m",184,160,138,148,10.1%,6.8%,50.6%,49.4%,https://www.football-lab.jp/niig/report/?year=2016&month=05&date=04
H,Ｇ大阪,D,0,0,12,20,3,4,0,0,587,389,9,13,10,14,1,2,1,7,26,30,6,16,29,17,18,24,3,5,2,1,2,0,0,0,42,47,11,22,"117,051m","123,585m",164,177,127,139,9.4%,14.4%,57.6%,42.4%,https://www.football-lab.jp/niig/report/?year=2016&month=05&date=08
A,浦和,D,0,0,20,10,6,3,1,0,749,307,24,10,10,13,4,0,10,3,24,16,18,13,25,23,12,23,3,3,0,4,1,1,0,0,69,29,18,11,"115,648m","118,529m",154,156,136,127,14.7%,7.9%,65.8%,34.2%,https://www.football-lab.jp/niig/report/?year=2016&month=05&date=14
