HOME/AWAY,Opponent,勝敗,shon_得点,shon_失点,shon_シュート,Opponent_シュート,shon_枠内シュート,Opponent_枠内シュート,shon_PKによるシュート,Opponent_PKによるシュート,shon_パス,Opponent_パス,shon_クロス,Opponent_クロス,shon_直接ＦＫ,Opponent_直接ＦＫ,shon_間接ＦＫ,Opponent_間接ＦＫ,shon_ＣＫ,Opponent_ＣＫ,shon_スローイン,Opponent_スローイン,shon_ドリブル,Opponent_ドリブル,shon_タックル,Opponent_タックル,shon_クリア,Opponent_クリア,shon_インターセプト,Opponent_インターセプト,shon_オフサイド,Opponent_オフサイド,shon_警告,Opponent_警告,shon_退場,Opponent_退場,shon_３０ｍライン進入,Opponent_３０ｍライン進入,shon_ペナルティエリア進入,Opponent_ペナルティエリア進入,shon_総移動距離,Opponent_総移動距離,shon_スプリント,Opponent_スプリント,shon_攻撃回数,Opponent_攻撃回数,shon_チャンス構築率,Opponent_チャンス構築率,shon_ボール保持率,Opponent_ボール保持率,URL
H,新潟,L,1,2,16,14,7,3,1,0,502,390,19,11,17,14,3,3,6,3,22,23,11,13,26,26,15,36,4,0,3,3,1,2,0,0,63,37,29,11,"123,557m","119,981m",202,155,143,138,11.2%,10.1%,52.2%,47.8%,https://www.football-lab.jp/shon/report/?year=2016&month=02&date=27
A,川崎Ｆ,D,4,4,12,21,4,8,0,0,338,722,11,26,10,9,2,2,2,8,11,30,11,21,38,20,31,11,10,4,2,2,1,2,0,0,30,69,8,29,"122,731m","116,428m",208,142,123,146,9.8%,14.4%,36.3%,63.7%,https://www.football-lab.jp/shon/report/?year=2016&month=03&date=05
A,広島,D,2,2,7,27,2,4,0,1,324,682,5,37,3,9,3,0,2,9,12,40,5,36,27,14,53,7,6,2,0,3,1,0,0,0,28,63,6,30,"122,263m","111,741m",229,141,117,144,6.0%,18.8%,39%,61%,https://www.football-lab.jp/shon/report/?year=2016&month=03&date=12
H,浦和,L,0,2,9,11,3,3,0,0,379,555,13,30,16,14,2,3,5,6,20,28,12,23,38,21,45,29,2,4,3,2,3,1,0,0,33,50,11,19,"126,817m","122,389m",258,196,148,146,6.1%,7.5%,45%,55%,https://www.football-lab.jp/shon/report/?year=2016&month=03&date=20
H,神戸,L,1,2,19,10,5,5,0,0,471,405,15,15,15,13,7,2,5,5,19,31,15,11,19,29,25,27,1,6,2,7,0,1,0,0,62,31,16,15,"123,477m","115,406m",198,185,164,164,11.6%,6.1%,52%,48%,https://www.football-lab.jp/shon/report/?year=2016&month=04&date=02
A,甲府,L,1,3,17,12,5,5,1,0,706,295,25,9,8,11,3,2,5,3,18,20,5,8,9,7,9,15,0,0,2,3,2,1,0,0,77,28,25,11,"120,587m","116,186m",189,156,123,115,13.8%,10.4%,64.8%,35.2%,https://www.football-lab.jp/shon/report/?year=2016&month=04&date=10
H,鹿島,L,0,3,10,15,1,4,0,0,368,520,15,25,11,17,7,2,5,2,19,35,16,12,30,24,30,34,2,8,0,7,1,1,0,0,35,42,10,22,"117,065m","111,572m",211,197,139,165,7.2%,9.1%,44.8%,55.2%,https://www.football-lab.jp/shon/report/?year=2016&month=04&date=16
H,大宮,L,0,1,15,12,4,3,0,1,438,453,12,27,14,18,1,3,4,7,28,27,11,20,16,17,27,18,1,0,3,1,1,3,0,0,42,43,13,16,"117,804m","110,930m",198,166,118,130,12.7%,9.2%,49.7%,50.3%,https://www.football-lab.jp/shon/report/?year=2016&month=04&date=24
A,横浜FM,W,1,0,7,19,2,4,0,1,316,606,9,32,7,14,1,2,0,7,22,47,7,24,19,16,49,12,0,1,2,1,2,3,0,0,32,63,5,23,"122,103m","115,991m",243,176,111,142,6.3%,13.4%,36.9%,63.1%,https://www.football-lab.jp/shon/report/?year=2016&month=04&date=30
A,鳥栖,W,1,0,9,12,3,2,0,0,339,335,8,17,20,11,7,6,4,8,22,27,5,9,17,16,45,20,5,2,6,7,0,2,0,0,29,40,6,13,"111,329m","111,161m",168,151,144,140,6.3%,8.6%,49.6%,50.4%,https://www.football-lab.jp/shon/report/?year=2016&month=05&date=04
