HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,Opponent_シュート,nago_シュート,Opponent_枠内シュート,nago_枠内シュート,Opponent_PKによるシュート,nago_PKによるシュート,Opponent_パス,nago_パス,Opponent_クロス,nago_クロス,Opponent_直接ＦＫ,nago_直接ＦＫ,Opponent_間接ＦＫ,nago_間接ＦＫ,Opponent_ＣＫ,nago_ＣＫ,Opponent_スローイン,nago_スローイン,Opponent_ドリブル,nago_ドリブル,Opponent_タックル,nago_タックル,Opponent_クリア,nago_クリア,Opponent_インターセプト,nago_インターセプト,Opponent_オフサイド,nago_オフサイド,Opponent_警告,nago_警告,Opponent_退場,nago_退場,Opponent_３０ｍライン進入,nago_３０ｍライン進入,Opponent_ペナルティエリア進入,nago_ペナルティエリア進入,Opponent_総移動距離,nago_総移動距離,Opponent_スプリント,nago_スプリント,Opponent_攻撃回数,nago_攻撃回数,Opponent_チャンス構築率,nago_チャンス構築率,Opponent_ボール保持率,nago_ボール保持率,URL
A,磐田,W,1,0,12,20,5,7,0,0,345,317,6,14,14,23,4,0,5,8,28,30,11,11,29,37,23,28,2,6,0,4,1,2,0,0,33,38,12,20,"108,849m","106,978m",159,182,145,160,8.3%,12.5%,50.9%,49.1%,https://www.football-lab.jp/nago/report/?year=2016&month=02&date=27
H,広島,D,1,1,22,12,7,4,0,0,741,321,34,12,13,6,2,5,7,0,21,16,30,9,16,20,16,43,3,3,5,1,2,2,0,0,73,28,22,9,"114,325m","116,503m",177,202,130,126,16.9%,9.5%,64.4%,35.6%,https://www.football-lab.jp/nago/report/?year=2016&month=03&date=06
A,川崎Ｆ,L,2,3,10,9,4,5,0,0,823,365,19,19,7,10,3,3,5,6,17,16,12,9,15,34,25,24,3,2,2,3,0,2,0,0,62,29,27,13,"117,881m","115,213m",184,198,127,129,7.9%,7.0%,64.3%,35.7%,https://www.football-lab.jp/nago/report/?year=2016&month=03&date=12
H,仙台,W,2,1,8,9,4,2,0,0,362,423,15,20,12,12,4,1,2,5,27,42,13,12,30,16,35,11,0,4,1,4,3,3,0,0,32,43,9,18,"108,289m","108,649m",154,161,132,141,6.1%,6.4%,46.2%,53.8%,https://www.football-lab.jp/nago/report/?year=2016&month=03&date=19
A,FC東京,L,2,3,14,14,7,3,1,0,408,452,15,20,11,18,4,2,9,4,22,28,10,12,13,24,35,39,6,2,2,3,1,2,1,0,54,38,19,15,"115,545m","110,301m",201,154,126,132,11.1%,10.6%,46.1%,53.9%,https://www.football-lab.jp/nago/report/?year=2016&month=04&date=02
H,大宮,L,1,2,14,12,3,3,0,1,491,416,17,14,16,8,4,0,8,7,22,32,10,12,18,21,34,18,3,2,0,4,1,1,0,0,42,38,19,20,"112,761m","112,732m",162,182,131,124,10.7%,9.7%,55.9%,44.1%,https://www.football-lab.jp/nago/report/?year=2016&month=04&date=10
H,新潟,W,2,1,11,24,6,10,0,0,618,322,19,17,11,11,1,3,6,6,33,22,6,8,7,19,6,16,0,1,2,1,0,1,0,0,45,39,19,15,"118,451m","112,830m",151,178,134,131,8.2%,18.3%,60.9%,39.1%,https://www.football-lab.jp/nago/report/?year=2016&month=04&date=24
A,浦和,L,1,4,17,7,5,2,0,0,622,284,25,14,15,16,2,2,8,3,30,11,22,7,22,35,19,27,1,4,2,2,1,1,0,0,61,29,29,7,"119,198m","114,597m",158,187,142,132,12.0%,5.3%,62.5%,37.5%,https://www.football-lab.jp/nago/report/?year=2016&month=04&date=29
H,横浜FM,W,3,1,20,11,11,6,0,0,572,287,27,14,13,7,2,5,12,2,26,17,17,7,12,24,13,44,1,2,5,2,0,0,0,0,45,22,18,8,"107,957m","112,895m",155,163,132,113,15.2%,9.7%,61.7%,38.3%,https://www.football-lab.jp/nago/report/?year=2016&month=05&date=04
H,神戸,L,0,1,10,14,4,4,0,0,370,521,9,24,11,17,2,2,3,4,17,21,9,8,18,24,28,9,5,2,2,2,1,1,0,0,33,59,13,20,"113,666m","115,440m",160,174,129,132,7.8%,10.6%,45.6%,54.4%,https://www.football-lab.jp/nago/report/?year=2016&month=05&date=08
A,甲府,D,2,2,10,18,5,4,0,0,322,451,11,25,14,12,0,3,5,11,24,26,15,14,11,25,47,25,3,1,3,0,1,2,0,0,25,54,7,24,"111,603m","112,252m",142,146,127,122,7.9%,14.8%,46.4%,53.6%,https://www.football-lab.jp/nago/report/?year=2016&month=05&date=14
H,鹿島,L,2,3,15,17,9,5,0,0,447,341,25,13,14,17,1,2,4,8,25,22,14,15,31,18,28,26,4,4,1,1,2,2,0,0,55,40,20,16,"109,540m","113,042m",223,196,143,148,10.5%,11.5%,52.4%,47.6%,https://www.football-lab.jp/nago/report/?year=2016&month=05&date=21
A,湘南,L,1,2,16,14,6,5,0,0,352,346,19,11,20,12,3,2,5,3,27,29,12,11,12,16,21,32,0,1,2,3,3,3,0,0,35,28,14,14,"111,759m","103,498m",173,134,133,123,12.0%,11.4%,50.6%,49.4%,https://www.football-lab.jp/nago/report/?year=2016&month=05&date=29
A,福岡,D,0,0,8,9,2,1,0,0,378,363,15,18,19,16,3,4,4,5,31,21,10,11,14,15,29,33,1,2,3,3,1,3,0,0,39,35,11,16,"109,026m","108,080m",191,174,136,126,5.9%,7.1%,53%,47%,https://www.football-lab.jp/nago/report/?year=2016&month=06&date=02
H,鳥栖,L,0,1,10,13,2,3,0,0,422,401,13,11,15,17,2,0,3,3,33,28,8,9,15,17,25,22,2,2,0,2,1,1,0,0,41,38,9,8,"118,730m","112,331m",198,163,139,131,7.2%,9.9%,54%,46%,https://www.football-lab.jp/nago/report/?year=2016&month=06&date=11
H,柏,D,1,1,11,13,6,5,0,0,547,461,10,18,15,12,2,2,1,4,31,29,12,12,24,22,26,21,9,3,2,2,0,0,0,0,41,40,8,16,"118,204m","113,324m",155,169,132,132,8.3%,9.8%,52.3%,47.7%,https://www.football-lab.jp/nago/report/?year=2016&month=06&date=18
A,Ｇ大阪,D,3,3,17,13,7,4,0,0,655,354,24,12,15,8,1,4,6,5,27,12,15,6,14,17,9,35,4,4,4,1,0,1,0,0,63,29,20,12,"114,248m","112,009m",172,171,118,103,14.4%,12.6%,61%,39%,https://www.football-lab.jp/nago/report/?year=2016&month=06&date=25
A,大宮,L,0,1,21,9,5,3,0,0,594,321,27,6,11,10,2,1,6,1,13,20,17,8,19,14,14,22,2,3,1,2,1,4,0,1,71,16,16,11,"106,356m","102,705m",149,133,107,109,19.6%,8.3%,59.6%,40.4%,https://www.football-lab.jp/nago/report/?year=2016&month=07&date=02
H,川崎Ｆ,L,0,3,14,11,5,2,0,0,883,385,11,10,12,8,3,1,6,3,16,12,7,8,14,21,14,29,2,4,1,3,0,2,0,1,52,33,13,10,"105,794m","108,575m",148,122,107,102,13.1%,10.8%,63.8%,36.2%,https://www.football-lab.jp/nago/report/?year=2016&month=07&date=09
A,鹿島,L,0,3,19,12,5,3,0,0,473,394,18,9,8,12,1,0,7,4,36,21,15,12,18,16,24,24,7,2,0,1,0,0,0,0,56,33,22,11,"109,203m","110,574m",173,156,125,116,15.2%,10.3%,53.5%,46.5%,https://www.football-lab.jp/nago/report/?year=2016&month=07&date=13
