HOME/AWAY,Opponent,勝敗,uraw_得点,uraw_失点,Opponent_シュート,uraw_シュート,Opponent_枠内シュート,uraw_枠内シュート,Opponent_PKによるシュート,uraw_PKによるシュート,Opponent_パス,uraw_パス,Opponent_クロス,uraw_クロス,Opponent_直接ＦＫ,uraw_直接ＦＫ,Opponent_間接ＦＫ,uraw_間接ＦＫ,Opponent_ＣＫ,uraw_ＣＫ,Opponent_スローイン,uraw_スローイン,Opponent_ドリブル,uraw_ドリブル,Opponent_タックル,uraw_タックル,Opponent_クリア,uraw_クリア,Opponent_インターセプト,uraw_インターセプト,Opponent_オフサイド,uraw_オフサイド,Opponent_警告,uraw_警告,Opponent_退場,uraw_退場,Opponent_３０ｍライン進入,uraw_３０ｍライン進入,Opponent_ペナルティエリア進入,uraw_ペナルティエリア進入,Opponent_総移動距離,uraw_総移動距離,Opponent_スプリント,uraw_スプリント,Opponent_攻撃回数,uraw_攻撃回数,Opponent_チャンス構築率,uraw_チャンス構築率,Opponent_ボール保持率,uraw_ボール保持率,URL
A,柏,W,2,1,12,17,4,8,0,0,397,533,12,23,13,23,2,2,2,8,22,20,14,18,25,28,27,16,3,3,1,2,2,2,0,0,25,49,11,19,"122,607m","125,235m",210,206,135,148,8.9%,11.5%,43.1%,56.9%,https://www.football-lab.jp/uraw/report/?year=2016&month=02&date=27
H,磐田,L,1,2,12,17,5,5,0,0,214,720,8,24,13,16,4,1,2,9,21,25,6,10,22,23,35,14,4,0,1,4,3,1,0,0,26,65,7,34,"116,623m","114,200m",140,153,120,130,10.0%,13.1%,30.6%,69.4%,https://www.football-lab.jp/uraw/report/?year=2016&month=03&date=06
H,福岡,W,2,0,7,12,0,5,0,0,337,640,6,17,18,16,2,3,2,5,19,21,10,16,19,22,19,22,8,3,3,2,2,0,0,0,27,59,11,18,"113,947m","118,478m",187,185,133,137,5.3%,8.8%,39.3%,60.7%,https://www.football-lab.jp/uraw/report/?year=2016&month=03&date=12
A,湘南,W,2,0,9,11,3,3,0,0,379,555,13,30,16,14,2,3,5,6,20,28,12,23,38,21,45,29,2,4,3,2,3,1,0,0,33,50,11,19,"126,817m","122,389m",258,196,148,146,6.1%,7.5%,45%,55%,https://www.football-lab.jp/uraw/report/?year=2016&month=03&date=20
H,甲府,W,2,1,4,31,2,8,0,0,208,896,2,37,7,12,2,1,0,8,13,24,5,22,25,17,35,5,6,3,1,2,3,0,1,0,5,129,1,38,"107,519m","116,890m",111,133,109,123,3.7%,25.2%,27.8%,72.2%,https://www.football-lab.jp/uraw/report/?year=2016&month=04&date=01
A,横浜FM,D,0,0,6,20,2,8,0,0,496,588,7,13,17,10,2,3,0,7,20,14,12,9,13,21,23,12,5,1,3,2,0,0,0,0,25,64,4,19,"111,190m","111,517m",133,142,115,107,5.2%,18.7%,49.3%,50.7%,https://www.football-lab.jp/uraw/report/?year=2016&month=04&date=10
H,仙台,W,3,1,8,26,2,8,0,0,278,589,6,31,11,14,5,1,1,17,15,19,7,23,27,7,45,19,1,3,1,5,1,0,0,0,24,77,7,30,"113,662m","115,109m",160,159,118,137,6.8%,19.0%,36.4%,63.6%,https://www.football-lab.jp/uraw/report/?year=2016&month=04&date=16
A,川崎Ｆ,W,1,0,8,20,1,3,0,0,560,493,14,20,15,7,5,0,1,6,22,15,14,15,24,22,23,29,1,5,0,5,2,2,0,0,39,49,16,12,"112,017m","115,068m",155,194,126,124,6.3%,16.1%,49.8%,50.2%,https://www.football-lab.jp/uraw/report/?year=2016&month=04&date=24
H,名古屋,W,4,1,7,17,2,5,0,0,284,622,14,25,16,15,2,2,3,8,11,30,7,22,35,22,27,19,4,1,2,2,1,1,0,0,29,61,7,29,"114,597m","119,198m",187,158,132,142,5.3%,12.0%,37.5%,62.5%,https://www.football-lab.jp/uraw/report/?year=2016&month=04&date=29
A,大宮,W,1,0,7,9,0,1,0,0,302,675,14,21,11,20,2,2,3,7,20,21,20,19,30,22,22,17,6,4,2,1,4,1,0,0,28,66,10,13,"113,133m","115,475m",210,233,127,130,5.5%,6.9%,37.4%,62.6%,https://www.football-lab.jp/uraw/report/?year=2016&month=05&date=08
