HOME/AWAY,Opponent,勝敗,kobe_得点,kobe_失点,Opponent_シュート,kobe_シュート,Opponent_枠内シュート,kobe_枠内シュート,Opponent_PKによるシュート,kobe_PKによるシュート,Opponent_パス,kobe_パス,Opponent_クロス,kobe_クロス,Opponent_直接ＦＫ,kobe_直接ＦＫ,Opponent_間接ＦＫ,kobe_間接ＦＫ,Opponent_ＣＫ,kobe_ＣＫ,Opponent_スローイン,kobe_スローイン,Opponent_ドリブル,kobe_ドリブル,Opponent_タックル,kobe_タックル,Opponent_クリア,kobe_クリア,Opponent_インターセプト,kobe_インターセプト,Opponent_オフサイド,kobe_オフサイド,Opponent_警告,kobe_警告,Opponent_退場,kobe_退場,Opponent_３０ｍライン進入,kobe_３０ｍライン進入,Opponent_ペナルティエリア進入,kobe_ペナルティエリア進入,Opponent_攻撃回数,kobe_攻撃回数,Opponent_チャンス構築率,kobe_チャンス構築率,Opponent_ボール保持率,kobe_ボール保持率,URL
A,甲府,L,0,2,10,11,2,0,0,0,291,740,10,19,14,8,3,2,2,4,21,20,5,18,28,12,25,10,2,5,2,3,0,1,0,0,22,56,11,5,129,121,7.8%,9.1%,34.5%,65.5%,https://www.football-lab.jp/kobe/report/?year=2014&month=09&date=23
A,広島,D,1,1,20,18,4,6,0,0,528,556,25,13,9,9,2,1,7,4,14,13,19,14,21,17,11,29,5,2,1,2,1,0,0,0,59,43,17,12,111,107,18.0%,16.8%,47.7%,52.3%,https://www.football-lab.jp/kobe/report/?year=2014&month=09&date=27
H,名古屋,L,1,3,17,16,6,6,0,0,328,571,9,14,11,8,3,1,6,6,23,23,11,14,27,21,41,28,5,1,1,3,1,0,0,0,32,58,15,20,125,115,13.6%,13.9%,39.8%,60.2%,https://www.football-lab.jp/kobe/report/?year=2014&month=10&date=05
A,徳島,D,2,2,7,23,2,10,0,0,326,650,15,19,4,6,3,1,8,7,21,19,5,16,15,16,34,18,3,0,1,3,0,1,0,0,26,78,10,27,123,117,5.7%,19.7%,40.1%,59.9%,https://www.football-lab.jp/kobe/report/?year=2014&month=10&date=18
H,鹿島,D,0,0,20,10,2,3,0,0,467,348,15,6,17,9,2,2,6,2,28,29,23,19,23,28,18,27,2,1,2,1,0,2,0,0,55,28,21,8,143,131,14.0%,7.6%,53.9%,46.1%,https://www.football-lab.jp/kobe/report/?year=2014&month=10&date=22
H,大宮,W,2,1,11,9,3,4,0,0,527,398,22,9,13,10,4,5,3,5,36,22,15,14,29,25,15,37,5,3,4,4,2,1,0,0,43,34,12,12,130,125,8.5%,7.2%,55.1%,44.9%,https://www.football-lab.jp/kobe/report/?year=2014&month=10&date=26
A,鳥栖,L,1,2,17,8,4,3,0,0,418,379,20,9,10,10,3,4,4,3,23,21,12,19,23,13,14,34,1,1,4,2,1,1,0,0,37,35,18,11,121,118,14.0%,6.8%,51.5%,48.5%,https://www.football-lab.jp/kobe/report/?year=2014&month=11&date=02
H,横浜FM,L,1,2,11,12,4,7,0,0,560,452,19,10,14,8,1,6,5,2,24,25,3,9,31,25,25,30,6,3,6,1,0,1,0,0,45,34,13,9,140,129,7.9%,9.3%,52.9%,47.1%,https://www.football-lab.jp/kobe/report/?year=2014&month=11&date=22
A,Ｇ大阪,L,1,3,17,9,7,6,0,0,484,554,18,20,12,13,3,0,3,0,27,26,10,17,21,17,29,21,6,6,0,3,0,3,0,0,47,43,21,10,136,130,12.5%,6.9%,48.2%,51.8%,https://www.football-lab.jp/kobe/report/?year=2014&month=11&date=29
H,川崎Ｆ,L,1,2,18,15,5,5,1,1,439,419,9,19,28,11,3,5,6,8,18,17,18,12,19,26,31,22,4,4,5,3,1,0,0,1,29,40,13,22,133,113,13.5%,13.3%,50.7%,49.3%,https://www.football-lab.jp/kobe/report/?year=2014&month=12&date=06
