HOME/AWAY,Opponent,勝敗,nago_得点,nago_失点,nago_シュート,Opponent_シュート,nago_枠内シュート,Opponent_枠内シュート,nago_PKによるシュート,Opponent_PKによるシュート,nago_パス,Opponent_パス,nago_クロス,Opponent_クロス,nago_直接ＦＫ,Opponent_直接ＦＫ,nago_間接ＦＫ,Opponent_間接ＦＫ,nago_ＣＫ,Opponent_ＣＫ,nago_スローイン,Opponent_スローイン,nago_ドリブル,Opponent_ドリブル,nago_タックル,Opponent_タックル,nago_クリア,Opponent_クリア,nago_インターセプト,Opponent_インターセプト,nago_オフサイド,Opponent_オフサイド,nago_警告,Opponent_警告,nago_退場,Opponent_退場,nago_３０ｍライン進入,Opponent_３０ｍライン進入,nago_ペナルティエリア進入,Opponent_ペナルティエリア進入,nago_攻撃回数,Opponent_攻撃回数,nago_チャンス構築率,Opponent_チャンス構築率,nago_ボール保持率,Opponent_ボール保持率,URL
A,Ｇ大阪,W,1,0,9,11,4,2,0,0,367,508,12,22,17,11,5,1,5,3,18,26,9,15,14,13,40,16,7,4,1,4,1,1,0,0,38,52,10,17,120,120,7.5%,9.2%,46.3%,53.7%,https://www.football-lab.jp/nago/report/?year=2014&month=08&date=16
H,柏,D,1,1,13,13,5,3,0,0,308,551,13,19,16,8,3,2,3,4,18,20,13,10,21,19,27,24,3,2,1,3,2,3,0,0,34,63,11,15,124,113,10.5%,11.5%,39.2%,60.8%,https://www.football-lab.jp/nago/report/?year=2014&month=08&date=23
H,川崎Ｆ,D,1,1,16,16,6,4,0,0,364,650,17,10,12,6,3,2,4,11,12,20,10,11,18,10,27,22,6,3,1,3,0,1,0,0,42,66,15,18,103,109,15.5%,14.7%,41.6%,58.4%,https://www.football-lab.jp/nago/report/?year=2014&month=08&date=30
A,横浜FM,W,2,0,9,11,4,0,0,0,282,537,11,22,15,12,2,2,3,3,18,35,13,15,36,14,24,13,4,4,2,1,1,1,0,0,31,64,5,12,129,136,7.0%,8.1%,38.7%,61.3%,https://www.football-lab.jp/nago/report/?year=2014&month=09&date=13
H,甲府,W,2,0,10,7,7,1,0,0,473,509,13,26,10,9,5,3,5,1,23,32,16,19,32,25,21,16,6,8,1,4,0,1,0,0,49,51,8,15,149,151,6.7%,4.6%,48.5%,51.5%,https://www.football-lab.jp/nago/report/?year=2014&month=09&date=20
A,Ｃ大阪,W,2,1,9,12,3,2,0,0,300,478,9,16,19,8,4,1,5,6,26,39,17,20,28,23,33,20,3,1,1,4,1,1,0,0,39,52,10,13,140,148,6.4%,8.1%,40.9%,59.1%,https://www.football-lab.jp/nago/report/?year=2014&month=09&date=23
H,新潟,L,0,1,16,19,5,9,0,0,353,449,9,25,23,13,1,5,5,7,18,27,8,13,25,15,28,11,1,2,4,1,3,2,1,0,36,51,12,18,148,146,10.8%,13.0%,46.6%,53.4%,https://www.football-lab.jp/nago/report/?year=2014&month=09&date=27
A,神戸,W,3,1,17,16,6,6,0,0,328,571,9,14,11,8,3,1,6,6,23,23,11,14,27,21,41,28,5,1,1,3,1,0,0,0,32,58,15,20,125,115,13.6%,13.9%,39.8%,60.2%,https://www.football-lab.jp/nago/report/?year=2014&month=10&date=05
A,広島,L,0,4,13,15,3,8,0,2,361,566,12,11,11,14,5,0,11,5,18,15,12,18,20,14,9,21,4,2,0,5,3,1,1,0,35,47,19,11,106,107,12.3%,14.0%,41.8%,58.2%,https://www.football-lab.jp/nago/report/?year=2014&month=10&date=18
H,仙台,D,0,0,20,7,4,2,0,0,549,405,22,18,15,6,3,1,2,5,25,17,11,5,8,13,16,25,5,5,0,3,1,0,0,0,59,36,27,7,127,122,15.7%,5.7%,55.3%,44.7%,https://www.football-lab.jp/nago/report/?year=2014&month=10&date=22
A,徳島,W,2,0,14,5,6,0,0,0,491,352,25,14,16,17,1,3,5,4,20,26,15,12,28,15,23,27,4,4,2,1,2,1,0,0,57,30,13,8,121,129,11.6%,3.9%,55%,45%,https://www.football-lab.jp/nago/report/?year=2014&month=10&date=26
H,Ｆ東京,D,2,2,17,10,5,4,0,0,325,455,16,31,15,10,2,2,7,6,20,31,16,22,29,25,43,27,0,3,1,2,4,2,0,0,37,58,13,14,133,128,12.8%,7.8%,46.5%,53.5%,https://www.football-lab.jp/nago/report/?year=2014&month=11&date=02
A,清水,D,2,2,9,16,3,3,0,0,330,542,9,34,12,10,3,1,5,11,13,16,11,23,15,16,37,21,6,3,1,3,3,3,1,1,25,60,12,22,123,133,7.3%,12.0%,41.7%,58.3%,https://www.football-lab.jp/nago/report/?year=2014&month=11&date=22
H,大宮,W,2,1,8,12,4,5,0,0,496,488,15,26,11,11,3,1,2,8,19,22,16,15,30,18,26,19,2,3,1,3,0,2,0,0,44,46,11,13,111,125,7.2%,9.6%,50.6%,49.4%,https://www.football-lab.jp/nago/report/?year=2014&month=11&date=29
A,浦和,W,2,1,12,16,4,8,0,0,367,605,15,12,16,8,1,2,5,6,14,28,8,16,19,20,33,22,8,2,3,1,0,2,0,0,38,40,12,16,120,121,10.0%,13.2%,38.8%,61.2%,https://www.football-lab.jp/nago/report/?year=2014&month=12&date=06
