HOME/AWAY,Opponent,勝敗,hiro_得点,hiro_失点,Opponent_シュート,hiro_シュート,Opponent_枠内シュート,hiro_枠内シュート,Opponent_PKによるシュート,hiro_PKによるシュート,Opponent_パス,hiro_パス,Opponent_クロス,hiro_クロス,Opponent_直接ＦＫ,hiro_直接ＦＫ,Opponent_間接ＦＫ,hiro_間接ＦＫ,Opponent_ＣＫ,hiro_ＣＫ,Opponent_スローイン,hiro_スローイン,Opponent_ドリブル,hiro_ドリブル,Opponent_タックル,hiro_タックル,Opponent_クリア,hiro_クリア,Opponent_インターセプト,hiro_インターセプト,Opponent_オフサイド,hiro_オフサイド,Opponent_警告,hiro_警告,Opponent_退場,hiro_退場,Opponent_３０ｍライン進入,hiro_３０ｍライン進入,Opponent_ペナルティエリア進入,hiro_ペナルティエリア進入,Opponent_攻撃回数,hiro_攻撃回数,Opponent_チャンス構築率,hiro_チャンス構築率,Opponent_ボール保持率,hiro_ボール保持率,URL
H,Ｃ大阪,D,0,0,14,7,3,3,0,0,576,553,16,12,8,18,4,2,2,1,24,16,10,9,16,22,15,17,3,4,2,4,2,0,0,0,57,38,9,9,111,121,12.6%,5.8%,50%,50%,https://www.football-lab.jp/hiro/report/?year=2014&month=08&date=23
A,徳島,W,1,0,11,12,3,2,0,1,466,578,7,11,11,15,3,2,3,6,27,17,6,12,20,19,22,21,3,4,2,3,2,1,0,0,40,46,15,12,111,106,9.9%,11.3%,48.9%,51.1%,https://www.football-lab.jp/hiro/report/?year=2014&month=08&date=30
H,Ｇ大阪,L,0,1,12,15,2,1,0,0,495,594,5,24,11,19,2,1,5,5,20,29,6,24,27,23,38,12,3,5,1,2,3,1,0,0,38,53,8,12,126,132,9.5%,11.4%,46%,54%,https://www.football-lab.jp/hiro/report/?year=2014&month=09&date=13
H,新潟,W,2,0,14,14,5,2,0,0,588,534,15,11,10,15,4,0,5,5,26,17,12,11,26,34,11,22,2,3,0,4,1,0,0,0,45,29,16,16,133,137,10.5%,10.2%,51.2%,48.8%,https://www.football-lab.jp/hiro/report/?year=2014&month=09&date=20
A,横浜FM,L,0,1,14,12,4,3,1,0,513,532,19,19,13,7,5,4,2,6,17,16,7,12,28,18,20,16,6,3,4,5,0,1,0,0,45,43,15,11,125,125,11.2%,9.6%,52.1%,47.9%,https://www.football-lab.jp/hiro/report/?year=2014&month=09&date=23
H,神戸,D,1,1,18,20,6,4,0,0,556,528,13,25,9,9,1,2,4,7,13,14,14,19,17,21,29,11,2,5,2,1,0,1,0,0,43,59,12,17,107,111,16.8%,18.0%,52.3%,47.7%,https://www.football-lab.jp/hiro/report/?year=2014&month=09&date=27
A,柏,D,0,0,8,9,1,1,0,0,398,341,23,16,17,16,0,0,4,9,38,46,9,13,19,24,41,34,2,2,0,0,3,1,0,0,38,22,15,6,163,185,4.9%,4.9%,49.7%,50.3%,https://www.football-lab.jp/hiro/report/?year=2014&month=10&date=05
H,名古屋,W,4,0,13,15,3,8,0,2,361,566,12,11,11,14,5,0,11,5,18,15,12,18,20,14,9,21,4,2,0,5,3,1,1,0,35,47,19,11,106,107,12.3%,14.0%,41.8%,58.2%,https://www.football-lab.jp/hiro/report/?year=2014&month=10&date=18
A,Ｆ東京,L,1,2,16,21,6,6,0,1,343,714,15,28,11,13,4,0,2,11,13,22,14,22,20,24,40,11,5,4,0,4,1,1,0,0,34,68,10,20,108,124,14.8%,16.9%,38.1%,61.9%,https://www.football-lab.jp/hiro/report/?year=2014&month=10&date=22
A,清水,W,3,1,19,19,4,6,0,0,648,549,22,17,7,5,1,1,6,5,23,11,22,14,21,25,9,29,6,3,1,1,0,1,0,0,68,40,15,18,115,106,16.5%,17.9%,53.2%,46.8%,https://www.football-lab.jp/hiro/report/?year=2014&month=10&date=26
H,大宮,D,1,1,3,21,1,2,0,0,303,758,10,32,11,12,2,3,2,4,17,24,11,23,19,16,29,14,3,0,2,2,2,0,0,0,24,94,4,22,117,117,2.6%,17.9%,33.4%,66.6%,https://www.football-lab.jp/hiro/report/?year=2014&month=11&date=02
A,甲府,L,0,2,8,9,3,0,1,1,385,728,10,12,10,9,2,2,3,3,18,21,15,20,22,14,30,14,5,3,2,1,1,0,0,0,26,46,11,9,121,120,6.6%,7.5%,38.8%,61.2%,https://www.football-lab.jp/hiro/report/?year=2014&month=11&date=22
A,川崎Ｆ,D,1,1,13,25,6,8,0,0,637,573,10,29,10,10,3,3,6,6,11,13,13,15,21,23,30,16,3,6,3,3,1,0,0,0,55,63,15,15,110,106,11.8%,23.6%,52.5%,47.5%,https://www.football-lab.jp/hiro/report/?year=2014&month=11&date=29
H,仙台,W,2,0,11,19,3,6,0,0,497,647,12,24,8,14,3,2,2,6,12,17,11,19,22,16,22,13,3,5,2,3,1,1,0,0,43,48,6,17,114,130,9.6%,14.6%,44.3%,55.7%,https://www.football-lab.jp/hiro/report/?year=2014&month=12&date=06
