HOME/AWAY,Opponent,勝敗,shim_得点,shim_失点,Opponent_シュート,shim_シュート,Opponent_枠内シュート,shim_枠内シュート,Opponent_PKによるシュート,shim_PKによるシュート,Opponent_パス,shim_パス,Opponent_クロス,shim_クロス,Opponent_直接ＦＫ,shim_直接ＦＫ,Opponent_間接ＦＫ,shim_間接ＦＫ,Opponent_ＣＫ,shim_ＣＫ,Opponent_スローイン,shim_スローイン,Opponent_ドリブル,shim_ドリブル,Opponent_タックル,shim_タックル,Opponent_クリア,shim_クリア,Opponent_インターセプト,shim_インターセプト,Opponent_オフサイド,shim_オフサイド,Opponent_警告,shim_警告,Opponent_退場,shim_退場,Opponent_３０ｍライン進入,shim_３０ｍライン進入,Opponent_ペナルティエリア進入,shim_ペナルティエリア進入,Opponent_攻撃回数,shim_攻撃回数,Opponent_チャンス構築率,shim_チャンス構築率,Opponent_ボール保持率,shim_ボール保持率,URL
H,浦和,L,1,4,9,12,3,4,0,0,596,417,11,14,9,17,1,2,6,3,22,17,14,14,18,23,13,16,3,3,2,0,1,1,0,0,35,33,15,8,121,115,7.4%,10.4%,56.7%,43.3%,https://www.football-lab.jp/shim/report/?year=2014&month=09&date=13
A,神戸,L,1,3,9,11,4,5,0,0,511,525,11,23,10,17,4,2,2,7,13,27,4,12,24,19,34,19,4,4,2,4,0,1,0,0,28,39,14,12,119,141,7.6%,7.8%,48.4%,51.6%,https://www.football-lab.jp/shim/report/?year=2014&month=09&date=20
H,Ｇ大阪,L,0,3,13,13,6,5,0,0,506,482,9,15,15,14,0,3,0,6,23,22,16,12,19,22,29,23,1,1,3,0,3,2,0,0,41,56,12,11,131,128,9.9%,10.2%,50.5%,49.5%,https://www.football-lab.jp/shim/report/?year=2014&month=09&date=23
A,大宮,L,1,2,15,15,4,6,0,0,390,486,17,19,11,18,4,6,12,4,26,22,14,12,20,30,29,33,3,5,6,4,0,0,0,0,40,39,23,13,137,125,10.9%,12.0%,48%,52%,https://www.football-lab.jp/shim/report/?year=2014&month=09&date=27
H,Ｃ大阪,W,3,0,9,20,2,10,0,0,420,375,11,30,6,14,3,3,2,9,21,22,12,19,22,20,22,16,4,2,3,2,4,0,1,0,35,54,14,22,130,135,6.9%,14.8%,52%,48%,https://www.football-lab.jp/shim/report/?year=2014&month=10&date=05
A,横浜FM,L,0,1,23,8,7,1,0,0,527,434,21,14,14,14,2,1,5,5,31,19,12,10,29,25,26,21,2,6,1,1,3,0,0,0,45,24,22,9,141,135,16.3%,5.9%,55.4%,44.6%,https://www.football-lab.jp/shim/report/?year=2014&month=10&date=18
H,新潟,W,2,1,19,9,3,3,0,0,489,383,24,19,11,17,0,5,5,3,36,27,14,17,32,24,24,28,3,4,5,0,3,0,0,0,44,42,18,14,158,155,12.0%,5.8%,54%,46%,https://www.football-lab.jp/shim/report/?year=2014&month=10&date=22
H,広島,L,1,3,19,19,6,4,0,0,549,648,17,22,5,7,1,1,5,6,11,23,14,22,25,21,29,9,3,6,1,1,1,0,0,0,40,68,18,15,106,115,17.9%,16.5%,46.8%,53.2%,https://www.football-lab.jp/shim/report/?year=2014&month=10&date=26
A,川崎Ｆ,W,3,2,15,17,5,7,0,0,667,358,13,20,9,10,1,7,5,5,16,18,10,14,17,14,20,16,5,3,7,1,2,2,0,0,41,42,15,16,111,111,13.5%,15.3%,61%,39%,https://www.football-lab.jp/shim/report/?year=2014&month=11&date=02
H,名古屋,D,2,2,9,16,3,3,0,0,330,542,9,34,12,10,3,1,5,11,13,16,11,23,15,16,37,21,6,3,1,3,3,3,1,1,25,60,12,22,123,133,7.3%,12.0%,41.7%,58.3%,https://www.football-lab.jp/shim/report/?year=2014&month=11&date=22
A,柏,L,1,3,21,16,7,6,0,0,488,487,25,22,7,19,3,3,3,8,20,33,12,19,20,22,25,12,5,3,3,3,1,2,0,0,54,43,23,16,124,141,16.9%,11.3%,51.6%,48.4%,https://www.football-lab.jp/shim/report/?year=2014&month=11&date=29
H,甲府,D,0,0,9,6,4,3,0,0,524,399,10,10,11,12,0,5,2,2,36,31,11,9,19,33,28,20,8,4,3,0,3,1,0,0,43,28,9,4,153,145,5.9%,4.1%,54.5%,45.5%,https://www.football-lab.jp/shim/report/?year=2014&month=12&date=06
